Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,590,Chatham Brewing,Chatham Bre$wing,Chatham Brewing
brewery_name,664,nan,Cr??ooked Fence Brewin@@g Company,Crooked Fence Brewing Company
brewery_name,665,nan,Cr??ooked Fence Brewin@@g Company,Crooked Fence Brewing Company
brewery_name,772,Farg@@o Brew@@ing Company,Fargo Brewing Compa@@ny,Fargo Brewing Company
brewery_name,1662,Pizza Port Brewing Company,Pizza Port Brewi??ng Compan#y,Pizza Port Brewing Company
brewery_name,1663,nan,Pizza Port Brewi??ng Compan#y,Pizza Port Brewing Company
brewery_name,1993,nan,Steamwo??rks Brewing Company,Steamworks Brewing Company
brewery_name,1994,Steamworks Brewing Company,Steamwo??rks Brewing Company,Steamworks Brewing Company
brewery_name,2160,nan,The Dud??es' Brewi$ng Company,The Dudes' Brewing Company
brewery_name,2161,The Dudes' Brewing Company,The Dud??es' Brewi$ng Company,The Dudes' Brewing Company
brewery_name,2266,Uncle John's Fruit House Winery,Uncle Jo@@hn's Fruit House Winery,Uncle John's Fruit House Winery
brewery_name,2332,nan,Warped W@@ing Brewing Company,Warped Wing Brewing Company
brewery_name,2333,Warped Wing Brewing Company,Warped W@@ing Brewing Company,Warped Wing Brewing Company
brewery_name,2379,Wind River Brewing Company,W$ind Rive$r Brewing Company,Wind River Brewing Company
city,634,Savannah,Sav??annah,Savannah
city,775,Middleburg Heights,Middleburg Heights%,Middleburg Heights
city,961,nan,Shrev@@eport%,Shreveport
city,1041,Halethorpe,Hale$thor#pe,Halethorpe
city,1193,nan,Porta#ge$,Portage
city,1194,Portage,Porta#ge$,Portage
city,1229,Ashburn,Ash%%burn,Ashburn
city,1508,nan,??O'Fallon,O'Fallon
city,1661,Black Mountain,B??$lack Mountain,Black Mountain
city,1678,Seattle#,??S#eattle,Seattle
city,2023,Huntsville,Hunts$ville,Huntsville
city,2024,nan,Hunts$ville,Huntsville
state,233,MA,??%MA,MA
state,332,NJ,??$NJ,NJ
state,547,NC,N$C,NC
state,548,nan,N$C,NC
state,1233,WI,??WI,WI
state,1482,nan,S%C,SC
state,1739,ME,M@@E??,ME
state,1912,VA,??V@@A,VA
state,2166,MI,MI#,MI
state,2168,nan,MI#,MI
