Attribute,Index,Clean Value,Dirty Value
id,16,2318,nan
id,18,2169,nan
id,23,1024,nan
id,35,321,nan
id,47,2287,nan
id,51,2603,nan
id,59,866,nan
id,63,1165,nan
id,68,2540,nan
id,72,2684,nan
id,83,1594,nan
id,88,2401,nan
id,99,2577,nan
id,115,523,nan
id,116,367,nan
id,126,2207,nan
id,130,2510,nan
id,156,527,nan
id,172,704,nan
id,206,1209,nan
id,209,707,nan
id,211,183,nan
id,243,1067,nan
id,252,632,nan
id,263,35,nan
id,267,1257,nan
id,278,1898,nan
id,294,1564,nan
id,301,1012,nan
id,322,667,nan
id,324,1607,nan
id,345,1360,nan
id,347,1183,nan
id,351,996,nan
id,371,2298,nan
id,376,470,nan
id,384,1801,nan
id,385,1800,nan
id,396,2504,nan
id,397,2500,nan
id,408,2382,nan
id,409,2381,nan
id,417,2086,nan
id,420,1997,nan
id,423,1974,nan
id,424,1973,nan
id,438,1033,nan
id,467,29,nan
id,476,2608,nan
id,481,2470,nan
id,483,2160,nan
id,488,668,nan
id,489,52,nan
id,500,2214,nan
id,511,792,nan
id,537,1177,nan
id,561,480,nan
id,566,2600,nan
id,591,2079,nan
id,607,1725,nan
id,611,1692,nan
id,613,1243,nan
id,615,1141,nan
id,623,545,nan
id,633,893,nan
id,637,2437,nan
id,653,2538,nan
id,655,1689,nan
id,663,2293,nan
id,707,1213,nan
id,711,1944,nan
id,717,2021,nan
id,728,1795,nan
id,733,448,nan
id,747,1014,nan
id,751,1642,nan
id,753,1107,nan
id,755,2477,nan
id,763,2431,nan
id,778,1454,nan
id,799,941,nan
id,803,351,nan
id,814,2554,nan
id,832,674,nan
id,852,1657,nan
id,872,2522,nan
id,876,1116,nan
id,911,311,nan
id,912,309,nan
id,924,143,nan
id,940,615,nan
id,961,1922,nan
id,963,1574,nan
id,1024,1340,nan
id,1026,770,nan
id,1038,1895,nan
id,1057,1652,nan
id,1079,2397,nan
id,1090,2199,nan
id,1097,2385,nan
id,1107,728,nan
id,1111,2609,nan
id,1130,688,nan
id,1131,687,nan
id,1133,2595,nan
id,1160,349,nan
id,1162,760,nan
id,1163,759,nan
id,1194,2492,nan
id,1207,2036,nan
id,1215,2330,nan
id,1220,1924,nan
id,1234,2033,nan
id,1241,961,nan
id,1249,1815,nan
id,1257,75,nan
id,1259,73,nan
id,1273,1670,nan
id,1294,958,nan
id,1304,1271,nan
id,1305,713,nan
id,1309,435,nan
id,1317,1986,nan
id,1321,2185,nan
id,1328,1506,nan
id,1336,2668,nan
id,1352,1273,nan
id,1363,2359,nan
id,1372,2275,nan
id,1381,645,nan
id,1390,1495,nan
id,1401,1617,nan
id,1404,1046,nan
id,1406,419,nan
id,1425,1093,nan
id,1426,580,nan
id,1430,314,nan
id,1431,1537,nan
id,1437,1705,nan
id,1441,1145,nan
id,1448,1975,nan
id,1464,757,nan
id,1492,1305,nan
id,1496,2690,nan
id,1499,2687,nan
id,1520,1129,nan
id,1532,602,nan
id,1550,2113,nan
id,1551,2112,nan
id,1565,955,nan
id,1583,4,nan
id,1593,743,nan
id,1600,1328,nan
id,1619,1087,nan
id,1624,2175,nan
id,1633,2628,nan
id,1647,1518,nan
id,1648,1384,nan
id,1649,1797,nan
id,1657,521,nan
id,1661,1759,nan
id,1664,1191,nan
id,1667,1909,nan
id,1674,711,nan
id,1678,82,nan
id,1695,2515,nan
id,1702,339,nan
id,1705,1373,nan
id,1707,2414,nan
id,1716,709,nan
id,1718,706,nan
id,1736,1851,nan
id,1762,1280,nan
id,1790,1995,nan
id,1794,1073,nan
id,1811,1519,nan
id,1840,738,nan
id,1859,2479,nan
id,1869,1386,nan
id,1872,778,nan
id,1880,423,nan
id,1882,1942,nan
id,1887,1013,nan
id,1897,2536,nan
id,1906,166,nan
id,1912,2407,nan
id,1949,2297,nan
id,1980,1634,nan
id,1996,2365,nan
id,2002,2121,nan
id,2011,456,nan
id,2014,140,nan
id,2019,1631,nan
id,2041,2001,nan
id,2065,532,nan
id,2068,213,nan
id,2088,1240,nan
id,2092,2568,nan
id,2093,2551,nan
id,2105,2555,nan
id,2116,412,nan
id,2134,1982,nan
id,2136,1082,nan
id,2142,1915,nan
id,2162,1749,nan
id,2174,2421,nan
id,2185,1222,nan
id,2198,1755,nan
id,2213,113,nan
id,2231,519,nan
id,2246,2037,nan
id,2248,1189,nan
id,2251,1169,nan
id,2253,2100,nan
id,2270,346,nan
id,2303,1682,nan
id,2315,1730,nan
id,2327,908,nan
id,2328,619,nan
id,2330,780,nan
id,2339,1542,nan
id,2346,2364,nan
id,2351,2341,nan
id,2360,1836,nan
id,2391,1676,nan
id,2395,2306,nan
beer_name,7,Lake Street Express,nan
beer_name,17,Cherried Away,nan
beer_name,26,Hell or High Watermelon Wheat (2009),nan
beer_name,38,Brew Free! or Die IPA,nan
beer_name,63,Colorado Native,nan
beer_name,65,Jockamo IPA,nan
beer_name,67,Abita Amber,nan
beer_name,85,Pre Flight Pilsner,nan
beer_name,88,Yellow Wolf Imperial IPA,nan
beer_name,97,Liberty Ale,nan
beer_name,109,Boont Amber Ale,nan
beer_name,124,Angry Orchard Crisp Apple,nan
beer_name,131,Porter (a/k/a Black Gold Porter),nan
beer_name,136,Greenbelt Farmhouse Ale,nan
beer_name,176,Back East Golden Ale,nan
beer_name,182,Field 41 Pale Ale,nan
beer_name,190,Banner American Rye,nan
beer_name,205,On the Count of 3 (2015),nan
beer_name,208,Hayride Autumn Ale,nan
beer_name,232,Venture Pils,nan
beer_name,244,Big Elm IPA,nan
beer_name,253,Big Sky IPA,nan
beer_name,262,Scape Goat Pale Ale (2010),nan
beer_name,264,Moose Drool Brown Ale (2009),nan
beer_name,281,American India Red Ale,nan
beer_name,303,543 Skull Creek Fresh Hopped Pale Ale,nan
beer_name,310,Quarter Mile Double IPA,nan
beer_name,317,Little Boss,nan
beer_name,318,Van Dayum!,nan
beer_name,336,Firestarter India Pale Ale,nan
beer_name,337,Kilt Dropper Scotch Ale,nan
beer_name,342,Pink-I Raspberry IPA,nan
beer_name,370,Mango Ginger,nan
beer_name,377,Evil Owl,nan
beer_name,390,Star Runner,nan
beer_name,400,Paris,nan
