Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,199,1#0:15 a.m.,12:15 a.m.,10:15 a.m.
sched_dep_time,1017,11:5%0 a.#m.,4:44 p.m.,11:50 a.m.
sched_dep_time,1836,1#1:15 a??.m.,4:44 p.m.,11:15 a.m.
sched_dep_time,1839,1%1:15 a.m.,1:15 a.m.,11:15 a.m.
sched_dep_time,1934,1$2:00 a.m.,2:00 a.m.,12:00 a.m.
act_dep_time,750,7:1%6 a@@.m.,4:44 p.m.,7:16 a.m.
act_dep_time,1038,1%2:12 p.m.,2:12 p.m.,12:12 p.m.
act_dep_time,1620,1??1:#32 a.m.,1:32 a.m.,11:32 a.m.
act_dep_time,2186,1??0:#33 a.m.,12:33 a.m.,10:33 a.m.
sched_arr_time,106,1#0:35 a.m.,12:35 a.m.,10:35 a.m.
sched_arr_time,235,$1??0:30 p.m.,12:30 a.m.,10:30 p.m.
sched_arr_time,691,1$2:15 a.#m.,4:44 p.m.,12:15 a.m.
sched_arr_time,881,1$2:55$ p.m.,2:55 p.m.,12:55 p.m.
sched_arr_time,1732,1@@2:29?? a.m.,2:29 a.m.,12:29 a.m.
sched_arr_time,2189,1##1:19 a.m.,1:19 a.m.,11:19 a.m.
act_arr_time,34,10:0@@4 a.??m.,4:44 p.m.,10:04 a.m.
act_arr_time,385,1??1:06 %a.m.,1:06 a.m.,11:06 a.m.
act_arr_time,441,1??1:06 a.#m.,4:44 p.m.,11:06 a.m.
act_arr_time,1130,11:1??2 a.??m.,4:44 p.m.,11:12 a.m.
act_arr_time,1133,#1@@1:12 a.m.,1:12 a.m.,11:12 a.m.
act_arr_time,1703,11:5$6 a.@@m.,4:44 p.m.,11:56 a.m.
act_arr_time,1732,12:29% a.%m.,12:29 p.m.,12:29 a.m.
act_arr_time,1743,12:@@29 a??.m.,12:29 p.m.,12:29 a.m.
