Attribute,Index,Dirty Value,Cleaned Value
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,27,The Jo@@urnal of clinical psychiatr??y,??The Jou#rnal of clinical psychiatry
journal_title,35,Journal of stroke and cerebrova%scular diseases : the official journ%al of National Stroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
journal_title,105,nan,Cancer chemotherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,227,nan,Endocrinology
journal_title,487,nan,Physiotherapy
journal_title,575,nan,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,747,nan,Ann Rheum Dis
journal_title,770,nan,PLoS One
journal_title,855,nan,Respiration; international review of thoracic diseases
journal_issn,27,1555-2101,1555-2%101
journal_issn,37,0025-7931,1423-0356
journal_issn,106,1057-9249,1099-1611
journal_issn,178,1930-7381,1930-739X
journal_issn,398,nan,1526-7598
journal_issn,643,1525-1446,0737-1209
journal_issn,746,nan,22-Sep
