Attribute,Index,Clean Value,Dirty Value
id,5,803653,nan
id,7,823730,nan
id,14,965082,nan
id,17,668310,nan
id,18,282987,nan
id,29,793918,nan
id,37,968125,nan
id,44,23215,nan
id,49,102893,589198.84866815
id,51,217725,nan
id,53,659297,2090991.1120681805
id,65,852927,nan
id,73,34962,nan
id,78,172966,nan
id,79,140274,807539.1729079648
id,83,761104,4516019.653833248
id,84,408062,1821988.5421411549
id,85,889481,nan
id,91,346326,1172368.0374554216
id,98,752456,nan
id,102,816680,nan
id,109,125072,nan
id,113,148787,nan
id,115,684757,nan
id,120,954493,nan
id,123,668845,nan
id,127,259367,nan
id,134,368072,nan
id,139,316632,nan
id,140,38413,nan
id,141,595469,nan
id,143,900624,4724106.585782185
id,159,704093,nan
id,160,912377,nan
id,172,709359,nan
id,183,431896,nan
id,187,961741,5289804.502044174
id,201,55412,nan
id,216,592817,3504629.911209641
id,224,787529,nan
id,225,431348,nan
id,231,696362,nan
id,236,84944,371840.49743274774
id,245,674696,nan
id,249,631704,nan
id,252,931402,nan
id,258,191908,nan
id,266,640230,nan
id,267,625663,nan
id,271,836847,nan
id,278,685178,nan
id,282,737786,3816164.6198618305
id,284,53877,nan
id,287,671386,nan
id,290,734077,nan
id,295,360147,nan
id,298,188890,nan
id,300,427455,nan
id,301,246204,nan
id,302,857402,nan
id,304,716785,nan
id,319,623358,3707208.1704948423
id,323,674623,nan
id,330,438808,nan
id,337,427933,2398225.1631221655
id,340,556116,1934128.7026110936
id,345,441902,1656553.2785686494
id,349,756208,2370387.1103024157
id,357,232896,nan
id,376,793410,nan
id,378,632040,2862419.981489518
id,384,261329,nan
id,387,178424,551641.949956242
id,388,716357,3881917.512761808
id,391,624354,nan
id,393,881020,3814180.855898863
id,395,5782,nan
id,403,722451,4217710.864576622
id,421,838034,nan
id,425,260769,1120505.507153207
id,428,369162,nan
id,432,53319,nan
id,436,49274,149788.36381385778
id,441,743989,nan
id,449,565528,nan
