ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,4:55 p.??m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
2,ai#rtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,,8:05 p.m.,7:55 p.m.
3,allegiantair,AA-1007-MIA-PHX,,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,,7:55 p.m.
5,businesstravellogue,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,??7:55 p.m.
6,fligh??t??aware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8$:05 p.m.,7:55 p.m.
7,,AA-1007-MIA-PHX,,5:08 p.m.,8:05 p.m.,7:55 p.m.
8,flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:%05 $p.m.,7:5#5 p.m.
9,,$AA-1007-MIA-PHX,4:55 p.m.,,8:05 p.m.,7:%55?? p.m.
10,flightview,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,flylouisville,AA-1007-MIA-PHX,,5:08 p.m.,8:05 p.m.,7:55 p.m.
12,%fly??tecomm,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m????.
13,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:#55 p.m.$
14,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,,AA-1007-MIA-PHX,4??:55 #p.m.,,,7:55 p.m.
16,myrateplan,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
17,mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,,,$8:05# p.m.,7:55 p.m.
19,,AA-1007-MIA-PHX,4:55 p.m.,,,7:55 p.m.
20,quicktrip,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
21,,AA-1007-MIA-PHX,4:55 p.m.,,8:%05% p.m.,7:55 p.m.
22,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
24,,AA%-1165-JFK-MIA,6:59 a.m.,7:2??2 a.m.,10:34 a.m.,
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,
26,,,6:59 a.m.,7:22 a.m.,10:34 a.m.,
27,flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,,10:04 a.m.
28,flightexplorer,,6@#@:59 a.m.,7:22 a.m.,,10:04 a.m.
29,,AA-1165-JFK$-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.??m.%
30,flightstats,AA-1165-JFK-MIA,6:59 a.m.,,10:34 a.m.,10:04 a.m.
31,,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.$
32,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22@@ a.#m.,10:34 a.m.,10:04 a.m.
33,flytecomm,AA-1165-JFK-MIA,,,,10:04 a.m.
34,foxbusiness,,6:59 a.m.,,10:34 a.m.,10:04 a??.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,??10:04 a.m.
36,helloflight,AA-1165-JFK-MIA,,7:22 a.m.,,10:04 a.m.
37,,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,
38,myrateplan,AA-1165-JFK-MIA,,7:22 a.m.,10:34 a.m.,10:04 a.m.
39,mytripandmore,,6:59 a.m.,7:22 a.m.,10:34 a.m.,
40,or#bitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
41,panynj,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,,
42,quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
43,travelocit##y,,6:59 a.m.,@@7:22 %a.m.,10:34 a.m.,10:04 a.m.
44,wea%ther@@,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
45,world-??flight-tr%acker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a??.m$.,10:3??4 a.m.,10:04 a.m.
46,wunderground,AA-1165-JFK-MIA,6:59 a.m.,,10:34 a.m.,10:04 a.m.
47,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,,9:53 p.m.
48,,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,@@9:53@@ p.m.
49,allegiantair,AA-1221-MCO-ORD,8:00 p.m.,,9:45 p.m.,9:53 p.m.
50,boston,AA-1221-MCO-ORD,,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,businesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,@@9:53 p.m.
52,flightarrival,AA-1221-??MCO-ORD,,8:23 p.m.,9:45 p.m.,9:53 p.m.
53,flightaware,AA-1221-MCO-ORD,,,9:45 p.m.,9:53 p.m.
54,,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,,9:53 p.m.
55,flights,AA-1221-MCO-ORD,,8:23 p.m.,9:45 p.m.,9:53 p.m.
56,,AA-1221-MCO-ORD,,,9:45 p.m.,
57,,AA-1221-MCO-ORD,8:00 p#.%m.,8:23 p.m.,9:45 p.#m.,9:53 p.m.
58,,AA-1221-MCO-ORD,8:@@00 p.m.$,,9:45 p.m.,9:53 p.m.
59,flytecomm,AA-1221-MCO-ORD,,,9:45 p.m.,9:53 p.m.
60,foxbusi$nes%s,AA-1221-MCO-ORD,8:0%0 p.$m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
61,gofox,AA-1221-MCO-ORD,8:00 p.m.%,8:23 p.m.,9$:45 p.m.,9:53 p.m.
62,helloflight,AA-1221-MCO-ORD,8:00 p.m.,,9:45 p.m.,9:53 p.m.
63,m@@@@co,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,mytripandmore,AA-1221-MCO-ORD,,,9:45 p.m.,9:53???? p.m.
66,,AA-1221-MCO-ORD,8:00 p.m.,8%:23 p.m.,9:45 p.m.,9:53 p.m.
67,ord,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
68,panynj,,,8:23 p.m.,,9:53 p.m.
69,quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8#:23 p.m.,9:45 p.m.,9:53 p.m.
70,travelocity,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,
71,usatoday,AA-1221-MCO-ORD,8:00 p??.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
72,w??eather,AA-1221-MCO-ORD,8:0$0 p.m.,8:23 p.m.,9:45 p.m.,
73,world-flight-tracker,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
74,wunderground,AA-1#221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45?? p$.m.,9:53 p.m.
75,aa,,1:00 p.m.,2:04 p.m.,@@2:35 p.$m.,3:30 p.m.
76,airtravelcenter,AA-1279-DFW-PHX,1:00 p.m.,,2:35 p.m.,3:30 p.m.
77,allegiantair,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
78,boston,AA-1279-DFW-PHX,1:00 @@??p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
79,businesstravellogue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
80,d#fw,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
