Attribute,Index,Dirty Value,Cleaned Value,Clean Value
City,451,bethel,bet??hel,bethel
State,564,al,#$al,al
HospitalType,904,acute care hospitals,acute care hosp??itals,acute care hospitals
Condition,776,children s asthma care,child#ren s asthma ca%re,children s asthma care
Stateavg,433,ak_hf-1,al_hf-1,ak_hf-1
Stateavg,434,ak_hf-2,al_hf-2,ak_hf-2
Stateavg,435,ak_hf-3$,al_hf-3,ak_hf-3
Stateavg,437,ak_pn-2,al_pn-2,ak_pn-2
Stateavg,438,ak_pn-3b,al_pn-3b,ak_pn-3b
Stateavg,439,ak_pn-$4,al_pn-4,ak_pn-4
Stateavg,440,ak_pn-5c,al_pn-5c,ak_pn-5c
Stateavg,441,ak_pn-6,al_pn-6,ak_pn-6
Stateavg,442,ak_pn-7,al_pn-7,ak_pn-7
Stateavg,443,ak_scip-card-2,al_scip-card-2,ak_scip-card-2
Stateavg,445,ak_scip-inf-2,al_scip-inf-2,ak_scip-inf-2
Stateavg,446,ak_scip-inf$-3,al_scip-inf-3,ak_scip-inf-3
Stateavg,448,ak_scip-inf-6,al_scip-inf-6,ak_scip-inf-6
Stateavg,450,ak_scip-vte-2,al_scip-vte-2,ak_scip-vte-2
Stateavg,451,ak_ami-1,al_ami-1,ak_ami-1
Stateavg,452,empty,al_ami-2,ak_ami-2
