Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,550,nan,Ca??rton Brewing Company,Carton Brewing Company
brewery_name,564,Catawba Valley Brewing Company,Catawba@@ Valley Brewing Compan%y,Catawba Valley Brewing Company
brewery_name,673,Crystal Springs Brewing Company,Crystal S@@prings Brewing Compan@@y,Crystal Springs Brewing Company
brewery_name,712,Denver Beer Company,Denver Beer@@ Compa%ny,Denver Beer Company
brewery_name,721,Devil's Backbone Brewing Company,Devil's Backbone Brewing?? Company$,Devil's Backbone Brewing Company
brewery_name,1101,nan,@@Howard Br%ewing Company,Howard Brewing Company
brewery_name,2221,nan,Twiste%d X Brewing Company,Twisted X Brewing Company
brewery_name,2222,Twisted X Brewing Company,Twiste%d X Brewing Company,Twisted X Brewing Company
brewery_name,2394,Woodstock Inn Station & Brewery,Woodstock I$nn Sta??tion & Brewery,Woodstock Inn Station & Brewery
city,531,nan,??Hyannis,Hyannis
city,705,Hays,Ha#ys#,Hays
city,884,Asheville,Ash%evi#lle,Asheville
city,888,Lake Geneva,Lake# Gene#va,Lake Geneva
city,1207,nan,$Stillwat??er,Stillwater
city,1319,Somerset Center,Somerset Cente@@r,Somerset Center
city,1738,Portland,Portland????,Portland
state,823,NJ,N$#J,NJ
state,884,NC,$N$C,NC
state,888,WI,WI@@%,WI
state,960,L@@A#,L#A@@,LA
state,1384,NH,@@%NH,NH
state,1481,SC,$SC#,SC
state,2124,FL,FL$??,FL
