Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,596,nan,J Orthop Sci
journal_title,808,nan,Cardiology in the young
journal_issn,37,0025-7931,1423-0356
journal_issn,49,nan,1555-2101
journal_issn,106,1057-9249,1099-1611
journal_issn,178,nan,1930-739X
journal_issn,218,1462-8910,1463-1318
journal_issn,320,nan,1467-1107
journal_issn,643,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,659,1524-4628,0039-2499
journal_issn,888,nan,1522-726X
journal_issn,984,nan,Feb-65
