Attribute,Index,Dirty Value,Clean Value
id,8,nan,729712
id,13,nan,278396
id,22,nan,163526
id,29,nan,793918
id,35,nan,676042
id,52,nan,730822
id,56,nan,158672
id,77,nan,715052
id,99,nan,377284
id,111,nan,689284
id,113,nan,148787
id,120,nan,954493
id,128,nan,977276
id,130,nan,772616
id,133,nan,465176
id,163,nan,259916
id,165,nan,790756
id,175,nan,730191
id,183,nan,431896
id,185,nan,929252
id,187,nan,961741
id,189,nan,717315
id,210,nan,979059
id,211,nan,661572
id,231,nan,696362
id,236,nan,84944
id,253,nan,908690
id,270,nan,692358
id,274,nan,929971
id,275,nan,470385
id,283,nan,680306
id,335,nan,524073
id,336,nan,348813
id,375,nan,894502
id,392,nan,112716
id,397,nan,343395
id,407,nan,2842
id,412,nan,583682
id,421,nan,838034
id,433,nan,962338
id,437,nan,687404
id,440,nan,853882
id,446,nan,98562
id,464,nan,960371
id,475,nan,917417
id,511,nan,915463
id,512,nan,476199
id,528,nan,556803
id,532,nan,105981
id,535,nan,623367
id,536,nan,13408
id,543,nan,866131
id,571,nan,647583
id,575,nan,74821
id,597,nan,887041
id,606,nan,592201
id,629,nan,795170
id,656,nan,950926
id,663,nan,388872
id,667,nan,954980
id,669,nan,751168
id,693,nan,776197
id,712,nan,446026
id,715,nan,428909
id,720,nan,771288
id,730,nan,696132
id,741,nan,322953
id,742,nan,123731
id,748,nan,463556
id,750,nan,300057
id,761,nan,856471
id,775,nan,718292
id,780,nan,62246
id,793,nan,166179
id,802,nan,605423
id,814,nan,133777
id,835,nan,637323
id,842,nan,518335
id,853,nan,711975
id,856,nan,364080
id,863,nan,793299
id,866,nan,11709
id,879,nan,57286
id,898,nan,162189
id,909,nan,820238
id,915,nan,26216
id,924,nan,904168
id,925,nan,916713
id,929,nan,166779
id,932,nan,83012
id,935,nan,261121
id,938,nan,741988
id,943,nan,772745
id,948,nan,449419
id,950,nan,134738
id,969,nan,109843
id,977,nan,450760
id,981,nan,894794
id,988,nan,908011
article_title,2,nan,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.
article_title,10,nan,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging
article_title,14,nan,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping
article_title,32,nan,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.
article_title,39,nan,Out of harm's way: curbing violence in the ED
article_title,72,nan,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study
article_title,77,nan,Health-promoting behaviors of low-income cancer survivors
article_title,100,nan,Dietary practices of ballet jazz and modern dancers
article_title,101,nan,Iatrogenic perforation at colonic imaging.
article_title,114,nan,Patent abstractsnull
article_title,139,nan,When is carotid angioplasty and stenting the cost-effective alternative for revascularization of symptomatic carotid stenosis? A Canadian health system perspective
article_title,148,nan,The value of routine radiography in patients with knee osteoarthritis consulting primary health care: a study of agreement
article_title,171,nan,Insulin detemir lowers the risk of hypoglycaemia and provides more consistent plasma glucose levels compared with NPH insulin in Type 1 diabetes.
article_title,181,nan,The impact of bleeding complications in patients receiving novel oral anticoagulants: A systematic review and metaanalysis
article_title,189,nan,Using Debate as a Pedagogical Tool in Enhancing Pre-Service Teachers' Learning and Critical Thinking
article_title,208,nan,Stereotactic radiosurgery for spinal metastases: a literature review. [Review]
