Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,68,nan,Against The Grain Brewery$,Against The Grain Brewery
brewery_name,83,nan,Airways Br??ewing Compan#y,Airways Brewing Company
brewery_name,84,Airways Brewing Company,Airways Br??ewing Compan#y,Airways Brewing Company
brewery_name,149,Astoria Brewing Company,Astoria Brewing Comp??any,Astoria Brewing Company
brewery_name,150,nan,Astoria Brewing Comp??any,Astoria Brewing Company
brewery_name,224,Bent Brewstillery,Bent %Brews%tillery,Bent Brewstillery
brewery_name,233,nan,Berkshire Brewin??g Company,Berkshire Brewing Company
brewery_name,324,nan,Bohemian?? $Brewery,Bohemian Brewery
brewery_name,325,nan,Bohemian?? $Brewery,Bohemian Brewery
brewery_name,328,nan,Bohemian?? $Brewery,Bohemian Brewery
brewery_name,526,nan,Cape Ann Br@@e%wing Company,Cape Ann Brewing Company
brewery_name,528,Cape Ann Brewing Company,Cape Ann Br@@e%wing Company,Cape Ann Brewing Company
brewery_name,529,nan,Cape Ann Br@@e%wing Company,Cape Ann Brewing Company
brewery_name,709,nan,Denali Brewi$ng Company,Denali Brewing Company
brewery_name,710,Denali Brewing Company,Denali Brewi$ng Company,Denali Brewing Company
brewery_name,711,Denver Beer Company,Denver Beer Company@@,Denver Beer Company
brewery_name,981,Greenbrier Valley Brewing Company,Gr#eenbrier Valley Brewing Company,Greenbrier Valley Brewing Company
brewery_name,1157,KelSo Beer Company,KelSo Beer Compan$y,KelSo Beer Company
brewery_name,1189,La Cumbre Brewing Company,%La Cumbre Brewing Company,La Cumbre Brewing Company
brewery_name,1191,nan,Lancaster Brewing C@@ompany,Lancaster Brewing Company
brewery_name,1195,nan,??Latitu??de 42 Brewing Company,Latitude 42 Brewing Company
brewery_name,1275,nan,@@Mar%ble Brewery,Marble Brewery
brewery_name,1337,Mike Hess $Bre??wing Company,Mike He$ss Brewing Company%,Mike Hess Brewing Company
brewery_name,1338,Mike Hes%s Brewing% Company,Mike He$ss Brewing Company%,Mike Hess Brewing Company
brewery_name,1341,nan,Mike He$ss Brewing Company%,Mike Hess Brewing Company
brewery_name,1490,North ??Country Brewing Company,North Country Brewing Company$,North Country Brewing Company
brewery_name,1493,nan,North Country Brewing Company$,North Country Brewing Company
brewery_name,1649,Pine Street Brewery,Pine Str@@eet Br$ewery,Pine Street Brewery
brewery_name,1806,Sanitas Brewing Company,Sanitas Brewi??ng Co%mpany,Sanitas Brewing Company
brewery_name,1820,Schilling & Company,Schilling & Co??mpany,Schilling & Company
brewery_name,2166,nan,The Right Brain Brewer$y#,The Right Brain Brewery
brewery_name,2168,The Right Brain Brewery,The Right Brain Brewer$y#,The Right Brain Brewery
brewery_name,2205,Tomm#yknocker Brewery,Tommyknocker Br%ewer#y,Tommyknocker Brewery
