ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal s$phincter,,Proc R Soc Med,Proceedings of the Royal Society of Medicine,,288.6437961315162,12.0,1/1/71,1187-9,
2,498345.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,-1.0,-1.0,2/15/04,,
3,789958.0,,,,Indian J Ophthalmol,?#?0301-4738,54.0,4.0,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,169865.0,[Noninvasive pre??natal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,,,,84.0,0.0,1/13/$0#1,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,%Dermatol Clin,1@@558-0520,33.0,,1/15/10,,{Lauren C Pinter-Brown}
6,,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,,,,10.0,4.0,1/9/01,185-91,
7,823730.0,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,0007-1420,29.0,2.0,1/1/73,163-7,{B N PrichardJ W Black}
8,729712.0,,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,,,,1.0,1/1/07,43-49,
9,,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,,%1385-4046,,7.0,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,79.0,938.0,1/6/01,158-61,{K. Fl@@emingK. Donat#oK. Leszczynski}
11,184417.0,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual ??effects,,$Transportation Research Part D-Transport and Environment,,1361-9209,14.0,5.0,1??/9/01,317-325,{J. L??. LiP. Newcomb}
12,729686.0,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,,,1940-5901,8.0,6.0,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278396.0,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,92.0,,1/13/01,711-5,{T. S. Mikkol$aS. VuorentoO. YlikorkalaM. Vaisanen-TommiskaP. Rahkola-Soisalo}
14,965082.0,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Heart Rhythm,,1547-5271,,5.0,1/11/01,,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,35.0,8.0,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
