ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal sphincter,eng,,Proceedings of the Royal Society of Medicine,,64.0,12.0,,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1@@537-66%13,,-1.0,2/15/0@@4,,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958.0,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54.0,4.0,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,903246.489164657,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,,,,84.0,0.0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of Cutaneous B-cell Lymphoma.,,Dermatologic clinics,Dermatol Clin,1558-0520,,4.0,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,,,,,58.96368740962522,4.0,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,0007-1420,29.0,8.279039749059418,1/1/73,163@@-??7,{B N PrichardJ W Black}
8,729712.0,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,,,164.0,1.0,1/1/07,,
9,396821.0,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,,1385-4046,25.0,7.0,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,1930434.5699183405,,,,,,79.0,938.0,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417.0,Disparities in childhood asthma hospitalizations: A spa#tial analysis of contextual effects,,Transportation Research Part D-Transport and Environment,,1361-9209,14.0,5.0,1/9/01,317-325,{J. L. LiP#. Newcomb}
12,729686.0,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin E?#?xp Med,1940-5901,,6.0,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278396.0,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,276.8075034455347,6.0,1/13/01,71??1-5,
14,965082.0,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Hea%rt Rhythm,,1547-5271,8.0,5.0,1/11/01,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
15,,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,,,,,175.46130067764415,8.0,1/11/01,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
16,13601.0,Latex allergy in atopic children.,e??n#g,British Journal of Der%matology. ,,0007-0963,140.0,19.948985638831104,5/1/99,,{R S LeverS A Holme}
17,668310.0,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,eng,,Clin Interv Aging,,7.0,-1.0,1#/12/01,185-90,{Andreas KruseManh Hung Nguyen}
18,1066658.8696898175,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,eng,Cochrane Database Syst Rev,,1469-493X,,,1/5/01,Cd004797,{J. H. LittellM. PopaB. Forsythe}
19,478292.0,,eng,Acta Neurochirurgica,,Jan-??6@@8,139.0,3.0,1/1/97,257-8,{Y TakagiN HashimotoY Goto}
20,43736.0,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,0195-9131,39.0,,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
21,82614.0,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,eng,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,6.0,12.0,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
22,163526.0,,English,,,,40.0,0.0,,512-9 ST  - A performance improvement process to tackle tachysystole-,{V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von GruenigenA. M. BurkettJ. DoyleT. H. Kenny}
23,514411.0,,eng,Cardiovascular and intervention#al radiology,Cardi%ovasc Intervent Radiol,1432-086X,167.8689713228376,6.0,%1/14/%12,,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann Thouvenin}
