Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,68,Against The Grain Brewery,%Against The Grain Brewery,Against The Grain Brewery
brewery_name,146,Aspen Brewing Company,Aspen Brewi??ng Company,Aspen Brewing Company
brewery_name,243,Big Choice Brewing,#Big Choice$ Brewing,Big Choice Brewing
brewery_name,333,Bolero Snort Brewery,Bolero Sn??@@ort Brewery,Bolero Snort Brewery
brewery_name,927,Grapevine Craft Brewery,Grapevine Craft Br@@ewery,Grapevine Craft Brewery
brewery_name,1003,Hale's Ales,Hale's Al@@es,Hale's Ales
brewery_name,1070,nan,Hops & Gr$ain Brewery,Hops & Grain Brewery
brewery_name,1071,Ho@@#ps & Grain Brewery,Hops & Gr$ain Brewery,Hops & Grain Brewery
brewery_name,1196,Laughing Dog Brewing Company,Laughing Dog Brewing Compa%ny,Laughing Dog Brewing Company
brewery_name,1235,Lucky Town Brewing Company,??Lucky Town ??Brewing Company,Lucky Town Brewing Company
brewery_name,1398,nan,Montau%k Brewing Company$,Montauk Brewing Company
brewery_name,1649,nan,P@@i$ne Street Brewery,Pine Street Brewery
brewery_name,1669,Prescott Brewing Company,Prescott Brewing Co$mpany,Prescott Brewing Company
brewery_name,2204,Tommyknocker Brewery,Tommy??knocker Brewe%ry,Tommyknocker Brewery
brewery_name,2341,Westbrook Brewing Company,Westbrook B@@rewing Co??mpany,Westbrook Brewing Company
city,69,Lo%uisvill#e,Lo%u@@isville,Louisville
city,94,Washougal,W@@ashougal,Washougal
city,145,nan,#%Aspen,Aspen
city,580,nan,San %Luis Obispo,San Luis Obispo
city,581,San Luis Obispo,San %Luis Obispo,San Luis Obispo
city,723,nan,Bel$mo??nt,Belmont
city,725,Belmont,Bel$mo??nt,Belmont
city,1002,Seattle,Sea@@@@ttle,Seattle
city,1018,@@Rich%mond,Ric$h%mond,Richmond
city,1109,Austin,Aust#in@@,Austin
city,1196,Ponderay,Pon#dera??y,Ponderay
city,1227,East Fairfield,East %%Fairfield,East Fairfield
city,1277,nan,Belfas#t,Belfast
city,1395,San Diego,San?? Diego,San Diego
city,1397,nan,San?? Diego,San Diego
city,1502,Pacific,P@@a#cific,Pacific
city,1503,Eau Claire,Eau C%lai%re,Eau Claire
city,1510,nan,??Eugene,Eugene
city,1512,Eugene,??Eugene,Eugene
city,1513,nan,??Eugene,Eugene
city,1621,nan,Portland$,Portland
city,1660,Black Mountain,Black Mount#ain,Black Mountain
city,2126,nan,Brid@@gman,Bridgman
city,2128,Bridgman,Brid@@gman,Bridgman
city,2175,Sisters,Sis??@@ters,Sisters
city,2179,Charlottesville,Charlottes#vil$le,Charlottesville
city,2331,nan,#Dayton,Dayton
city,2333,nan,#Dayton,Dayton
city,2334,Dayton,#Dayton,Dayton
state,122,nan,W%I,WI
state,146,CO,??CO,CO
state,234,MA,MA#,MA
state,553,OR,??OR,OR
state,712,CO,#$CO,CO
state,845,TX,TX@@,TX
state,861,OH,%O$H,OH
state,1031,MT,??MT,MT
state,1182,nan,H@@I#,HI
state,1184,HI,H@@I#,HI
state,1190,PA,$@@PA,PA
state,1275,NM,N#M,NM
state,1516,TX,#T$X,TX
state,1517,nan,#T$X,TX
state,1668,AZ,%AZ,AZ
state,1682,TX,??TX,TX
state,1809,CA,C%A,CA
state,2072,VA,$VA,VA
state,2122,MT,MT%,MT
