Attribute,Index,Dirty Value,Cleaned Value
brewery_name,9,nan,18th Street Brewery
brewery_name,14,18th $Street Brewery#,18th Street Brewery
brewery_name,29,nan,21st Amendment Brewery
brewery_name,31,nan,21st Amendment Brewery
brewery_name,34,%??21st Amendment Brewery,21st Amendment Brewery
brewery_name,37,nan,21st Amendment Brewery
brewery_name,38,nan,21st Amendment Brewery
brewery_name,49,nan,4 Hands Brewing Company
brewery_name,51,nan,450 North Brewing Company
brewery_name,61,7 Seas Brewing C#ompany,7 Seas Brewing Company
brewery_name,65,Abit$a Brewing# Company,Abita Brewing Company
brewery_name,68,Against The Grain Brewery,%Against The Grain Brewery
brewery_name,75,Agains@@t the Grain Brewery,Against the Grain Brewery
brewery_name,78,Aga#inst the Grain B#rewery,Against the Grain Brewery
brewery_name,88,Alameda Brewi#ng$,Alameda Brewing
brewery_name,111,Anderson Valley Bre@@wing Company,Anderson Valley Brewing Company
brewery_name,112,nan,Anderson Valley Brewing Company
brewery_name,126,nan,Anthem Brewing Company
brewery_name,146,Aspen Brewing Company,Aspen Brewi??ng Company
brewery_name,156,@@Atwater Br#ewery,Atwater Brewery
brewery_name,157,nan,Austin Beerworks
brewery_name,163,Avery Brewing Company??,Avery Brewing Company
brewery_name,166,nan,Avery Brewing Company
brewery_name,168,Aviator Brewing Comp@@any%,Aviator Brewing Company
brewery_name,173,Aviator Br$%ewing Company,Aviator Brewing Company
brewery_name,175,nan,Back East Brewing Company
brewery_name,179,nan,Back Forty Beer Company
brewery_name,191,B%anner Beer Comp#any,Banner Beer Company
brewery_name,204,nan,Baxter Brewing Company
brewery_name,208,nan,Baxter Brewing Company
brewery_name,217,Beer Wo@@rks Brewery,Beer Works Brewery
brewery_name,218,nan,Bell's Brewery
brewery_name,223,#Be@@ll's Brewery,Bell's Brewery
brewery_name,224,Bent $Brewsti@@llery,Bent Brewstillery
brewery_name,225,Bent Brewstill$ery,Bent Brewstillery
brewery_name,228,Bent Pa??ddle Brewing Compan#y,Bent Paddle Brewing Company
brewery_name,233,nan,Berkshire Brewing Company
brewery_name,236,Bi%g Bend Brewing Com@@pany,Big Bend Brewing Company
brewery_name,243,Big Choice Brewing,#Big Choice$ Brewing
brewery_name,251,Big Riv@@er Brewing Company,Big River Brewing Company
brewery_name,254,nan,Big Sky Brewing Company
brewery_name,257,nan,Big Sky Brewing Company
brewery_name,258,nan,Big Sky Brewing Company
brewery_name,263,Big Sky Br#ewing Compan$y,Big Sky Brewing Company
brewery_name,270,Big?? Wood Bre??wery,Big Wood Brewery
brewery_name,271,nan,Big Wood Brewery
brewery_name,278,Black Market Brewing $Company$,Black Market Brewing Company
brewery_name,284,nan,Black Shirt Brewing Company
brewery_name,285,Black Tooth Brewing Co??mpany,Black Tooth Brewing Company
brewery_name,289,nan,Blackrocks Brewery
brewery_name,294,nan,Blue Blood Brewing Company
brewery_name,296,Blue Blood Br#ewing Company,Blue Blood Brewing Company
brewery_name,298,Blue Blood Brewin??g Company,Blue Blood Brewing Company
brewery_name,312,nan,Blue Mountain Brewery
brewery_name,319,nan,Blue Owl Brewing
brewery_name,323,Blue Point Brewi@@ng Company,Blue Point Brewing Company
brewery_name,326,Bohemian B$rewery,Bohemian Brewery
brewery_name,328,nan,Bohemian Brewery
brewery_name,333,Bolero Snort Brewery,Bolero Sn??@@ort Brewery
brewery_name,336,nan,Bonfire Brewing Company
brewery_name,338,nan,Bonfire Brewing Company
brewery_name,344,nan,Bonfire Brewing Company
brewery_name,348,nan,Bonfire Brewing Company
brewery_name,350,nan,Bonfire Brewing Company
brewery_name,359,nan,Boston Beer Company
brewery_name,362,nan,Boston Beer Company
brewery_name,367,Bou$lder Beer Compa%ny,Boulder Beer Company
brewery_name,369,Boxcar B#rewing Company,Boxcar Brewing Company
brewery_name,386,Brew B@@us Br$ewing,Brew Bus Brewing
brewery_name,393,nan,Brewery Vivant
brewery_name,395,Brewery V??iva#nt,Brewery Vivant
brewery_name,397,Brewer$y Vivant,Brewery Vivant
brewery_name,402,B%rewery V%ivant,Brewery Vivant
brewery_name,419,nan,Brewery Vivant
brewery_name,423,B#rewery Vivan$t,Brewery Vivant
brewery_name,438,nan,Brewery Vivant
brewery_name,439,B#rewery Vivant,Brewery Vivant
brewery_name,444,Brewery #Vivan@@t,Brewery Vivant
brewery_name,446,Brewery Vivant%,Brewery Vivant
brewery_name,448,Brewery@@ Vivant,Brewery Vivant
brewery_name,483,nan,Burn 'Em Brewing
brewery_name,485,nan,Burn 'Em Brewing
brewery_name,499,COOP Ale Wor#ks,COOP Ale Works
brewery_name,504,nan,COOP Ale Works
brewery_name,511,Caldera Brewing Co%mpany,Caldera Brewing Company
brewery_name,517,Cald#era #Brewing Company,Caldera Brewing Company
brewery_name,518,Caldera Brewing$ C$ompany,Caldera Brewing Company
brewery_name,522,nan,Cans Bar and Canteen
brewery_name,542,Capital %Brewer%y,Capital Brewery
brewery_name,545,nan,Carolina Beer & Beverage
brewery_name,548,Carolina Bre??wery,Carolina Brewery
brewery_name,550,nan,Carton Brewing Company
brewery_name,552,Carton Br??ewing Company,Carton Brewing Company
brewery_name,554,Cascadia Ciderworks Un@@ited,Cascadia Ciderworks United
brewery_name,555,Catawba?? Brewing Company,Catawba Brewing Company
brewery_name,566,Cedar Creek Brewe#ry$,Cedar Creek Brewery
brewery_name,569,nan,Cedar Creek Brewery
brewery_name,571,nan,Cedar Creek Brewery
brewery_name,581,Central Coast Brewi@@ng Company,Central Coast Brewing Company
brewery_name,586,Chapman's@@# Brewing,Chapman's Brewing
brewery_name,599,Cigar City Br$ewing Company,Cigar City Brewing Company
brewery_name,617,nan,Cigar City Brewing Company
brewery_name,619,Cigar$ City B%rewing Company,Cigar City Brewing Company
brewery_name,629,nan,Cisco Brewers
brewery_name,630,Cisco Bre@@@@wers,Cisco Brewers
brewery_name,637,nan,Coastal Extreme Brewing Company
brewery_name,651,nan,Crabtree Brewing Company
brewery_name,653,Crazy Mountain Brewing Com$pany,Crazy Mountain Brewing Company
brewery_name,664,nan,Crooked Fence Brewing Company
brewery_name,665,nan,Crooked Fence Brewing Company
brewery_name,672,Crow Peak Brewing Co$mpany,Crow Peak Brewing Company
brewery_name,679,nan,D.L. Geary Brewing Company
brewery_name,681,nan,DC Brau Brewing Company
brewery_name,684,nan,DC Brau Brewing Company
brewery_name,687,%DC Brau Brewing Company,DC Brau Brewing Company
brewery_name,698,Deep ??Ellum Brewing ??Company,Deep Ellum Brewing Company
brewery_name,702,nan,Deep Ellum Brewing Company
brewery_name,709,Denali Brew#ing Compan??y,Denali Brewing Company
brewery_name,711,nan,Denver Beer Company
brewery_name,716,De#stihl Brewery,Destihl Brewery
brewery_name,724,De@@vil's Canyon Brewery,Devil's Canyon Brewery
brewery_name,725,Devil's@@ Canyo??n Brewery,Devil's Canyon Brewery
brewery_name,760,nan,Everybody's Brewing
brewery_name,764,nan,Evil Czech Brewery
brewery_name,767,nan,Evil Twin Brewing
brewery_name,779,F#ate Brewing Co@@mpany,Fate Brewing Company
brewery_name,805,nan,Firestone Walker Brewing Company
brewery_name,807,Fir%estone Walker Brewing Company,Firestone Walker Brewing Company
brewery_name,829,Fort %Ge??orge Brewery,Fort George Brewery
brewery_name,832,Fort George Brewery#,Fort George Brewery
brewery_name,868,Freetail Brewing Comp#a#ny,Freetail Brewing Company
brewery_name,873,nan,Freetail Brewing Company
brewery_name,884,nan,French Broad Brewery
brewery_name,897,nan,Golden Road Brewing
brewery_name,911,nan,Good People Brewing Company
brewery_name,916,Goose Island ??Brewing Company,Goose Island Brewing Company
brewery_name,927,Grapevine Craft Brewery,Grapevine Craft Br@@ewery
brewery_name,955,nan,Great Divide Brewing Company
brewery_name,962,Great River B@@rewery,Great River Brewery
brewery_name,963,Great Ri$ver?? Brewery,Great River Brewery
brewery_name,979,Grea$t# River Brewery,Great River Brewery
brewery_name,991,Grey Sail Brewin??g of Rhode Island,Grey Sail Brewing of Rhode Island
