Attribute,Index,Dirty Value,Clean Value
id,5,2494328.6025181487,803653
id,20,194684.72697789484,43736
id,52,3297496.81435844,730822
id,88,672455.2107765146,220950
id,108,2263777.16963643,591619
id,130,4484400.132947913,772616
id,136,1959122.5527848485,380945
id,141,3207379.2384941853,595469
id,175,2213768.5541048697,730191
id,176,135862.64870370014,42135
id,178,1156337.3471025017,335521
id,191,5171850.6450809445,928952
id,193,1922413.947694256,550350
id,210,3873735.19280095,979059
id,223,4155617.710157638,901385
id,227,2022296.953650315,481882
id,229,3147536.8718959643,581864
id,234,1413638.965256728,235689
id,255,3993965.4998668735,759329
id,273,1163446.6282854876,253149
id,293,1185333.442896954,392246
id,308,1879493.7305603295,351534
id,373,830618.0784258796,180827
id,379,3604786.248992008,752280
id,414,314875.2549027165,54613
id,430,754168.0381952233,217524
id,447,293793.71947526274,56014
id,454,3365646.0337787513,697286
id,459,4889755.773128922,850788
id,493,957908.9012099802,208435
id,495,113133.02159854164,36253
id,518,742366.0002046825,144339
id,528,2815260.712285661,556803
id,557,1175777.0627181686,258486
id,558,3260841.727419632,961081
id,561,4143960.362532603,812757
id,563,991478.4987102346,180977
id,580,3056195.4262156156,919014
id,591,3209885.5345679615,587683
id,593,1511059.5285101244,313584
id,602,1756849.2166168762,361682
id,641,158234.31803795754,31763
id,650,3108246.5188340596,935189
id,654,3528210.937904799,774830
id,684,2631051.340050692,757660
id,689,1527286.4203436845,292980
id,690,221522.2019360525,38197
id,700,5324081.8028977765,894415
id,705,699302.921331054,157566
id,707,2495486.99933885,560120
id,728,1151893.0029626922,222452
id,733,3365756.591839126,617801
id,772,2467920.7743256567,572343
id,829,1745658.1822341648,411673
id,849,3035154.145594564,641251
id,898,709813.089160517,162189
id,935,1444735.6396674344,261121
id,942,1455296.165112947,360693
id,943,2360581.6017138734,772745
id,946,429215.2922916679,97775
id,948,1886583.5320772247,449419
id,999,4621554.574414465,968815
article_title,28,Diminished A-cell secretion in the early phase of type I diabetes mellit#us,Diminished A-cell secretion in the early phase of type I diabetes mellitus
article_title,45,Methodology to e%st$imate building energy consumption using EnergyPlus Benchmark Models,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models
article_title,51,%Use of alendronate in peri-implant defect regenerat@@ion,Use of alendronate in peri-implant defect regeneration
article_title,56,Quantitative Analysis of Robustness of Dynamic Response and %Signal Transfer in Ins#ulin mediated PI3K/AKT Pathway.,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.
article_title,120,The Hierarchical Organization of Intellec??tual Structures,The Hierarchical Organization of Intellectual Structures
article_title,133,A literature review on chronic pain: the daily o??vercoming of a complex problem.,A literature review on chronic pain: the daily overcoming of a complex problem.
article_title,143,Terbutaline pump for the prev#ention of preterm birth (Structured abstract),Terbutaline pump for the prevention of preterm birth (Structured abstract)
article_title,164,Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Rep??rinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management-marrying the practical with the science. Wound Heal South Afr 2010;3(1):7-10,Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Reprinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management-marrying the practical with the science. Wound Heal South Afr 2010;3(1):7-10
article_title,188,A systemati#c r@@eview on acupuncture for trigeminal neuralgia (Provisional abstract),A systematic review on acupuncture for trigeminal neuralgia (Provisional abstract)
article_title,210,Difference in fascicle behaviors between supe$rficial and deep quadric@@eps muscles during isometric contractions.,Difference in fascicle behaviors between superficial and deep quadriceps muscles during isometric contractions.
article_title,213,[Osteoporosis preven%tion in patients w??ith low energy hip fractures hospitalized in the orthopedic department],[Osteoporosis prevention in patients with low energy hip fractures hospitalized in the orthopedic department]
article_title,214,A??merican p??alm ethnomedicine: a meta-analysis..,American palm ethnomedicine: a meta-analysis..
article_title,235,Comparative effectiveness of instructio#nal design features in simulation-based education: systematic review and meta-analysis.,Comparative effectiveness of instructional design features in simulation-based education: systematic review and meta-analysis.
article_title,237,Plasma concentration of asymmetric dimethylarginine an%d the risk of coronary heart disease: rat$ionale and design of the multicenter CARDIAC study.,Plasma concentration of asymmetric dimethylarginine and the risk of coronary heart disease: rationale and design of the multicenter CARDIAC study.
article_title,290,Direct healthcare costs and cost-e%ffectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results
article_title,329,New therapies in soft tissue sarco%ma,New therapies in soft tissue sarcoma
article_title,385,Cost-effectiveness of inte#rventio%ns promoting physical activity.,Cost-effectiveness of interventions promoting physical activity.
article_title,388,Urban rural and re$gional variations in physical activity,Urban rural and regional variations in physical activity
article_title,403,Supply chain orientation in SMEs as an a??ttitudinal cons%truct,Supply chain orientation in SMEs as an attitudinal construct
article_title,412,Critique that! Analytical Writing Assignments in Advanced Ma%thematics Courses,Critique that! Analytical Writing Assignments in Advanced Mathematics Courses
article_title,420,#Impact of hepatitis C on survival in dialysis @@patients: A link with cardiovascular mortality?.,Impact of hepatitis C on survival in dialysis patients: A link with cardiovascular mortality?.
article_title,426,Disconti??nuing penicillin prophylaxis in children with sickle @@cell anemia. Prophylactic Penicillin Study II,Discontinuing penicillin prophylaxis in children with sickle cell anemia. Prophylactic Penicillin Study II
article_title,443,Why is functional capacity decreased in hypertensive patients? From mechani$sms to clinical studie@@s.,Why is functional capacity decreased in hypertensive patients? From mechanisms to clinical studies.
article_title,444,Personality prof@@ile and #exercise dependence,Personality profile and exercise dependence
article_title,454,Central corneal melting associated with refo#rmulated generic diclofenac in a patient@@ with inferior fornix foreshortening.,Central corneal melting associated with reformulated generic diclofenac in a patient with inferior fornix foreshortening.
article_title,480,HRQoL after coronary artery bypass grafting and percutaneous coronary intervention for# stabl@@e angina.,HRQoL after coronary artery bypass grafting and percutaneous coronary intervention for stable angina.
article_title,482,Chronic pain-ass#ociated behav#iors in the nursing home: resident versus caregiver perceptions,Chronic pain-associated behaviors in the nursing home: resident versus caregiver perceptions
article_title,487,Pul#monary rehabilitation for chronic obstructive pulmonary disease: a pilot study$ evaluating a once-weekly versus twice-weekly supervised programme.,Pulmonary rehabilitation for chronic obstructive pulmonary disease: a pilot study evaluating a once-weekly versus twice-weekly supervised programme.
article_title,510,The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients under#going contrast-enh@@anced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract),The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients undergoing contrast-enhanced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract)
article_title,517,Protective effect of ginsenoside Rb1 against myocardial is@@chemia/reperfusion injury in strepto@@zotocin-induced diabetic rats,Protective effect of ginsenoside Rb1 against myocardial ischemia/reperfusion injury in streptozotocin-induced diabetic rats
article_title,533,The parvalbumin-po$sitive interneurons in the mouse dentate gyr??us express GABAA receptor subunits 1 _2 and  along their extrasynaptic cell membrane.,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1 _2 and  along their extrasynaptic cell membrane.
article_title,546,Chronic compartment syndrome an important cause of work-rela%ted upper #limb disorder,Chronic compartment syndrome an important cause of work-related upper limb disorder
article_title,555,Diagnostic accuracy of endoscopic ultrasound-guided fine-needle aspiration for solid pancreatic lesio@@n: a systematic review.,Diagnostic accuracy of endoscopic ultrasound-guided fine-needle aspiration for solid pancreatic lesion: a systematic review.
article_title,560,Behavioral and cognitive measurement@@s predict scores on the MAST: a 3-year prospective study??.,Behavioral and cognitive measurements predict scores on the MAST: a 3-year prospective study.
article_title,578,Hosp??italized heart failure patients with preserved vs. reduced     ejection fraction in Dubai United Arab Emirates: a prospective     study,Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai United Arab Emirates: a prospective     study
article_title,588,Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the chal$??lenges compared to level walking?,Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the challenges compared to level walking?
article_title,592,Meas$ures of exposure to the We%ll London Phase-1 intervention and their association with health well-being and social outcomes,Measures of exposure to the Well London Phase-1 intervention and their association with health well-being and social outcomes
article_title,628,Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis a pre-c%ancerous condition of oral cancer.,Association between genetic polymorphism of tumor necrosis factor-alpha and risk of oral submucous fibrosis a pre-cancerous condition of oral cancer.
article_title,647,Enhanced meta-analysis of acetylcholine binding protein structur%es reveals conformational signatures of agonism in nicotinic receptors.,Enhanced meta-analysis of acetylcholine binding protein structures reveals conformational signatures of agonism in nicotinic receptors.
article_title,649,A 23-year-old Hispanic migrant fieldworker w#ho presents with a painful rash on his limbs trunk and #face. Guttate psoriasis.,A 23-year-old Hispanic migrant fieldworker who presents with a painful rash on his limbs trunk and face. Guttate psoriasis.
article_title,668,School Climate ??an@@d Students' Early Mathematics Learning: Another Search for Contextual Effects.,School Climate and Students' Early Mathematics Learning: Another Search for Contextual Effects.
article_title,685,Ab#stracts %15,Abstracts 15
article_title,732,Air pollution and risk of urinary bladder @@cancer in a case-co@@ntrol study in Spain,Air pollution and risk of urinary bladder cancer in a case-control study in Spain
article_title,764,Intra-operative change# of gastric ph during laparotomic cholecystectomy under general anaesthesia: A prospective case-control study,Intra-operative change of gastric ph during laparotomic cholecystectomy under general anaesthesia: A prospective case-control study
article_title,770,Measuring the bright side of being blue: a new tool fo??r assessing analyti#cal rumination in depression.,Measuring the bright side of being blue: a new tool for assessing analytical rumination in depression.
article_title,773,Core symptom %measures in cancer clinical trials.,Core symptom measures in cancer clinical trials.
article_title,779,Magnetic resonance imaging evaluation of bone m%arrow changes in obstructive sleep apnoea syndrome in adults,Magnetic resonance imaging evaluation of bone marrow changes in obstructive sleep apnoea syndrome in adults
