Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,617,The European respiratory jou%??rnal,The European respiratory journal
journal_title,643,Public health nursing (Boston Mass.),Public health nursing (Bosto@@n Mass.)
journal_title,801,Jour@@nal of the National Cancer Institute,Journal of the National Cancer Institute
journal_title,808,Cardiology in the y%oung,Cardiology in the young
journal_title,853,Ci#rculation,Circulation
journal_issn,105,1432-@@0843,1432-0843
journal_issn,106,1057-9249,1099-1611
journal_issn,178,1930-7381,1930-739X
journal_issn,218,1462-8910,1463-1318
journal_issn,416,1097-0142,1097??-0142
journal_issn,473,1095-920#3,1095-9203
journal_issn,643,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,659,1524-4628,0039-2499
journal_issn,747,Mar-67,??Mar-6@@7
journal_issn,855,1423-0356,0025-7931
journal_issn,894,1399-3003,0903-1936
journal_issn,993,1423-0@@@@380,1423-0380
