Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,PLoS?? One,PLoS One
journal_title,105,nan,Cancer chemotherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,149,nan,Gut
journal_title,348,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal dise??ase : the official journal of the Association of Coloproctology of Great B??ritain and Ireland
journal_title,422,nan,Jou$rnal of dental research#
journal_title,532,Scienc$e (New York@@ N.Y.),Science (New York N.Y.)
journal_title,546,nan,Rheumatology (Oxford)
journal_title,556,nan,International journal of obesity (2005)
journal_title,596,@@J Orthop Sci,J Orthop Sci
journal_title,643,nan,Public health nursing (Boston Mass.)
journal_title,644,Circulation,$Circulation
journal_title,664,nan,PLoS One
journal_title,801,Journal of the National Cancer Institute??,Journal of the National Cancer Institute
journal_title,858,nan,$Circulation
journal_title,993,Tumour biology : the journal of th%e International Society for Onco#developmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_issn,194,nan,1460-2105@@
journal_issn,256,$1467-110%7,1467-1107
journal_issn,289,nan,1932-6203
journal_issn,309,nan,0017-5749
journal_issn,348,14#%63-1318,1462-8910
journal_issn,435,Feb@@-65,Feb-65
journal_issn,532,nan,1095-9203
journal_issn,546,nan,1462-0324
journal_issn,556,nan,1476-5497
journal_issn,619,nan,15%25-1446
journal_issn,644,1524-4539,22-Sep
journal_issn,657,1460-2385,1460@@-2#385
journal_issn,659,1524-4628,0039-2499
journal_issn,798,0363-5023,0363-50??23
journal_issn,801,1@@460-21??05,1460-2105@@
journal_issn,868,nan,1432-0843
journal_issn,888,nan,1522-#726%X
journal_issn,916,nan,1521-186X
journal_issn,959,nan,1539??-#3704
journal_issn,993,nan,1423-0380
