Attribute,Index,Dirty Value,Clean Value
id,6,nan,98234
id,9,nan,396821
id,10,nan,340222
id,15,nan,53321
id,24,2455740.432032471,569841
id,26,84016.00697971958,21910
id,27,nan,378490
id,30,nan,819166
id,34,nan,379737
id,37,5800582.234530369,968125
id,39,nan,732534
id,41,nan,372175
id,47,2592984.601000818,433667
id,49,nan,102893
id,51,nan,217725
id,52,2593663.236405703,730822
id,54,159780.94994063914,42247
id,57,2837639.4865105357,616298
id,59,2039915.8066344815,548616
id,60,2718331.511580313,669596
id,69,nan,93659
id,74,2642050.6721115555,574309
id,79,nan,140274
id,85,nan,889481
id,87,3523768.714579024,604985
id,89,nan,770196
id,91,1680867.894958722,346326
id,95,nan,417578
id,103,nan,491006
id,107,4377965.372819246,764224
id,114,nan,779281
id,125,nan,946006
id,126,nan,36429
id,129,nan,369578
id,141,1839530.50100047,595469
id,146,4135797.508997907,957059
id,151,760098.9864728582,182986
id,156,2714040.4765608218,736183
id,161,1069579.3653999155,203935
id,165,nan,790756
id,168,3207805.709587138,631610
id,171,nan,429995
id,175,4024642.643062386,730191
id,178,nan,335521
id,179,nan,22708
id,182,nan,657210
id,189,3335009.823159323,717315
id,190,3470250.0246704896,967781
id,191,4129342.839746108,928952
id,197,448197.0239603156,143029
id,202,nan,546048
id,204,nan,971456
id,205,nan,533193
id,206,nan,970436
id,208,2597548.8726420836,464335
id,210,4032816.6743108938,979059
id,211,2610170.7643145523,661572
id,212,nan,132901
id,219,nan,184949
id,225,1955411.697931775,431348
id,235,3845776.143323702,659896
id,236,282828.7196239203,84944
id,243,nan,111336
id,245,3836160.296487249,674696
id,246,1467363.9438310598,258108
id,249,nan,631704
id,250,4123602.592801875,846537
id,251,nan,973076
id,252,nan,931402
id,255,nan,759329
id,256,1182464.688446714,386327
id,263,3115724.2514347206,625016
id,270,nan,692358
id,271,4394244.757036393,836847
id,276,nan,731703
id,278,nan,685178
id,279,nan,653325
id,280,nan,893573
id,291,nan,46028
id,294,4162114.5969921728,904889
id,301,nan,246204
id,302,2676523.9862231137,857402
id,304,2659475.6022486454,716785
id,305,3106392.209433663,746065
id,306,2879197.1352660432,738322
id,307,nan,934177
id,308,1996697.210677296,351534
id,309,nan,872389
id,310,2191397.237819163,499983
id,313,nan,735083
id,314,3079166.90236994,978471
id,315,699044.6884338142,152626
id,316,nan,90272
id,318,nan,931361
id,321,nan,951168
id,326,nan,453637
id,327,298570.7906289063,57483
id,328,1908188.6829211805,462849
id,335,nan,524073
id,337,nan,427933
id,338,22847.58078630145,6862
id,341,2996300.5164928474,734870
id,345,nan,441902
id,346,4371870.438962033,950233
id,354,2674952.510731509,689666
id,355,4457455.118042251,896848
id,357,900829.8999510384,232896
id,358,3337140.075994053,798716
id,362,nan,235924
id,368,4394126.394675623,923043
id,369,nan,248075
id,374,2925286.0407284764,723057
id,377,3694964.7411934016,816944
id,383,2413615.982717057,757176
id,387,nan,178424
id,388,nan,716357
id,389,1874619.7318177049,448010
id,391,2232773.824760561,624354
id,396,nan,852332
id,398,4076044.9319836656,826830
id,399,nan,905100
id,401,nan,771377
id,405,nan,533425
id,409,1081226.1482592814,205187
id,412,2548847.250584043,583682
id,415,2074966.3260206012,450749
id,418,2318563.369157427,475847
id,420,nan,450528
id,422,nan,119186
id,428,nan,369162
id,429,nan,209896
id,430,nan,217524
id,431,nan,694007
id,433,5517328.001555527,962338
id,437,nan,687404
id,439,nan,982590
id,440,nan,853882
id,446,nan,98562
id,447,308738.98289643286,56014
id,457,nan,123492
id,459,4284938.40057816,850788
id,464,5339330.442542164,960371
id,465,nan,944668
id,466,nan,873987
id,469,nan,846319
id,472,654480.0388140392,146560
id,474,nan,385772
id,476,nan,517503
id,477,295703.69995463616,72325
id,480,nan,145874
id,483,nan,732272
id,486,1184157.344837733,378289
id,490,3446185.8399261623,697880
id,497,nan,720372
id,502,3743198.5620704223,699523
id,505,3023114.8704939485,850418
id,510,nan,473599
id,514,960782.7109058192,213794
id,516,nan,89897
id,517,nan,187552
id,519,nan,656518
id,521,nan,130308
id,529,nan,73792
id,535,nan,623367
id,541,1726129.9302551365,520843
id,543,nan,866131
id,547,nan,491837
id,549,2861079.539433669,525874
id,550,nan,26475
id,554,910688.948328805,268361
id,557,1144055.5199716522,258486
id,558,nan,961081
id,559,278497.16733142023,52681
id,560,3588324.732860941,828156
id,561,nan,812757
id,564,2957806.745581425,828214
id,565,570224.1001130351,176160
id,566,nan,677752
id,567,533436.6853854698,107417
id,569,nan,708911
id,571,nan,647583
id,573,nan,283168
id,576,nan,373015
id,578,nan,574242
id,581,nan,494428
id,585,2209985.3452724596,435904
id,586,1418020.425197129,407245
id,589,nan,862844
id,604,2115333.482405151,636937
id,605,2970033.854022097,743394
id,609,nan,759501
id,615,nan,145770
id,616,72095.16174239563,24026
id,617,210737.0372382016,44484
id,620,nan,779555
id,622,nan,646572
id,625,858334.7322509475,231933
id,632,2306073.8946190393,505530
id,642,nan,949775
id,649,nan,718091
id,660,307698.42742528685,56464
id,669,nan,751168
id,676,nan,490750
id,677,nan,136068
id,681,nan,577842
id,686,nan,65723
id,689,nan,292980
id,691,nan,160820
id,692,nan,876536
id,693,nan,776197
id,698,nan,179196
id,701,785707.3776501695,187769
id,706,nan,589465
id,708,323820.282742984,107924
id,709,3397422.677221737,797967
id,714,nan,558766
id,717,nan,837546
id,722,3268830.7970200498,888477
id,732,1590034.3923298966,332032
id,740,nan,875781
id,742,479495.75967545214,123731
id,743,768513.3163425239,180588
id,746,nan,964184
id,748,nan,463556
id,750,nan,300057
id,752,nan,292018
id,754,2736281.766102648,668772
id,756,nan,788507
id,757,2462899.058486368,620483
id,771,3032503.908480803,625306
id,772,2028576.7281481149,572343
id,774,3537179.4441190637,663339
id,777,nan,307302
id,779,2356916.338160941,413717
id,782,nan,649817
id,787,3365087.67222256,724055
id,788,nan,63738
id,798,nan,521132
id,803,2128841.4233228653,495319
id,809,nan,645061
id,817,nan,899060
id,818,1369983.662249629,424254
id,822,nan,743819
id,826,nan,382853
id,828,nan,407082
id,829,1634069.9118082435,411673
id,835,2393599.169586819,637323
id,838,50545.52871766886,9325
id,840,138219.51421141627,38130
id,846,nan,820549
id,849,2378547.191745704,641251
id,854,60726.07265023955,12554
id,857,3743220.044022792,727134
id,869,nan,395807
id,872,2808581.5967765553,691035
id,873,nan,801512
id,879,nan,57286
id,881,383881.7871584165,107979
id,886,nan,399134
id,897,nan,15325
id,899,1350758.570530208,434500
id,901,20488.099776820076,6786
id,912,nan,422951
id,915,nan,26216
id,925,3078029.573365518,916713
id,926,4534043.397673148,819804
id,932,253347.65594387444,83012
id,938,nan,741988
id,942,2076403.1128972613,360693
id,943,nan,772745
id,946,nan,97775
id,953,1018446.8881609954,215820
id,956,nan,773090
id,968,1705330.7098612385,332926
id,974,2712683.1505653155,482584
id,977,2653291.36289053,450760
id,978,nan,160121
id,988,3639041.768374645,908011
id,993,nan,73289
id,995,nan,255382
article_title,1,Late repair of injuries of the anal s$phincter,Late repair of injuries of the anal sphincter
article_title,3,nan,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.
article_title,4,[Noninvasive pre??natal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]
article_title,8,nan,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury
article_title,11,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual ??effects,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects
article_title,19,nan,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.
article_title,20,Effect of pedal$ing technique on mechanical effectiveness and efficiency in cyclists.,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.
article_title,23,nan,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.
article_title,26,Examining waiting placement in hospita#l: u#tilization and the lived experience.,Examining waiting placement in hospital: utilization and the lived experience.
article_title,28,Diminished A-cell secretion in th$e ear#ly phase of type I diabetes mellitus,Diminished A-cell secretion in the early phase of type I diabetes mellitus
article_title,29,nan,Strong stability and host specific bacterial community in faeces of ponies.
article_title,31,[A case of giant Brunner's% gland hyperplasia combined with adenomyoma@@tous hyperplasia].,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].
article_title,33,Optimal Starting Age for School Attendance: FY76 I??ssue Analysis,Optimal Starting Age for School Attendance: FY76 Issue Analysis
article_title,34,Bone density and body composition in young wom$en with chronic fatigue syndrome.,Bone density and body composition in young women with chronic fatigue syndrome.
article_title,36,Child sexual abuse as a risk factor for sexu??al risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.
article_title,37,Successful ??treatment of lung ca%ncer by multimodal endobronchial interventions,Successful treatment of lung cancer by multimodal endobronchial interventions
article_title,47,Norton Waterl%ow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement,Norton Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement
article_title,51,Use o$f alendronate in peri-implant defect regeneration,Use of alendronate in peri-implant defect regeneration
article_title,56,nan,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.
article_title,57,nan,Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.
article_title,63,nan,A Modified Technique for Pulmonary Valve Replacement with a Homograft
article_title,64,Advances in allergic skin disease anaphylaxis and hypersensitivity reactions to foods dr@@ugs and insects,Advances in allergic skin disease anaphylaxis and hypersensitivity reactions to foods drugs and insects
article_title,66,Neck@@ pai#n.,Neck pain.
article_title,69,[The anxiety level of the patients who will have ultrasound-guided puncture #biopsy: a survey study].,[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].
article_title,77,Health-pro#moting behaviors of low-income cancer survivors,Health-promoting behaviors of low-income cancer survivors
article_title,82,Classifying radiographic progres%sion status in early rheumatoid arthritis patients using propensity score%s to adjust for baseline differences.,Classifying radiographic progression status in early rheumatoid arthritis patients using propensity scores to adjust for baseline differences.
article_title,89,nan,FIGO staging of gynecologic cancer. 1994-1997 FIGO Committee on Gynecologic Oncology. International Federation of Gynecology and Obstetrics
article_title,90,nan,Effect of neuromuscular electrical stimulation and isotonic exercises in flexor and extensor muscles of knee of hemiplegic patients
article_title,91,nan,Ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.
article_title,94,Intimate Pa??rtner Violence Survivors' Unmet Social Service Needs,Intimate Partner Violence Survivors' Unmet Social Service Needs
article_title,95,Partial fill strateg@@ies for oral on??colytics to reduce waste and drive persistency,Partial fill strategies for oral oncolytics to reduce waste and drive persistency
article_title,101,Iatrogenic perforation at colo%nic@@ imaging.,Iatrogenic perforation at colonic imaging.
article_title,104,nan,Risk of gestational diabetes mellitus in women with polycystic ovary syndrome: a systematic review and a meta-analysis.
article_title,106,A qualitative exploration of the cancer exper$ience among long-term $survivors: comparisons by cancer type ethnicity gender and age.,A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type ethnicity gender and age.
article_title,107,High intensity interval exercise training in %overweight young women,High intensity interval exercise training in overweight young women
article_title,110,nan,Pool fencing for preventing drowning in children.
