Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,348,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal dise??ase : the official journal of the Association of Coloproctology of Great B??ritain and Ireland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
journal_title,422,nan,Jou$rnal of dental research#,Journal of dental research
journal_title,644,Circulation,$Circulation,Circulation
journal_title,858,nan,$Circulation,Circulation
journal_issn,194,nan,1460-2105@@,1460-2105
journal_issn,348,14#%63-1318,1462-8910,1463-1318
journal_issn,619,nan,15%25-1446,0737-1209
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,657,1460-2385,1460@@-2#385,1460-2385
journal_issn,659,1524-4628,0039-2499,1524-4628
journal_issn,798,0363-5023,0363-50??23,0363-5023
journal_issn,801,1@@460-21??05,1460-2105@@,1460-2105
journal_issn,888,nan,1522-#726%X,1522-726X
journal_issn,959,nan,1539??-#3704,1539-3704
