Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,129,Appalachian Mountain Brewery,Appalachian Mountain #Brewery%,Appalachian Mountain Brewery
brewery_name,147,nan,Astoria Brew@@ing Company#,Astoria Brewing Company
brewery_name,149,nan,Astoria Brew@@ing Company#,Astoria Brewing Company
brewery_name,150,Astoria Brewing Company,Astoria Brew@@ing Company#,Astoria Brewing Company
brewery_name,182,Bale Breaker Brewing Company,Bale Breaker Brewing Comp@@any,Bale Breaker Brewing Company
brewery_name,318,nan,B??lue #Owl Brewing,Blue Owl Brewing
brewery_name,456,Broken Tooth Brewing Company,B??roken Tooth Brewing% Company,Broken Tooth Brewing Company
brewery_name,584,Champion Brewing Company,Champi@@on Brewing Company$,Champion Brewing Company
brewery_name,661,Creature Comforts,Creature Comforts$,Creature Comforts
brewery_name,722,nan,Devil's Backbone B#rewing Company,Devil's Backbone Brewing Company
brewery_name,776,Fat Head's Brewery,Fat He$ad's Brewe#ry,Fat Head's Brewery
brewery_name,811,Flat 12 Bierwerks,Flat 1@@2 Bierwerks,Flat 12 Bierwerks
brewery_name,843,nan,F$ounder#s Brewing Company,Founders Brewing Company
brewery_name,844,Founders Bre%wing Company,F$ounder#s Brewing Company,Founders Brewing Company
brewery_name,889,Geneva Lake Brewing Company,Geneva Lake Brewing Comp%any,Geneva Lake Brewing Company
brewery_name,1190,Lancaster Br??ewing Comp#any,Lancaster Brew$ing Company%,Lancaster Brewing Company
brewery_name,1316,Mavericks Beer Company,Mavericks Beer @@Company,Mavericks Beer Company
brewery_name,1399,Montauk Brewing Company,Montauk Brewing@@ Compan$y,Montauk Brewing Company
brewery_name,1441,nan,Nebraska Brewin#g Company,Nebraska Brewing Company
brewery_name,1502,nan,Nort#hwest Brewing Company,Northwest Brewing Company
brewery_name,1516,nan,$Oasis Texas Brewing Co??mpany,Oasis Texas Brewing Company
brewery_name,1517,Oasis Texas Brewing Company,$Oasis Texas Brewing Co??mpany,Oasis Texas Brewing Company
brewery_name,1621,Peak Organic Brewing Company,Peak$ Organic Brewing Co%mpany,Peak Organic Brewing Company
brewery_name,1681,Rahr & Sons Brewing Company,Rahr & Sons@@ Brewing Company,Rahr & Sons Brewing Company
brewery_name,1831,Seattle Cider Company,Seattl@@e Cider C#ompany,Seattle Cider Company
brewery_name,1993,Steamworks Brewing Company,Steamworks Br$ewing Company,Steamworks Brewing Company
brewery_name,2128,Tapist%ry Brewing,Tapist$ry Br@@ewing,Tapistry Brewing
brewery_name,2262,nan,%Uncle Billy's Brewery a@@nd Smokeh...,Uncle Billy's Brewery and Smokeh...
brewery_name,2265,Uncle John's Fruit House Winery,Uncle John's Fruit House W@@inery,Uncle John's Fruit House Winery
brewery_name,2297,Upstate Brewing Company$,Upstate Brew$ing Company,Upstate Brewing Company
brewery_name,2382,nan,Wisconsin Brewing %Company,Wisconsin Brewing Company
brewery_name,2385,Wisconsin Brewing Company,Wisconsin Brewing %Company,Wisconsin Brewing Company
city,220,Kalamazoo,Kala@@#mazoo,Kalamazoo
city,330,nan,%Jacks$onville,Jacksonville
city,331,Jacksonville,%Jacks$onville,Jacksonville
city,473,Houston,Ho??ust@@on,Houston
city,592,nan,$Cheboygan,Cheboygan
city,593,Cheboygan,$Cheboygan,Cheboygan
city,768,@@Brookl%yn,%B@@rooklyn,Brooklyn
city,771,Brookly$n,%B@@rooklyn,Brooklyn
city,1012,Stamford,Stamfo@@rd,Stamford
city,1039,Mill Valley,Mill V?@@?alley,Mill Valley
city,1040,nan,Mill V?@@?alley,Mill Valley
city,1046,San Diego,Sa$n Diego,San Diego
city,1208,Stillwater,Stillw??a$ter,Stillwater
city,1226,East Fairfield@@,Eas@@$t Fairfield,East Fairfield
city,1231,Menomi??nie,Menom??inie,Menominie
city,1276,nan,Belfa%st,Belfast
city,1279,Belfast,Belfa%st,Belfast
city,1280,nan,Belfa%st,Belfast
city,1395,nan,San Dieg@@o,San Diego
city,1397,San Diego,San Dieg@@o,San Diego
city,1399,nan,Mon%t#auk,Montauk
city,1407,Kinston,K??@@inston,Kinston
city,1438,nan,Papill#i#on,Papillion
city,1442,nan,Croydo%n,Croydon
city,1505,Ipswich,I@@pswi%ch,Ipswich
city,1831,Seattle,Sea$ttle,Seattle
city,1993,Durango,%%Durango,Durango
city,2022,nan,H##untsville,Huntsville
city,2134,Evanston,Eva??nst$on,Evanston
city,2153,Baltimore,Baltimore??,Baltimore
city,2336,Lexington,Lexingt??on,Lexington
city,2338,nan,Lexingt??on,Lexington
state,136,nan,T?$?X,TX
state,250,nan,$IL#,IL
state,312,V??A#,V?#?A,VA
state,313,VA,V?#?A,VA
state,520,MA,$M??A,MA
state,531,MA,#MA,MA
state,585,VA,V%%A,VA
state,587,nan,@@IN,IN
state,589,nan,@@IN,IN
state,632,OR$,OR#$,OR
state,689,CO,CO%,CO
state,711,C??O$,%$CO,CO
state,788,V@@%T,VT@@,VT
state,791,%VT,VT@@,VT
state,811,IN,??IN,IN
state,847,nan,T%X,TX
state,883,nan,N$C,NC
state,884,NC,N$C,NC
state,889,W#I,$WI,WI
state,907,OR,O??R,OR
state,984,nan,R$??I,RI
state,1181,MO,%MO,MO
state,1229,VA,#VA,VA
state,1316,nan,C??A,CA
state,1602,NC,NC$??,NC
state,1603,nan,NC$??,NC
state,1704,CO,C%O,CO
state,1705,nan,C%O,CO
state,2125,FL,$FL,FL
state,2212,@@NC,#??NC,NC
state,2345,$MA,#MA,MA
