Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,256,nan,Cardiology in the young
journal_title,378,nan,PLoS One
journal_title,435,nan,Am J Clin Nutr
journal_title,855,nan,Respiration; international review of thoracic diseases
journal_title,910,nan,Cancer
journal_issn,29,nan,1932-6203
journal_issn,37,0025-7931,1423-0356
journal_issn,348,1463-1318,1462-8910
journal_issn,619,0737-1209,1525-1446
journal_issn,644,1524-4539,22-Sep
journal_issn,659,1524-4628,0039-2499
journal_issn,853,nan,22-Sep
journal_issn,894,1399-3003,0903-1936
journal_issn,915,1099-1611,1057-9249
journal_issn,954,nan,1476-5497
journal_issn,991,nan,Feb-65
