Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_issn,37,0025-7931,1423-0356,0025-7931
journal_issn,348,1463-1318,1462-8910,1463-1318
journal_issn,619,0737-1209,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,659,1524-4628,0039-2499,1524-4628
journal_issn,894,1399-3003,0903-1936,1399-3003
journal_issn,915,1099-1611,1057-9249,1099-1611
