Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,475,Buffalo# Bayou Brewing Company,Buffalo Bayo#u Brewing Company,Buffalo Bayou Brewing Company
brewery_name,1275,Marble Brewery,Marble B#rewery,Marble Brewery
brewery_name,1319,Meckley's Cidery,#Meckley's Cid%ery,Meckley's Cidery
brewery_name,1350,Mikkeller,Mi@@kke??ller,Mikkeller
brewery_name,1489,NoDa Brewing Company,NoDa Brewi$ng Company,NoDa Brewing Company
brewery_name,2133,Temperance Beer Company,Temperan%ce Beer Company,Temperance Beer Company
brewery_name,2179,Three Notch'd Brewing Company,Three Notc%h'd Brewing Company,Three Notch'd Brewing Company
brewery_name,2213,Triangle Brewing Company,Triangle Brewing Comp????any,Triangle Brewing Company
city,265,Odessa,$Odessa$,Odessa
city,674,Boulder,Boulde@@r%,Boulder
city,1319,Somerset Center,#Somerset $Center,Somerset Center
city,1398,Mon$ta$uk,Mo@@nta$uk,Montauk
city,1620,Portland,Portland#,Portland
city,1738,Portland,Po##rtland,Portland
city,1786,San Diego,San D$ie$go,San Diego
city,2122,Lakeside,Lakesid$e,Lakeside
city,2151,Baltimore,Baltim$$ore,Baltimore
state,64,CO,C@@O,CO
state,130,NC,NC%@@,NC
state,250,IL,%#IL,IL
state,565,NC,N$C,NC
state,927,TX,%#TX,TX
state,1115,FL,F@@??L,FL
state,1199,PA,P#%A,PA
state,1668,AZ%,AZ??,AZ
state,2093,GA,??GA,GA
state,2095,??G%A,??GA,GA
state,2132,CO,@@??CO,CO
state,2134,IL,I$L,IL
state,2153,MD,M$$D,MD
