Attribute,Index,Dirty Value,Cleaned Value,Clean Value
Address1,414,15155 h@@ighw#ay 43,15%155 highway% 43,15155 highway 43
Address1,451,po box 287,po box ??287,po box 287
City,452,empty,b$ethel,bethel
CountyName,452,be??%thel,@@#bethel,bethel
PhoneNumber,414,2563321611,10199598386.54722,2563321611
Stateavg,433,ak_hf-1,al_hf-1,ak_hf-1
Stateavg,436,ak_hf-4,al_hf-4,ak_hf-4
Stateavg,437,ak_pn-2,al_pn-2,ak_pn-2
Stateavg,438,ak_pn-3b,al_pn-3b,ak_pn-3b
Stateavg,439,ak_pn-4,al_pn-4,ak_pn-4
Stateavg,440,ak_pn-5c,al_pn-5c,ak_pn-5c
Stateavg,441,ak_pn-6,al_pn-6,ak_pn-6
Stateavg,443,ak_scip-card-2,al_scip-card-2,ak_scip-card-2
Stateavg,445,ak_scip-inf-2,al_scip-inf-2,ak_scip-inf-2
Stateavg,446,ak_scip-inf-3,al_scip-inf-3,ak_scip-inf-3
Stateavg,447,empty,al_scip-inf-4,ak_scip-inf-4
Stateavg,448,empty,al_scip-inf-6,ak_scip-inf-6
Stateavg,449,ak_scip-vte-1,al_scip-vte-1,ak_scip-vte-1
Stateavg,450,ak_scip-vte-2,al_scip-vte-2,ak_scip-vte-2
Stateavg,451,ak_ami-1,al_ami-1,ak_ami-1
Stateavg,452,ak_ami-2,al_ami-2,ak_ami-2
