Attribute,Index,Dirty Value,Cleaned Value
HospitalName,26,southeast alabama med#ical center,southeast alabama medical center
HospitalName,42,southea#st a#labama medical center,southeast alabama medical center
HospitalName,60,marshall medi%cal center south,marshall medical center south
HospitalName,65,mar#shall medical center south,marshall medical center south
HospitalName,94,eliza coffee me%m$orial hospital,eliza coffee memorial hospital
HospitalName,98,mizell memo@@rial hospital,mizell memorial hospital
HospitalName,167,h%artsel@@le medical center,hartselle medical center
HospitalName,214,s$t vincents east,st vincents east
HospitalName,216,#st vincent@@s east,st vincents east
HospitalName,254,southwest alab??ama medical cen#ter,southwest alabama medical center
HospitalName,281,shelby baptist medical center??,shelby baptist medical center
HospitalName,282,shelby baptist medical #center,shelby baptist medical center
HospitalName,296,callahan eye f??oundation hospital,callahan eye foundation hospital
HospitalName,305,callahan eye foundati$o%n hospital,callahan eye foundation hospital
HospitalName,311,callahan eye found$@@ation hospital,callahan eye foundation hospital
HospitalName,313,stri$ngfellow memorial hospital,stringfellow memorial hospital
HospitalName,322,stringfellow memorial h%ospital,stringfellow memorial hospital
HospitalName,338,flowers hospi$%tal,flowers hospital
HospitalName,349,s??t vincents hospital,st vincents hospital
HospitalName,352,st vincents h$ospital,st vincents hospital
HospitalName,362,northwe??st me%dical center,northwest medical center
HospitalName,372,nor@@thwest medical ce??nter,northwest medical center
HospitalName,382,univ of south alabama medical cente#r,univ of south alabama medical center
HospitalName,393,pratt??ville baptist hospital,prattville baptist hospital
HospitalName,434,@@a%laska regional hospital,alaska regional hospital
HospitalName,454,helen keller memor#ial hospital,helen keller memorial hospital
HospitalName,456,helen keller memo??rial hospital,helen keller memorial hospital
HospitalName,506,cherokee medical center??,cherokee medical center
HospitalName,581,g h lanier @@memorial hospital,g h lanier memorial hospital
HospitalName,598,el#ba general hospital,elba general hospital
HospitalName,603,elba general hospita@@$l,elba general hospital
HospitalName,641,east alaba#ma medical center and snf$,east alabama medical center and snf
HospitalName,645,we#dowee hosp%ital,wedowee hospital
HospitalName,688,university of alabam#a hospita@@l,university of alabama hospital
HospitalName,716,%community hospital inc,community hospital inc
HospitalName,728,cull%man regional medical center,cullman regional medical center
HospitalName,800,huntsvill@@e hos#pital,huntsville hospital
HospitalName,815,gadsd@@en regional m#edical center,gadsden regional medical center
HospitalName,818,gad@@sden regional medical center,gadsden regional medical center
HospitalName,819,ga$dsden %regional medical center,gadsden regional medical center
HospitalName,862,marion regio#nal medical center,marion regional medical center
HospitalName,959,medi#cal c$enter enterprise,medical center enterprise
HospitalName,972,medical center enter??prise,medical center enterprise
HospitalName,975,medical center e%nterprise,medical center enterprise
HospitalName,986,st vincent%s blount,st vincents blount
HospitalName,997,s@@t vincents?? blount,st vincents blount
Address1,20,1108$ ros%s clark circle,1108 ross clark circle
Address1,37,1108 ross clark@@ circle,1108 ross clark circle
Address1,38,??1108 ross clark circle,1108 ross clark circle
Address1,50,2505 u s highway 431 nor@$@th,2505 u s highway 431 north
Address1,69,2505 $u s highway ??431 north,2505 u s highway 431 north
Address1,91,205 marengo #street,205 marengo street
Address1,123,101 hospit%al circl??e,101 hospital circle
Address1,144,101 hospit#al circle,101 hospital circle
Address1,148,201 pine street$ northwest,201 pine street northwest
Address1,180,8$000 al%abama highway 69,8000 alabama highway 69
Address1,191,8000 alabama highw%ay 6@@9,8000 alabama highway 69
Address1,202,50 medical park @@east drive,50 medical park east drive
Address1,213,50 medical park$ east drive,50 medical park east drive
Address1,239,200 med center drive$,200 med center drive
Address1,259,33700 hi%ghway 43,33700 highway 43
Address1,262,3370%0 highway 43@@,33700 highway 43
Address1,270,1000 #first street north,1000 first street north
Address1,277,1000 fi??rst street north,1000 first street north
Address1,288,10#00 fi@@rst street north,1000 first street north
Address1,299,1720 university b$$lvd,1720 university blvd
Address1,301,1@@720 university blvd,1720 university blvd
Address1,308,#1720 universi??ty blvd,1720 university blvd
Address1,335,4@@370 west main st$reet,4370 west main street
Address1,359,1530 u s hig??hway 43,1530 u s highway 43
Address1,363,1530 #u s highway 43,1530 u s highway 43
Address1,418,315 w %hickory st,315 w hickory st
Address1,422,315 w hicko%ry st,315 w hickory st
Address1,426,3@@15 w hickory@@ st,315 w hickory st
Address1,427,31##5 w hickory st,315 w hickory st
Address1,439,2801 de#bar@@r road,2801 debarr road
Address1,444,28#01 debarr road,2801 debarr road
Address1,446,2801 d$ebarr road,2801 debarr road
Address1,453,1$300 south montgomery?? avenue,1300 south montgomery avenue
Address1,467,126 hospita@@l %ave,126 hospital ave
Address1,500,400$ northwood d@@r,400 northwood dr
Address1,508,$400 northwood dr$,400 northwood dr
Address1,527,2105 east s#outh bo#ulevard,2105 east south boulevard
Address1,535,2%105 east south bou%levard,2105 east south boulevard
Address1,581,4??800 4%8th st,4800 48th st
Address1,611,987 drayton s??treet,987 drayton street
Address1,615,987 d%rayton street,987 drayton street
Address1,621,2000 p%epperell parkway,2000 pepperell parkway
Address1,651,209 north ma$in street,209 north main street
Address1,665,209 n??orth main street,209 north main street
Address1,673,619 south %19th street,619 south 19th street
Address1,678,619 so@@uth$ 19th street,619 south 19th street
Address1,687,$619 south 19th street,619 south 19th street
Address1,756,849 south three notch stre#et,849 south three notch street
Address1,764,84$9 south three notch street,849 south three notch street
Address1,781,10????1 sivley rd,101 sivley rd
Address1,805,100??7 goodyear ??avenue,1007 goodyear avenue
Address1,822,??1007 goodyear avenue,1007 goodyear avenue
Address1,823,1007 goo%dyear ??avenue,1007 goodyear avenue
Address1,842,1010 lay dam@@ road,1010 lay dam road
Address1,848,10??10 lay dam roa%d,1010 lay dam road
Address1,859,1256 milita%r#y street south,1256 military street south
Address1,864,1256 mil#itary street south,1256 military street south
Address1,869,@@1256 military street south,1256 military street south
Address1,895,1653 temple avenue n#orth,1653 temple avenue north
Address1,932,5$15# miranda st,515 miranda st
Address1,960,400 n edwards?? street,400 n edwards street
City,2,bir@@min$gham,birmingham
City,27,doth$%an,dothan
City,38,do%than@@,dothan
City,41,doth$an$,dothan
City,64,bo@??@az,boaz
City,70,flor%ence,florence
City,78,%florence@@,florence
City,108,%opp,opp
City,144,luv@@er??ne,luverne
City,147,hartselle%,hartselle
City,178,gunter@@sville,guntersville
City,209,birmin$gham,birmingham
City,229,fort@@ payn@@e,fort payne
City,238,fort payne??,fort payne
City,240,fort p#@@ayne,fort payne
City,261,th$omasville,thomasville
City,294,alabaster%??,alabaster
City,348,d@@ot??han,dothan
City,373,winfie%ld,winfield
City,389,mob#i%le,mobile
City,395,prattvill%e,prattville
City,396,prattvill@%@e,prattville
City,439,%anchorage,anchorage
City,452,??#bethel,bethel
City,460,she%ff%ield,sheffield
City,470,$ozark??,ozark
City,476,ozar@@$k,ozark
City,487,@@@@ozark,ozark
City,502,ce??n??tre,centre
City,507,$cent??re,centre
City,525,$montgomery,montgomery
City,527,mont$gom$ery,montgomery
City,580,vall??e%y,valley
City,591,v??alley,valley
City,596,el$ba,elba
City,605,e$l$ba,elba
City,607,elba$,elba
City,677,bir@@mingha??m,birmingham
City,685,birmingham??,birmingham
City,704,tal@@la%ssee,tallassee
City,763,and%alusia,andalusia
City,778,h$untsvi%lle,huntsville
City,797,hunt%sville,huntsville
City,819,gad??sde%n,gadsden
City,823,gadsde??n,gadsden
City,828,c??lanton$,clanton
City,848,c%lanton%,clanton
City,851,clan$to??n,clanton
City,856,hamilto$n,hamilton
City,882,fay@@ette,fayette
City,906,gadsde#n,gadsden
City,913,gadsd%en%,gadsden
City,914,ga@@dsden,gadsden
City,934,g#eorgia??na,georgiana
City,949,geor$g$iana,georgiana
City,984,oneont??a,oneonta
State,25,al$,al
State,40,al#,al
State,52,??al??,al
State,57,al@@??,al
State,108,%al,al
State,127,a#l,al
State,128,@@%al,al
State,165,#al,al
State,174,a@@l,al
State,197,a@@l,al
State,198,a??@@l,al
State,220,??%al,al
State,226,a%l,al
State,264,a??l,al
State,279,al%,al
State,285,al%,al
State,305,al$$,al
State,306,$al,al
State,317,a#??l,al
State,328,al%,al
State,340,$a%l,al
State,364,@@al,al
State,369,@@al,al
State,393,%al,al
State,399,%a$l,al
State,402,al$,al
State,461,a$l#,al
State,483,al??@@,al
State,491,a%@@l,al
State,496,a@@l,al
State,499,al??,al
State,527,%al,al
State,552,??$al,al
State,590,@@al,al
State,604,@@al,al
State,615,a??l,al
State,643,a?#?l,al
State,646,a%l??,al
State,655,al@@$,al
State,666,%al,al
State,726,a#l$,al
State,740,??al,al
State,758,@@al,al
State,772,al%,al
State,775,#a??l,al
State,776,al$,al
State,777,a#l@@,al
State,805,#al,al
State,838,al@@@@,al
State,839,%a#l,al
State,892,??a@@l,al
State,893,al$@@,al
State,899,al$,al
State,907,%al,al
State,921,al??,al
State,927,a%l,al
State,959,a??l%,al
State,967,a$$l,al
State,969,a$l$,al
State,977,$al,al
ZipCode,17,173012.13537587694,35660
ZipCode,20,200477.99482174488,36302
ZipCode,29,138871.64845685667,36302
ZipCode,46,185503.77698899963,35957
ZipCode,59,189955.8688607189,35957
ZipCode,74,123214.28170430442,35631
