Attribute,Index,Clean Value,Dirty Value
ProviderNumber,22,10001,53571.67132119802
ProviderNumber,28,10001,37964.41641523799
ProviderNumber,59,10005,53020.87792762198
ProviderNumber,67,10005,57056.4985092297
ProviderNumber,92,10006,43358.72005194033
ProviderNumber,93,10006,40884.697241574664
ProviderNumber,106,10007,30615.266365901527
ProviderNumber,147,10009,53670.48973003026
ProviderNumber,150,10009,36681.5470216585
ProviderNumber,192,10010,54329.81593275928
ProviderNumber,220,10012,55326.896068023634
ProviderNumber,221,10012,36167.278680172894
ProviderNumber,223,10012,56246.12465820408
ProviderNumber,245,10015,58281.78179424866
ProviderNumber,289,10016,47052.14094997147
ProviderNumber,300,10018,32000.950882633653
ProviderNumber,425,10164,43834.15561437676
ProviderNumber,471,10021,45174.94331912446
ProviderNumber,498,10022,42034.93484948085
ProviderNumber,519,10023,49674.86683211802
ProviderNumber,550,10024,34733.18452746549
ProviderNumber,551,10024,57953.32652934352
ProviderNumber,592,10027,54505.67370519734
ProviderNumber,613,10027,56156.07953370041
ProviderNumber,614,10027,46284.81321739661
ProviderNumber,621,10029,48723.61607930627
ProviderNumber,629,10029,54510.21192384863
ProviderNumber,648,10032,42876.98696040574
ProviderNumber,700,10034,43048.10103985591
ProviderNumber,713,10034,44825.29598079252
ProviderNumber,731,10035,40951.62927369381
ProviderNumber,738,10035,36815.125915336386
ProviderNumber,785,10039,41912.35447835271
ProviderNumber,803,10040,40199.915245374264
ProviderNumber,834,10043,45875.95453558054
ProviderNumber,839,10043,56163.07611592709
ProviderNumber,845,10043,36147.21232815979
ProviderNumber,849,10043,50705.08352591305
ProviderNumber,852,10043,41531.88056112698
ProviderNumber,900,10045,36099.1827865853
ProviderNumber,919,10046,54078.77168139628
ProviderNumber,925,10046,37217.13106881272
ProviderNumber,936,10047,47052.15743635287
ProviderNumber,950,10047,48961.81846176087
ProviderNumber,970,10049,38302.46272184379
ProviderNumber,977,10049,34462.5557560651
HospitalName,26,southeast alabama medical center,southeast alabama med#ical center
HospitalName,42,southeast alabama medical center,southea#st a#labama medical center
HospitalName,60,marshall medical center south,marshall medi%cal center south
HospitalName,65,marshall medical center south,mar#shall medical center south
HospitalName,94,eliza coffee memorial hospital,eliza coffee me%m$orial hospital
HospitalName,98,mizell memorial hospital,mizell memo@@rial hospital
HospitalName,167,hartselle medical center,h%artsel@@le medical center
HospitalName,214,st vincents east,s$t vincents east
HospitalName,216,st vincents east,#st vincent@@s east
HospitalName,245,southwest alabama medical center,southwest?? alabama medical cen#ter
HospitalName,254,southwest alabama medical center,southwest alab??ama medical cen#ter
HospitalName,281,shelby baptist medical center,shelby baptist medical center??
HospitalName,282,shelby baptist medical center,shelby baptist medical #center
HospitalName,296,callahan eye foundation hospital,callahan eye f??oundation hospital
HospitalName,305,callahan eye foundation hospital,callahan eye foundati$o%n hospital
HospitalName,311,callahan eye foundation hospital,callahan eye found$@@ation hospital
HospitalName,313,stringfellow memorial hospital,stri$ngfellow memorial hospital
HospitalName,322,stringfellow memorial hospital,stringfellow memorial h%ospital
HospitalName,338,flowers hospital,flowers hospi$%tal
HospitalName,349,st vincents hospital,s??t vincents hospital
HospitalName,352,st vincents hospital,st vincents h$ospital
HospitalName,362,northwest medical center,northwe??st me%dical center
HospitalName,372,northwest medical center,nor@@thwest medical ce??nter
HospitalName,382,univ of south alabama medical center,univ of south alabama medical cente#r
HospitalName,393,prattville baptist hospital,pratt??ville baptist hospital
HospitalName,434,alaska regional hospital,@@a%laska regional hospital
HospitalName,454,helen keller memorial hospital,helen keller memor#ial hospital
HospitalName,456,helen keller memorial hospital,helen keller memo??rial hospital
HospitalName,506,cherokee medical center,cherokee medical center??
HospitalName,581,g h lanier memorial hospital,g h lanier @@memorial hospital
HospitalName,598,elba general hospital,el#ba general hospital
HospitalName,603,elba general hospital,elba general hospita@@$l
HospitalName,641,east alabama medical center and snf,east alaba#ma medical center and snf$
HospitalName,645,wedowee hospital,we#dowee hosp%ital
HospitalName,688,university of alabama hospital,university of alabam#a hospita@@l
HospitalName,716,community hospital inc,%community hospital inc
HospitalName,728,cullman regional medical center,cull%man regional medical center
HospitalName,785,huntsville hospital,huntsville ho$sp$ital
HospitalName,800,huntsville hospital,huntsvill@@e hos#pital
HospitalName,815,gadsden regional medical center,gadsd@@en regional m#edical center
HospitalName,818,gadsden regional medical center,gad@@sden regional medical center
HospitalName,819,gadsden regional medical center,ga$dsden %regional medical center
HospitalName,862,marion regional medical center,marion regio#nal medical center
HospitalName,959,medical center enterprise,medi#cal c$enter enterprise
HospitalName,972,medical center enterprise,medical center enter??prise
HospitalName,975,medical center enterprise,medical center e%nterprise
HospitalName,986,st vincents blount,st vincent%s blount
HospitalName,997,st vincents blount,s@@t vincents?? blount
Address1,20,1108 ross clark circle,1108$ ros%s clark circle
Address1,37,1108 ross clark circle,1108 ross clark@@ circle
Address1,38,1108 ross clark circle,??1108 ross clark circle
Address1,50,2505 u s highway 431 north,2505 u s highway 431 nor@$@th
Address1,69,2505 u s highway 431 north,2505 $u s highway ??431 north
Address1,91,205 marengo street,205 marengo #street
Address1,123,101 hospital circle,101 hospit%al circl??e
Address1,144,101 hospital circle,101 hospit#al circle
Address1,148,201 pine street northwest,201 pine street$ northwest
Address1,180,8000 alabama highway 69,8$000 al%abama highway 69
Address1,191,8000 alabama highway 69,8000 alabama highw%ay 6@@9
Address1,202,50 medical park east drive,50 medical park @@east drive
Address1,213,50 medical park east drive,50 medical park$ east drive
Address1,239,200 med center drive,200 med center drive$
Address1,259,33700 highway 43,33700 hi%ghway 43
Address1,262,33700 highway 43,3370%0 highway 43@@
Address1,270,1000 first street north,1000 #first street north
Address1,277,1000 first street north,1000 fi??rst street north
Address1,288,1000 first street north,10#00 fi@@rst street north
Address1,299,1720 university blvd,1720 university b$$lvd
Address1,301,1720 university blvd,1@@720 university blvd
Address1,308,1720 university blvd,#1720 universi??ty blvd
Address1,335,4370 west main street,4@@370 west main st$reet
Address1,359,1530 u s highway 43,1530 u s hig??hway 43
Address1,363,1530 u s highway 43,1530 #u s highway 43
Address1,418,315 w hickory st,315 w %hickory st
Address1,422,315 w hickory st,315 w hicko%ry st
Address1,426,315 w hickory st,3@@15 w hickory@@ st
Address1,427,315 w hickory st,31##5 w hickory st
Address1,439,2801 debarr road,2801 de#bar@@r road
Address1,444,2801 debarr road,28#01 debarr road
Address1,446,2801 debarr road,2801 d$ebarr road
Address1,453,1300 south montgomery avenue,1$300 south montgomery?? avenue
Address1,467,126 hospital ave,126 hospita@@l %ave
Address1,500,400 northwood dr,400$ northwood d@@r
Address1,508,400 northwood dr,$400 northwood dr$
Address1,527,2105 east south boulevard,2105 east s#outh bo#ulevard
Address1,535,2105 east south boulevard,2%105 east south bou%levard
Address1,581,4800 48th st,4??800 4%8th st
Address1,611,987 drayton street,987 drayton s??treet
Address1,615,987 drayton street,987 d%rayton street
Address1,621,2000 pepperell parkway,2000 p%epperell parkway
Address1,651,209 north main street,209 north ma$in street
Address1,665,209 north main street,209 n??orth main street
Address1,673,619 south 19th street,619 south %19th street
Address1,678,619 south 19th street,619 so@@uth$ 19th street
Address1,687,619 south 19th street,$619 south 19th street
Address1,756,849 south three notch street,849 south three notch stre#et
Address1,764,849 south three notch street,84$9 south three notch street
Address1,781,101 sivley rd,10????1 sivley rd
Address1,805,1007 goodyear avenue,100??7 goodyear ??avenue
Address1,822,1007 goodyear avenue,??1007 goodyear avenue
Address1,823,1007 goodyear avenue,1007 goo%dyear ??avenue
Address1,842,1010 lay dam road,1010 lay dam@@ road
Address1,848,1010 lay dam road,10??10 lay dam roa%d
Address1,859,1256 military street south,1256 milita%r#y street south
Address1,864,1256 military street south,1256 mil#itary street south
Address1,869,1256 military street south,@@1256 military street south
Address1,895,1653 temple avenue north,1653 temple avenue n#orth
Address1,932,515 miranda st,5$15# miranda st
Address1,960,400 n edwards street,400 n edwards?? street
Address2,20,empty,empty??
Address2,56,empty,em@$@pty
Address2,59,empty,em%pty
Address2,70,empty,em#pty
Address2,72,empty,##empty
Address2,76,empty,@@empty
Address2,106,empty,e%mp@@ty
Address2,122,empty,empt#y
Address2,204,empty,em$pty
Address2,209,empty,empty%$
Address2,213,empty,em??pt%y
Address2,220,empty,emp??ty
Address2,235,empty,em#pty
Address2,243,empty,emp%t$y
Address2,269,empty,e#mp#ty
Address2,349,empty,e@@mpty
Address2,395,empty,empty%??
Address2,405,empty,e%mp$ty
Address2,419,empty,em#pty
Address2,452,empty,@@e??mpty
Address2,455,empty,%em??pty
Address2,486,empty,em$pty
Address2,493,empty,empty%
Address2,506,empty,empt@@y
Address2,528,empty,em#pty
Address2,553,empty,empt%y
Address2,570,empty,e??mpty
Address2,574,empty,#empty
Address2,584,empty,empty@??@
Address2,607,empty,empt%y#
Address2,625,empty,emp@@ty??
Address2,630,empty,em%pty@@
Address2,644,empty,e??mpty
Address2,670,empty,empt??y$
Address2,695,empty,empt$y
Address2,697,empty,@@empty
Address2,715,empty,empt%y
Address2,777,empty,emp$ty
Address2,800,empty,em$pty@@
Address2,833,empty,e@@m$pty
Address2,845,empty,??emp??ty
Address2,857,empty,empty#
Address2,865,empty,#empt$y
Address2,868,empty,e??mpt#y
Address2,917,empty,empt??y
Address2,924,empty,@@e$mpty
Address2,926,empty,??e#mpty
Address2,927,empty,??empty$
Address2,933,empty,empty#%
Address2,944,empty,em#pty
Address2,996,empty,e%mpty
Address3,16,empty,??empt%y
Address3,23,empty,empt%#y
Address3,35,empty,$emp$ty
Address3,60,empty,e??mpty
Address3,73,empty,empt@@y$
Address3,75,empty,emp#@@ty
Address3,85,empty,em@@pty
Address3,90,empty,emp#ty
Address3,94,empty,e#mpty
Address3,124,empty,$empty
Address3,128,empty,e$m#pty
Address3,134,empty,em$p%ty
Address3,150,empty,emp#ty
Address3,190,empty,%empty
Address3,205,empty,emp#ty
