Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,105,Cancer chemotherapy and pharmacology,Cancer chemotherapy and phar@@macology,Cancer chemotherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_issn,473,1095-9203,1095-9203%,1095-9203
journal_issn,643,1525-1446,0737-1209,1525-1446
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,654,0039-2499,1524-4628,0039-2499
journal_issn,822,1930-739X,1930-7381,1930-739X
journal_issn,855,1423-0356,0025-7931,1423-0356
journal_issn,894,1399-3003,0903-1936,1399-3003
