Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,PLoS %$One,PLoS One
journal_title,106,Psycho-oncology$,Psycho-oncology
journal_title,134, $B$MJ 2006 333:939,$B$MJ 2006 333:939
journal_title,205,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis tr@@ansplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,296,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the j#ournal of %the International Society for Oncodevelopmental Biology and Medicine
journal_title,587,European Journal Of Anaest$hesiol#ogy,European Journal Of Anaesthesiology
journal_title,705,BioMed research international,B$ioMed research international
journal_title,868,Cancer chemotherapy and %pharmacology,$Cancer chemotherapy a$nd pharmacology
journal_title,894,The European #respiratory journal,The European respiratory journal
journal_title,954,International journal of obesity (2005),International jo@@urn??al of obesity (2005)
journal_title,980,Endocrino$logy,Endocrinology
journal_issn,37,0025-7931,1423-0356
journal_issn,106,1057-9249,1099-1611
journal_issn,178,1930-7381,1930-739X
journal_issn,296,1423-0380,14#23-0@@380
journal_issn,348,1#463-1318,1462-8910
journal_issn,435,Feb??-65,Feb-65
journal_issn,644,1524-4539,22-Sep
journal_issn,657,1460-2385%,1460-2$38??5
journal_issn,659,1524-4628,0039-2499
journal_issn,792,1558@@-2035,1558-2035
journal_issn,808,1??467-1107,1467-1107
journal_issn,894,1399-3003,0903-$??1936
journal_issn,910,1%097-0142$,1097-0142
