Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, $B$MJ 2006 333:939,$B$MJ 2006 333:939, BMJ 2006 333:939
journal_title,205,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis tr@@ansplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,296,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the j#ournal of %the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,705,BioMed research international,B$ioMed research international,BioMed research international
journal_title,868,Cancer chemotherapy and %pharmacology,$Cancer chemotherapy a$nd pharmacology,Cancer chemotherapy and pharmacology
journal_title,954,International journal of obesity (2005),International jo@@urn??al of obesity (2005),International journal of obesity (2005)
journal_issn,37,0025-7931,1423-0356,0025-7931
journal_issn,106,1057-9249,1099-1611,1057-9249
journal_issn,178,1930-7381,1930-739X,1930-7381
journal_issn,296,1423-0380,14#23-0@@380,1423-0380
journal_issn,348,1#463-1318,1462-8910,1463-1318
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,657,1460-2385%,1460-2$38??5,1460-2385
journal_issn,659,1524-4628,0039-2499,1524-4628
journal_issn,894,1399-3003,0903-$??1936,1399-3003
