Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,202,@@1$0:15 a.m.,12:15 a.m.,10:15 a.m.
sched_dep_time,213,1$0:15 a.m.,12:15 a.m.,10:15 a.m.
sched_dep_time,716,6:0$0 a.#m.,4:43 p.m.,6:00 a.m.
sched_dep_time,814,1$0:%40 a.m.,12:40 a.m.,10:40 a.m.
sched_dep_time,1613,1$1:25 a??.m.,4:43 p.m.,11:25 a.m.
act_dep_time,110,7:2@@1 a.@@m.,4:43 p.m.,7:21 a.m.
act_dep_time,1613,$1@@1:32 a.m.,1:32 a.m.,11:32 a.m.
sched_arr_time,217,1%2:10 %p.m.,2:10 p.m.,12:10 p.m.
sched_arr_time,243,1@@0:30 p.m.#,12:30 a.m.,10:30 p.m.
sched_arr_time,948,1#1:50 a.m.??,1:50 a.m.,11:50 a.m.
sched_arr_time,1423,1#0:15 p.m.,12:15 a.m.,10:15 p.m.
sched_arr_time,2147,1%1:55 a.m.,1:55 a.m.,11:55 a.m.
act_arr_time,446,11:0#6 a.$m.,4:43 p.m.,11:06 a.m.
