ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,volunta@@ry non-pro??fit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,,2053258100.0,acute ca#r#e hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
3,33561.79945088877,callahan eye foundation hospital,1720 university blvd,$empty,empty,birmingham,al,193101.06034328556,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgi%cal?? infection prevention,scip-inf-2,,empty,empty,al_scip-inf-2
4,10018.0,callahan eye foundation hospital,1720 university blvd,em@@pty,emp$@@ty,birmingham,al,,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
5,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmin@@gha$m,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,y??e#s,,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_sci@@p-inf-$4
6,40795.0841845629,callahan eye foundation hospital,1720 un??@@iversity blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,sc?%?ip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,??a%l_scip-inf-6
7,,,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patie%nts whose doctors ordered treatments to p@@revent blood clots after certain types of surgeries,empty,empty,al_scip%-v#te-1
8,10018.0,callahan eye foundation hospital,1720 university blvd,%empty,@@em$pty,birmingham,al,202636.44185895528,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,em#pty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,,j@@effer%son,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,,
10,10019.0,,1300 south montgomery avenue,empty,empty,sheffield,al,189803.67362012074,jefferso@@n,2563864556.0,acute care ho@@spitals,,yes,heart attack,,heart attack patients given aspirin at discharge,92%,13$ patie#nts,al_ami-2
11,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,4 patients,al_ami-3
12,,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,,jefferson,2563864556.0,,government - hospital district or authority,ye#s$,heart attack,,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
13,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
14,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,182100.99646754688,je@@fferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empt??y,0 patients,al_ami-7a
15,10019.0,,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,,acute care hospitals,government - hospital district or authority,yes,,,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
16,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,152645.93509087706,jefferson,2563864556.0,acute care hospitals,government - hospital distric??t or$ authority,,,hf-1,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
17,54819.50288499958,,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,,,he%art failur$e,??hf-??2,,99%,149 patients,al_hf-2
18,10019.0,helen keller memorial hospital,1300 south montgomery avenue,e@@m#pty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dy$sfunction (lvsd),92%,37 patients,al_hf-3
19,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
21,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dotha??n@@,al@$@,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
22,10001.0,southeast alabama medical center,1108 ross c??lark circle,empty,empty,dothan,al,36302.0,,3347938701.0,acute care hospitals,,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
23,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,h@@ouston,3347938701.0,acute care hospit#als,%government - hospital dis%trict or authority,yes,heart attack,,,100%,,al_ami-4
24,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,,al_ami-5
25,10001.0,southeast alabama medical center,,,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,,,heart attack,ami-7a,,empty,0 patients,al_ami-7a
26,10001.0,southeast alabama medical center,1108 ross clark circle,,,dothan,@@al,36302.0,houston,3347938701.0,acute care hospitals,government - hospi@@tal district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
27,,southeast alabama medical center,1108 %ross clark circle,empty,empty,dothan,al$,36302.0,houston,17124778620.595957,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,,78%,455 patients,al_hf-1
28,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,doth$an,%#al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,al_hf-2
29,10001.0,southeast alabama medical center,??1108 ross clark circl@@e,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),#91%,165 patients,al_hf-3#
30,10001.0,,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,110 @@pati??ents,al_hf-4
31,10001.0,,1108 ross cl$ark %circle,em@@p??ty,empty,dothan,al,36302.0,houston,,acute care hospitals,government - hospital district or authority,yes,,,pneumonia patients assessed and given pneumococcal vaccination,93%,191 patients,al_pn-2
32,10001.0,southeast alabama medical center,1108 ross clark circle,empty,em%pty,dothan,al,36302.0,ho@@uston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-3b,,89%,125 pa??#tients,al_pn-3b
33,32982.61571218176,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hos#pitals#,,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,99%,107 patients??,al_pn-4
34,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,114555.6842697457,houston,,,government - hospital district or authority,yes,pneumonia,,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,,al_pn-5c
35,10001.0,southeast alabama medical center,1108 ross clark circle,empty,,dothan,al??,36302.0,,,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),80%,147 patients,al_pn-6
36,38450.90063737117,southeast alabama medical center,1108 ross clark circle,empty,@@em??pty,dothan,al,36302.0,ho@@uston,3347938701.0,acute care hospitals,government - hospital district or authority,,pneumonia,pn#-7,pneumonia patients assessed and given influenza vaccination,84%,160 patients,al_pn-7
37,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,governmen$t - hospital district or authority,yes,surgical infection prevention,sc#ip-card-2#,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72%,79 patients,
38,,southeast alabama medical c%enter,1108 ross clark circle,,,,al,,houst?%?on,13608309511.541119,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,399 patients,al_scip-inf-1
39,10001.0,southeast alabama medical center,,empty,empty,dothan,al,,houston,3347938701.0,acute care hospi??tals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,405 patients,
40,10001.0,southeast %alabama medical center,1108 ross clark circle,empty,empty,dothan,,,houston,3347938701.0,acute care hospitals,government - hospital district or authority,ye$s,surgical infection prevention??,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,385 patients,al_scip-inf-3
41,10001.0,southeast alabama medical center,1108 ross cl#ark$ circle,empty,empty,dothan,??al,36302.0,houston@@$,3347938701.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,136 patients,al_scip-inf-4
