Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,105,nan,Cancer chemotherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,227,Endocrinology,End%ocri$nology
journal_title,244,Physiotherapy,P??hysiotherapy
journal_title,348,$Colorec??tal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colo$rectal disease : the official journal of the Association of Coloproctology of Great Bri@@tain and Ireland
journal_title,644,Circulati$on,Circulation
journal_title,657,Nep%hrology dialysis transplantation : official publication of the European Dialysis and Transplant Associati??on - European Renal Association,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,659,nan,Stroke; a journal of cerebral circulation
journal_title,925,European Journal Of Anaesthesiology,European Journal Of Anaes$thes??iology
journal_title,991,Am J Clin$ Nutr,Am J Clin Nutr
journal_issn,35,1532-8511,1532-8%511
journal_issn,60,nan,1433-7347
journal_issn,149,nan,0017-5749
journal_issn,194,nan,1460-2105
journal_issn,205,nan,1460-2385
journal_issn,218,1462-8910,1463-1318
journal_issn,303,0@@949-2658 (Print) 0949%-2658,0949-2658 (Print) 0949-2658
journal_issn,398,15#26-7598,1526-$7598
journal_issn,443,nan,1558-2035
journal_issn,619,0737-1209,1525-1446
journal_issn,644,1524-4539,22-Sep
journal_issn,654,0039-2499,1524-4628
journal_issn,770,nan,1932-6203
journal_issn,798,nan,0363-5023
journal_issn,822,nan,1930-7381
journal_issn,855,nan,0025-7931
journal_issn,889,1932-??#6203,1932-6203
journal_issn,894,1399-3003,0903-1936
journal_issn,915,1099-1611,1057-9249
journal_issn,991,Feb-65$,Feb-65
