Attribute,Index,Dirty Value,Clean Value
id,10,2002636.6840952472,340222
id,25,nan,6207
id,33,nan,954388
id,35,nan,676042
id,36,1851770.300067334,353972
id,42,591186.2710948678,110072
id,69,nan,93659
id,77,2406398.2747501545,715052
id,89,nan,770196
id,103,2849946.3879609024,491006
id,114,2780996.74945945,779281
id,117,nan,585766
id,125,nan,946006
id,126,nan,36429
id,132,nan,757463
id,133,2765846.117784472,465176
id,146,4814797.050944245,957059
id,169,nan,901298
id,173,nan,690938
id,189,2894629.524601052,717315
id,197,440524.1046181861,143029
id,203,nan,979292
id,205,2103318.5965540046,533193
id,241,2589144.034535844,519287
id,271,4379691.745930181,836847
id,290,3221047.724088868,734077
id,292,nan,743129
id,297,2543910.58667751,821702
id,318,5029286.88607919,931361
id,325,556786.5756414246,178078
id,326,nan,453637
id,346,nan,950233
id,352,968750.4995608944,294439
id,366,nan,563505
id,372,nan,361906
id,383,3225171.9171650335,757176
id,389,nan,448010
id,392,nan,112716
id,397,nan,343395
id,402,105388.89917760306,32426
id,405,2267641.219014211,533425
id,407,nan,2842
id,420,nan,450528
id,433,nan,962338
id,443,nan,111970
id,457,nan,123492
id,469,4166959.745434238,846319
id,471,nan,788168
id,477,395881.28444308386,72325
id,480,658890.2714522883,145874
id,486,2044110.9106640404,378289
id,502,nan,699523
id,527,1149354.3827122557,254327
id,529,268670.226775018,73792
id,532,nan,105981
id,535,3191001.684779102,623367
id,536,nan,13408
id,541,nan,520843
id,550,nan,26475
id,552,2415551.8232301185,719389
id,566,3223207.1425609165,677752
id,581,1567845.535516211,494428
id,592,3696627.867730177,927711
id,593,1609993.9163797614,313584
id,594,594732.414465935,161847
id,625,919736.8208503652,231933
id,638,2464906.0198009387,786108
id,667,nan,954980
id,672,2263087.2968249028,416171
id,686,nan,65723
id,708,nan,107924
id,719,2886082.4381706337,820059
id,724,nan,64430
id,744,1384466.6258992052,440684
id,764,1099018.9939754612,259267
id,768,nan,482860
id,771,nan,625306
id,772,nan,572343
id,776,954102.9012639376,245200
id,808,1183656.3516751777,385163
id,809,nan,645061
id,820,nan,746312
id,844,nan,503354
id,845,nan,176844
id,854,nan,12554
id,856,1353607.097200427,364080
id,861,nan,470615
id,878,2142768.1099689608,448384
id,892,nan,246067
id,897,54103.3250078783,15325
id,904,nan,819735
id,925,3958216.070741451,916713
id,941,nan,305933
id,947,nan,740227
id,973,2401127.564735455,643856
id,977,nan,450760
id,978,nan,160121
id,986,249064.08484659556,48202
id,987,nan,558738
article_title,4,nan,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]
article_title,11,nan,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects
article_title,13,Smoking is accompanied by a suppressed cervical$ nitric oxide release in women with high-risk human papillomavirus infection,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection
