Attribute,Index,Dirty Value,Clean Value
ProviderNumber,18,empty,10019
ProviderNumber,34,empty,10001
ProviderNumber,79,empty,10006
ProviderNumber,92,empty,10006
ProviderNumber,108,empty,10007
ProviderNumber,148,empty,10009
ProviderNumber,158,empty,10009
ProviderNumber,164,empty,10009
ProviderNumber,193,empty,10010
ProviderNumber,244,empty,10012
ProviderNumber,251,empty,10015
ProviderNumber,263,empty,10015
ProviderNumber,292,empty,10016
ProviderNumber,303,empty,10018
ProviderNumber,315,empty,10038
ProviderNumber,326,empty,10038
ProviderNumber,334,empty,10055
ProviderNumber,356,empty,10086
ProviderNumber,401,empty,10108
ProviderNumber,405,empty,10108
ProviderNumber,446,empty,20017
ProviderNumber,532,empty,10023
ProviderNumber,559,empty,10024
ProviderNumber,627,empty,10029
ProviderNumber,640,empty,10029
ProviderNumber,655,empty,10032
ProviderNumber,670,empty,10033
ProviderNumber,688,empty,10033
ProviderNumber,696,empty,10034
ProviderNumber,714,empty,10034
ProviderNumber,731,empty,10035
ProviderNumber,746,empty,10036
ProviderNumber,791,empty,10039
ProviderNumber,795,empty,10039
ProviderNumber,802,empty,10039
ProviderNumber,846,empty,10043
ProviderNumber,852,empty,10043
ProviderNumber,886,empty,10045
ProviderNumber,909,empty,10046
ProviderNumber,914,empty,10046
ProviderNumber,928,empty,10046
ProviderNumber,934,empty,10047
ProviderNumber,945,empty,10047
ProviderNumber,963,empty,10049
ProviderNumber,973,empty,10049
ProviderNumber,984,empty,10050
ProviderNumber,987,empty,10050
ProviderNumber,988,empty,10050
HospitalName,963,empty,medical center enterprise
CountyName,354,empty,morgan
EmergencyService,354,empty,yes
Condition,6,empty,surgical infection prevention
Condition,233,empty,pneumonia
MeasureCode,6,empty,scip-inf-6
MeasureCode,42,empty,scip-inf-6
MeasureCode,89,empty,scip-inf-2
MeasureCode,119,empty,scip-vte-2
MeasureCode,176,empty,ami-8a
MeasureCode,219,empty,scip-vte-2
MeasureCode,220,empty,ami-1
MeasureCode,233,empty,pn-4
MeasureCode,245,empty,ami-1
MeasureCode,360,empty,ami-7a
MeasureCode,388,empty,hf-2
MeasureCode,391,empty,pn-2
MeasureCode,408,empty,pn-7
MeasureCode,416,empty,ami-2
MeasureCode,492,empty,ami-1
MeasureCode,551,empty,hf-3
MeasureCode,575,empty,hf-2
MeasureCode,603,empty,pn-2
MeasureCode,654,empty,pn-3b
MeasureCode,678,empty,pn-2
MeasureCode,685,empty,scip-inf-1
MeasureCode,696,empty,ami-5
MeasureCode,700,empty,hf-2
MeasureCode,725,empty,hf-2
MeasureCode,744,empty,ami-3
MeasureCode,774,empty,scip-vte-2
MeasureCode,790,empty,pn-3b
MeasureCode,803,empty,ami-1
MeasureCode,826,empty,scip-vte-1
MeasureCode,900,empty,scip-inf-6
MeasureCode,905,empty,cac-3
MeasureCode,917,empty,pn-2
MeasureCode,931,empty,ami-1
MeasureCode,949,empty,scip-inf-1
MeasureCode,961,empty,ami-7a
MeasureCode,971,empty,pn-6
MeasureCode,983,empty,ami-3
MeasureCode,993,empty,pn-3b
MeasureName,89,empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection
MeasureName,220,empty,heart attack patients given aspirin at arrival
