Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,596,J Orthop Sci,J Orthop$ Sci,J Orthop Sci
journal_title,959,Annal%s of i@@nternal medicine,Annal??s of in??ternal medicine,Annals of internal medicine
journal_issn,24,1527-7755,1@@527-7755,1527-7755
journal_issn,35,1532-8511,1532-85@%@11,1532-8511
journal_issn,37,002@@5-7931,1423-0356,0025-7931
journal_issn,178,nan,1930-739X,1930-7381
journal_issn,218,1462-8910,1463-1318,1462-8910
journal_issn,244,1873-1465,1873-14#65,1873-1465
journal_issn,416,1097-0142,1097-0142#,1097-0142
journal_issn,473,1@@095-9203,1??095-9203,1095-9203
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,659,1524-4628,0039-2499,1524-4628
