Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,178,Obes@@ity (S$ilver Spring Md.),Obesity (Silver Spring Md.)
journal_title,194,Journal of ??the National Cancer Insti??tute,Journal of the National Cancer Institute
journal_title,244,P#hysiot@@herapy,Physiotherapy
journal_title,296,Tum??our biology : th@@e journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,309,Gut??,Gut
journal_title,378,nan,PLoS One
journal_title,435,nan,Am J Clin Nutr
journal_title,532,$Science (New York N.Y.),Science (New York N.Y.)
journal_title,596,J Orthop Sci,J Orthop$ Sci
journal_title,858,nan,Circulation
journal_title,888,nan,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
journal_title,932,Journal of clinical oncology : of??ficial journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_title,959,Annal%s of i@@nternal medicine,Annal??s of in??ternal medicine
journal_title,980,nan,Endocrinology
journal_title,993,Tumour biology : the journal of@@ the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_issn,24,1527-7755,1@@527-7755
journal_issn,35,1532-8511,1532-85@%@11
journal_issn,37,002@@5-7931,1423-0356
journal_issn,178,nan,1930-739X
journal_issn,218,1462-8910,1463-1318
journal_issn,244,1873-1465,1873-14#65
journal_issn,416,1097-0142,1097-0142#
journal_issn,473,1@@095-9203,1??095-9203
journal_issn,575,nan,1423-0380
journal_issn,644,1524-4539,22-Sep
journal_issn,659,1524-4628,0039-2499
journal_issn,746,22-$S$ep,22-Sep
journal_issn,792,nan,1558-2035
journal_issn,980,1945-71%70,1945-7170
