Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,92,All@@tech's Le#xington Brewing Company,Alltech's Lexin??gton Brewing Company,Alltech's Lexington Brewing Company
brewery_name,146,Aspen Brewing Company,@@Aspen Brewing Company%,Aspen Brewing Company
brewery_name,179,Back Forty Beer Company,Back# Forty Be@@er Company,Back Forty Beer Company
brewery_name,327,Bohemian Brewery,Bo#hemian Brew%ery,Bohemian Brewery
brewery_name,565,Catawba Valley Brewing Company,Catawba Valle#y Brewing Company,Catawba Valley Brewing Company
brewery_name,679,D.L. Geary Brewing Company,D.L. G%ea@@ry Brewing Company,D.L. Geary Brewing Company
brewery_name,706,Defiance Brewing Company,Defian%ce B#rewing Company,Defiance Brewing Company
brewery_name,775,Fat Head's Brewery,Fat Head's Brew$ery,Fat Head's Brewery
brewery_name,1014,Hangar 24 Craft B$rewery,Hangar 24 Craft Brewer%y,Hangar 24 Craft Brewery
brewery_name,1049,High Noon Saloon And Brewery,High %Noon Saloon# And Brewery,High Noon Saloon And Brewery
brewery_name,1109,Independenc$e Brewing Company,Independenc%e Brewing Company,Independence Brewing Company
brewery_name,1236,Lumberyard Brew$ing Company,??Lumberyard Brewing @@Company,Lumberyard Brewing Company
brewery_name,1329,Miami Brewing Company,Miam??i Brewing% Company,Miami Brewing Company
brewery_name,1396,Monkey Paw Pub & Brewery,Monkey@@ Paw P@@ub & Brewery,Monkey Paw Pub & Brewery
brewery_name,1680,Quest Brewing Company,Quest Brewin%g?? Company,Quest Brewing Company
brewery_name,1819,Schilling & Company,Schilling & C$ompany,Schilling & Company
brewery_name,1842,Shipyard Brewing Company,Shipyard Br@@ewing $Company,Shipyard Brewing Company
brewery_name,2071,Sunken City Brewing Company,??Sunken City Br#ewing Company,Sunken City Brewing Company
brewery_name,2395,Woodstock Inn Station & Brewery,Wood#stock Inn S@@tation & Brewery,Woodstock Inn Station & Brewery
city,63,Golden,Gol??den,Golden
city,89,Juneau,#Ju??neau,Juneau
city,92,Lexington,L??%exington,Lexington
city,234,South Deerfield,??South Deerfield,South Deerfield
city,244,Sheffield,%Sh#effield,Sheffield
city,711,Denver,Den%ver,Denver
city,959,Whitefi#sh,Whi$tefi??sh,Whitefish
city,1049,Leavenworth,Le%avenworth,Leavenworth
city,1097,Milwaukee,Milwaukee#,Milwaukee
city,1155,Brooklyn,Bro#oklyn,Brooklyn
city,1204,Helena,Helena%,Helena
city,1398,Montauk,%Montauk,Montauk
city,1622,Fredericksburg,Fred$ericksburg$,Fredericksburg
city,1768,Midwest City,Midwest# City,Midwest City
city,1770,Midwest$ City,Midwest# City,Midwest City
city,2124,Tampa,T$ampa,Tampa
city,2206,Minnetonka,$Minnetonka,Minnetonka
city,2213,Durham,D$ur%ham,Durham
city,2338,Lexington,Lexin#gton??,Lexington
city,2390,South Lyon,@@South Lyon,South Lyon
state,63,C%O,CO#,CO
state,93,KY,KY@@,KY
state,146,$#CO,#CO,CO
state,180,AL,AL??,AL
state,181,WA,W??A,WA
state,266,??%FL,FL@@@@,FL
state,554,OR,O#R@@,OR
state,662,GA,$GA%,GA
state,816,MD,MD@@,MD
state,1032,MT,??MT,MT
state,1099,WI,W??I,WI
state,1156,NY,N?@@?Y,NY
state,1200,PA,P$$A,PA
state,1208,MN,$@@MN,MN
state,1209,PA,P#A,PA
state,1212,#PA,P#A,PA
state,1399,NY,NY$$,NY
state,1485,MA,#MA$,MA
state,1503,WI,W%I,WI
state,1508,$M@@O,#MO,MO
state,1509,MO$,#MO,MO
state,1620,ME,#ME#,ME
state,1819,WA,W@@A#,WA
state,1832,OR,??OR,OR
state,2208,N@@M,N$M,NM
state,2209,NM,N$M,NM
state,2297,NY,$NY,NY
