Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,79,nan,Nepal Medical College journal : NMCJ
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,296,nan,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,366,nan,BioMed research international
journal_title,422,nan,Journal of dental research
journal_title,443,nan,Journal of cardiovascular medicine (Hagerstown Md.)
journal_title,493,nan,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA
journal_title,575,nan,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,596,nan,J Orthop Sci
journal_title,657,nan,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,773,nan,Journal of the National Cancer Institute
journal_title,822,nan,Obesity (Silver Spring Md.)
journal_issn,24,nan,1527-7755
journal_issn,60,nan,1433-7347
journal_issn,105,nan,1432-0843
journal_issn,106,nan,1099-1611
journal_issn,244,nan,1873-1465
journal_issn,348,1463-1318,1462-8910
journal_issn,416,nan,1097-0142
journal_issn,473,nan,1095-9203
journal_issn,615,nan,1522-726X
journal_issn,643,nan,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,659,1524-4628,0039-2499
journal_issn,747,nan,Mar-67
journal_issn,822,nan,1930-7381
journal_issn,853,nan,22-Sep
