Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,589,1??2:15 p.m.,2:15 p.m.,12:15 p.m.
sched_dep_time,903,1??2:#10 p.m.,2:10 p.m.,12:10 p.m.
sched_dep_time,1935,1@@2$:00 a.m.,2:00 a.m.,12:00 a.m.
act_dep_time,798,1#%1:01 a.m.,1:01 a.m.,11:01 a.m.
act_dep_time,1459,1$%2:41 a.m.,2:41 a.m.,12:41 a.m.
act_dep_time,1472,1#2:41 a.m.,2:41 a.m.,12:41 a.m.
sched_arr_time,227,1%0:30 p.m.,12:30 a.m.,10:30 p.m.
sched_arr_time,693,12:15 #a.#m.,12:15 p.m.,12:15 a.m.
sched_arr_time,729,7:3#0 a#.m.,4:42 p.m.,7:30 a.m.
sched_arr_time,1361,1??2:18 p.m.,2:18 p.m.,12:18 p.m.
sched_arr_time,1775,1@@0:31 a.m.??,12:31 a.m.,10:31 a.m.
act_arr_time,205,1@@1:56 a.m.,1:56 a.m.,11:56 a.m.
act_arr_time,390,1%1:06 a.m.,1:06 a.m.,11:06 a.m.
act_arr_time,1734,1@@2:29 a.m.,2:29 a.m.,12:29 a.m.
act_arr_time,1740,1??2:29 a.m.??,2:29 a.m.,12:29 a.m.
