Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,146,Aspen Brewing Company,Aspen B??rewing C??ompany,Aspen Brewing Company
brewery_name,150,Astoria Brewing Company,Astoria Brewing Compan%y,Astoria Brewing Company
brewery_name,180,Back Forty Beer Company,Back Forty Beer Co@@mpany,Back Forty Beer Company
brewery_name,284,Black Shirt Brewing Company,Black S??hir??t Brewing Company,Black Shirt Brewing Company
brewery_name,332,Bolero Snort Brewery,Bolero# Snort Brewery,Bolero Snort Brewery
brewery_name,335,Bomb Beer Company,Bomb Bee@@r Company,Bomb Beer Company
brewery_name,519,Cambridge Brewing Company,Cambridge %Brewing Company,Cambridge Brewing Company
brewery_name,572,Centennial Beer Company,Ce??ntennial Beer Company,Centennial Beer Company
brewery_name,674,Crystal Springs Brewing Company,Crystal Spring$s Brewing Company#,Crystal Springs Brewing Company
brewery_name,724,nan,Devi@@l's Canyon Brewery,Devil's Canyon Brewery
brewery_name,725,Devil's Canyon Brewery,Devi@@l's Canyon Brewery,Devil's Canyon Brewery
brewery_name,759,Everybody's Brewing,Every$bo#dy's Brewing,Everybody's Brewing
brewery_name,1120,Jack'$s Abby Craft Lagers#,Jack's Abby Craft Lagers#,Jack's Abby Craft Lagers
brewery_name,1122,Jack's Abby Craft Lagers,Jack's Abby Craft Lagers#,Jack's Abby Craft Lagers
brewery_name,1134,Ja#mes Page Br@@ewing Company,James Page B@@rewing Company,James Page Brewing Company
brewery_name,1138,James Page Brewing Company,James Page B@@rewing Company,James Page Brewing Company
brewery_name,1198,Laughing Dog Brewing Company,Lau%ghing Dog B@@rewing Company,Laughing Dog Brewing Company
brewery_name,1199,Lavery Brewing Company,Lavery Brewing C$ompany,Lavery Brewing Company
brewery_name,1383,Moat Mountain Smoke House & Brew...,Moat Mountain ??Smoke Hous??e & Brew...,Moat Mountain Smoke House & Brew...
brewery_name,1545,nan,Orlison Brewing# Company,Orlison Brewing Company
brewery_name,1547,Orlison Brewing Company,Orlison Brewing# Company,Orlison Brewing Company
brewery_name,1679,Quest Brewing Company,Quest Brewi#ng Company,Quest Brewing Company
brewery_name,1740,River North Brewery,River North Br$ewery,River North Brewery
brewery_name,1743,Rivertown ??Brewing C@@ompany,Riverto$wn Brewing Co@@mpany,Rivertown Brewing Company
brewery_name,1831,nan,Seatt@@le Cider Company,Seattle Cider Company
brewery_name,2018,Stillwater Artisanal Ales,Stillwater Artisa@@nal Ales,Stillwater Artisanal Ales
brewery_name,2032,Summit Brewing Company,Su#mmit Brewing Com#pany,Summit Brewing Company
brewery_name,2155,The Bronx Brewery,T??he Bronx Brew@@ery,The Bronx Brewery
brewery_name,2275,Union Craft Brewing,Union C%raft Br$ewing,Union Craft Brewing
brewery_name,2336,nan,West Six??th Brewing,West Sixth Brewing
brewery_name,2337,West Sixth Brewing,West Six??th Brewing,West Sixth Brewing
city,135,Denton,Dent#on#,Denton
city,234,nan,@@South Deer??field,South Deerfield
city,247,Hollan????d,%Holl#and,Holland
city,312,Aft??o#n,Aft$o#n,Afton
city,313,Afton,Aft$o#n,Afton
city,546,Pittsboro,Pit%tsboro,Pittsboro
city,673,Boulder,??Boulder,Boulder
city,982,Lewisburg,Lewi#sbu$rg,Lewisburg
city,1103,Minnea??pol??is,Minneapoli#s,Minneapolis
city,1105,nan,Minneapoli#s,Minneapolis
city,1106,nan,Minneapoli#s,Minneapolis
city,1144,Kalona,Ka%lona%,Kalona
city,1156,Brooklyn,Brookl%y??n,Brooklyn
city,1191,Lanc??aster,??Lancaster,Lancaster
city,1200,Erie,Er$ie,Erie
city,1229,Ashburn,Ashbu@@$rn,Ashburn
city,1407,Kinston,#Kinston,Kinston
city,1743,Lockland,L@@??ockland,Lockland
city,1809,Santa Cruz,Sant%a# Cruz,Santa Cruz
city,1897,Chicago,Ch??icago,Chicago
city,2133,Evanston,Evanst%on$,Evanston
city,2134,nan,Evanst%on$,Evanston
city,2213,Durham,D%urham,Durham
city,2379,Pinedale,Pine$dale,Pinedale
state,16,OR,OR??,OR
state,94,W??A,W%A@@,WA
state,234,M$A,M??#A,MA
state,247,MI,#MI,MI
state,284,CO,CO%$,CO
state,526,M%A$,$@@MA,MA
state,527,nan,$@@MA,MA
state,528,??MA,$@@MA,MA
state,674,CO,#@@CO,CO
state,812,IN,IN@@#,IN
state,844,MI,#MI,MI
state,883,@@N$C,@@NC,NC
state,884,NC,@@NC,NC
state,1109,TX,T#%X,TX
state,1504,WI,#WI,WI
state,1622,TX,%TX,TX
state,1647,CO,CO#,CO
state,1832,$OR@@,#OR@@,OR
state,1897,IL,IL#,IL
state,1944,OR,@@OR,OR
state,2155,NY,N$??Y,NY
state,2395,NH,%NH,NH
