Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,??PLoS On$e,PLoS One
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,149,Gut,G$u$t
journal_title,381,nan,%Anesthesia And Analgesia
journal_title,422,nan,Journal of dental research
journal_title,443,J@@ournal of cardiovascular medicine (Hagerstown Md.),Journal$ of cardiovascular medicine (Hagerstown Md.)
journal_title,481,nan,Rheuma$tology (Ox@@ford)
journal_title,587,nan,European Journal Of Anaesthesiology
journal_title,619,Public health nursing ??(B$oston Mass.),Public health nursing (Boston Mass.)
journal_title,644,nan,Circulation
journal_title,659,Stroke; a journal of cerebral circulation,Stroke; a journal?? o$f cerebral circulation
journal_title,770,nan,PLoS One
journal_title,801,J$ournal of the National Cancer Insti#tute,Journal of the National Cancer Institute
journal_title,892,J Hand Surg Am,J Hand Surg Am%
journal_title,910,nan,Cancer
journal_title,932,Journal of clini$cal oncology : official journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of @@the American Society of Clinica#l Oncology
journal_title,991,nan,Am J Clin Nutr
journal_issn,24,nan,1527#??-7755
journal_issn,37,0025-7931,1423-0356
journal_issn,227,nan,1945-7170
journal_issn,244,1873-1465,1873-146@@5
journal_issn,378,nan,1932-6203
journal_issn,546,1462-0324,1462-0#324
journal_issn,619,0737-1209,1525-1446
journal_issn,659,1524-4628,0039-2499
journal_issn,868,1432-084%3%,1432-0843
