Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,149,Gut,G$u$t,Gut
journal_title,381,nan,%Anesthesia And Analgesia,Anesthesia And Analgesia
journal_title,443,J@@ournal of cardiovascular medicine (Hagerstown Md.),Journal$ of cardiovascular medicine (Hagerstown Md.),Journal of cardiovascular medicine (Hagerstown Md.)
journal_title,481,nan,Rheuma$tology (Ox@@ford),Rheumatology (Oxford)
journal_title,659,Stroke; a journal of cerebral circulation,Stroke; a journal?? o$f cerebral circulation,Stroke; a journal of cerebral circulation
journal_title,892,J Hand Surg Am,J Hand Surg Am%,J Hand Surg Am
journal_title,932,Journal of clini$cal oncology : official journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of @@the American Society of Clinica#l Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_issn,24,nan,1527#??-7755,1527-7755
journal_issn,37,0025-7931,1423-0356,0025-7931
journal_issn,244,1873-1465,1873-146@@5,1873-1465
journal_issn,546,1462-0324,1462-0#324,1462-0324
journal_issn,619,0737-1209,1525-1446,0737-1209
journal_issn,659,1524-4628,0039-2499,1524-4628
