Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_name,661,Creature Comforts,Creature C@@omfor%ts,Creature Comforts
brewery_name,680,D.L. Geary Brewing Company,D.L. $Geary Brewing Co@@mpany,D.L. Geary Brewing Company
brewery_name,693,David's Ale Works,David's Ale Wor@@ks,David's Ale Works
brewery_name,1409,Mother's Brewing,Mother's #B$rewing,Mother's Brewing
brewery_name,1507,O'Fallon Brewery,O'F%a%llon Brewery,O'Fallon Brewery
brewery_name,2204,Tommyknocker Brewery,Tommykno@@cker Brewery,Tommyknocker Brewery
city,248,Holland,Ho$lland,Holland
city,597,Stevens Point,St#evens #Point,Stevens Point
city,673,Boulder,Bou??$lder,Boulder
city,712,Denver,Denv??er#,Denver
state,92,KY,K$Y,KY
state,531,MA,MA#,MA
state,1002,WA,WA#,WA
state,1017,V@@A??,V#A,VA
state,1018,VA,V#A,VA
state,1235,MS,MS@@,MS
state,1807,CO,CO@@,CO
