Attribute,Index,Dirty Value,Cleaned Value,Clean Value
HospitalName,451,empty,y#ukon kuskokwim de%lta reg hospital,yukon kuskokwim delta reg hospital
HospitalOwner,452,g#o??vernment - federal,governme%nt - federal,government - federal
MeasureName,312,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,children who recei$ved syste??mic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma
Stateavg,433,ak_hf-1,al_hf-1,ak_hf-1
Stateavg,434,empty,al_hf-2,ak_hf-2
Stateavg,435,empty,al_hf-3,ak_hf-3
Stateavg,436,ak_hf-4,al_hf-4,ak_hf-4
Stateavg,437,ak_pn-2,al_pn-2,ak_pn-2
Stateavg,438,ak_pn-3b,al_pn-3b,ak_pn-3b
Stateavg,439,ak_pn-4,al_pn-4,ak_pn-4
Stateavg,440,ak_pn-5c,al_pn-5c,ak_pn-5c
Stateavg,441,ak_pn-6,al_pn-6,ak_pn-6
Stateavg,442,ak_pn-7,al_pn-7,ak_pn-7
Stateavg,444,empty,al_scip-inf-1,ak_scip-inf-1
Stateavg,445,ak_scip-inf-2,al_scip-inf-2,ak_scip-inf-2
Stateavg,446,ak_scip-inf-3,al_scip-inf-3,ak_scip-inf-3
Stateavg,447,ak_scip-inf-4,al_scip-inf-4,ak_scip-inf-4
Stateavg,448,ak_scip-@@inf-6,al_scip-inf-6,ak_scip-inf-6
Stateavg,449,ak_scip-vte-1,al_scip-vte-1,ak_scip-vte-1
Stateavg,450,ak_%scip-vte-2,al_scip-vte-2,ak_scip-vte-2
Stateavg,451,empty,al_ami-1,ak_ami-1
Stateavg,904,al_cac-2,al@@_ca%c-2,al_cac-2
