Attribute,Index,Clean Value,Dirty Value
src,3,allegiantair,empty
src,8,flights,empty
src,15,helloflight,empty
src,17,mytripandmore,empty
src,20,quicktrip,empty
src,28,flightexplorer,empty
src,35,gofox,empty
src,40,orbitz,empty
src,41,panynj,empty
src,43,travelocity,empty
src,46,wunderground,empty
src,64,myrateplan,empty
src,73,world-flight-tracker,empty
src,98,world-flight-tracker,empty
src,125,wunderground,empty
src,134,flightview,empty
src,140,myrateplan,empty
src,144,quicktrip,empty
src,146,usatoday,empty
src,156,flights,empty
src,167,panynj,empty
src,175,businesstravellogue,empty
src,179,flights,empty
src,216,mytripandmore,empty
src,220,travelocity,empty
src,230,flightaware,empty
src,242,mytripandmore,empty
src,246,quicktrip,empty
src,255,boston,empty
src,274,boston,empty
src,288,mytripandmore,empty
src,299,boston,empty
src,329,flights,empty
src,330,flightstats,empty
src,331,flightview,empty
src,332,flylouisville,empty
src,335,gofox,empty
src,336,helloflight,empty
src,355,flightaware,empty
src,382,flightstats,empty
src,395,usatoday,empty
src,398,wunderground,empty
src,407,flightexplorer,empty
src,411,flightwise,empty
src,438,flytecomm,empty
src,439,foxbusiness,empty
src,443,myrateplan,empty
src,450,world-flight-tracker,empty
src,459,flightexplorer,empty
src,467,helloflight,empty
src,468,myrateplan,empty
src,472,quicktrip,empty
src,477,aa,empty
src,493,myrateplan,empty
src,499,weather,empty
src,504,allegiantair,empty
src,521,panynj,empty
src,523,travelocity,empty
src,550,wunderground,empty
src,555,businesstravellogue,empty
src,589,flytecomm,empty
src,598,quicktrip,empty
src,601,weather,empty
src,609,flightarrival,empty
src,630,world-flight-tracker,empty
src,648,myrateplan,empty
src,656,weather,empty
src,663,businesstravellogue,empty
src,665,flightaware,empty
src,672,flytecomm,empty
src,676,ifly,empty
src,697,flylouisville,empty
src,754,gofox,empty
src,759,panynj,empty
src,775,flightview,empty
src,781,ifly,empty
src,782,myrateplan,empty
src,784,orbitz,empty
src,790,world-flight-tracker,empty
src,791,wunderground,empty
src,792,aa,empty
src,793,airtravelcenter,empty
src,799,flightaware,empty
src,803,flylouisville,empty
src,805,foxbusiness,empty
src,816,aa,empty
src,817,airtravelcenter,empty
src,822,flightaware,empty
src,837,quicktrip,empty
src,846,boston,empty
src,852,flytecomm,empty
src,857,myrateplan,empty
src,858,mytripandmore,empty
src,862,quicktrip,empty
src,866,airtravelcenter,empty
src,880,helloflight,empty
src,891,airtravelcenter,empty
src,894,businesstravellogue,empty
src,898,flights,empty
src,919,boston,empty
src,925,flightstats,empty
src,930,foxbusiness,empty
src,936,ord,empty
src,937,panynj,empty
src,943,wunderground,empty
src,945,airtravelcenter,empty
src,946,allegiantair,empty
src,950,flightaware,empty
src,983,flytecomm,empty
src,988,orbitz,empty
src,1000,flightexplorer,empty
src,1002,flightstats,empty
src,1004,flylouisville,empty
src,1016,weather,empty
src,1036,panynj,empty
src,1045,allegiantair,empty
src,1048,flightarrival,empty
src,1059,mia,empty
src,1061,mytripandmore,empty
src,1069,wunderground,empty
src,1079,flightstats,empty
src,1083,foxbusiness,empty
src,1098,allegiantair,empty
src,1112,panynj,empty
src,1121,allegiantair,empty
src,1133,foxbusiness,empty
src,1143,travelocity,empty
src,1145,weather,empty
src,1151,boston,empty
src,1172,world-flight-tracker,empty
src,1174,aa,empty
src,1185,flylouisville,empty
src,1186,flytecomm,empty
src,1192,orbitz,empty
src,1198,world-flight-tracker,empty
src,1204,businesstravellogue,empty
src,1205,flightaware,empty
src,1226,businesstravellogue,empty
src,1227,den,empty
src,1235,flytecomm,empty
src,1243,panynj,empty
src,1249,wunderground,empty
src,1252,allegiantair,empty
src,1297,wunderground,empty
src,1316,travelocity,empty
src,1336,panynj,empty
src,1353,gofox,empty
src,1395,flightstats,empty
src,1401,helloflight,empty
src,1404,panynj,empty
src,1407,weather,empty
src,1411,boston,empty
src,1426,orbitz,empty
src,1433,allegiantair,empty
src,1438,flightstats,empty
src,1440,flylouisville,empty
src,1443,gofox,empty
src,1444,helloflight,empty
src,1456,businesstravellogue,empty
src,1464,foxbusiness,empty
src,1474,CO,empty
src,1493,panynj,empty
src,1526,businesstravellogue,empty
src,1536,helloflight,empty
src,1538,mytripandmore,empty
src,1539,orbitz,empty
src,1552,flightstats,empty
src,1566,airtravelcenter,empty
src,1580,mytripandmore,empty
src,1582,panynj,empty
src,1585,weather,empty
src,1604,quicktrip,empty
src,1613,flightstats,empty
src,1625,weather,empty
src,1635,flylouisville,empty
src,1643,panynj,empty
src,1650,boston,empty
src,1660,gofox,empty
src,1669,airtravelcenter,empty
src,1680,helloflight,empty
src,1682,myrateplan,empty
src,1683,orbitz,empty
src,1697,foxbusiness,empty
src,1701,orbitz,empty
src,1705,airtravelcenter,empty
src,1722,quicktrip,empty
src,1732,flightexplorer,empty
src,1770,quicktrip,empty
src,1771,ua,empty
src,1793,weather,empty
src,1794,airtravelcenter,empty
src,1798,flightarrival,empty
src,1809,myrateplan,empty
src,1815,travelocity,empty
src,1816,ua,empty
src,1819,world-flight-tracker,empty
src,1827,flightstats,empty
src,1855,orbitz,empty
src,1856,panynj,empty
src,1865,businesstravellogue,empty
src,1869,flightview,empty
src,1870,flylouisville,empty
src,1886,allegiantair,empty
src,1894,foxbusiness,empty
src,1909,businesstravellogue,empty
src,1910,flightarrival,empty
src,1930,airtravelcenter,empty
src,1953,wunderground,empty
src,1957,businesstravellogue,empty
src,1982,businesstravellogue,empty
src,1986,flightview,empty
src,1991,helloflight,empty
src,1995,panynj,empty
src,1998,ua,empty
src,2005,businesstravellogue,empty
src,2018,panynj,empty
src,2025,airtravelcenter,empty
src,2028,businesstravellogue,empty
src,2038,orbitz,empty
src,2043,usatoday,empty
src,2044,weather,empty
src,2052,flylouisville,empty
src,2054,foxbusiness,empty
src,2062,ua,empty
src,2090,flightarrival,empty
src,2091,flightaware,empty
src,2125,helloflight,empty
src,2132,travelocity,empty
src,2146,flytecomm,empty
src,2160,allegiantair,empty
src,2167,flightview,empty
src,2170,foxbusiness,empty
src,2175,panynj,empty
src,2178,travelocity,empty
src,2181,weather,empty
src,2201,allegiantair,empty
src,2214,orbitz,empty
src,2224,flightarrival,empty
src,2236,panynj,empty
src,2246,flightaware,empty
src,2249,flightstats,empty
src,2259,orbitz,empty
src,2268,world-flight-tracker,empty
src,2271,allegiantair,empty
src,2279,flightview,empty
src,2297,businesstravellogue,empty
src,2309,panynj,empty
src,2316,allegiantair,empty
src,2324,flytecomm,empty
src,2327,helloflight,empty
src,2328,myrateplan,empty
src,2330,panynj,empty
src,2342,flightview,empty
src,2346,gofox,empty
src,2364,flylouisville,empty
flight,10,AA-1007-MIA-PHX,empty
flight,19,AA-1007-MIA-PHX,empty
flight,37,AA-1165-JFK-MIA,empty
flight,50,AA-1221-MCO-ORD,empty
flight,52,AA-1221-MCO-ORD,empty
flight,84,AA-1279-DFW-PHX,empty
flight,113,AA-1434-DFW-MCO,empty
flight,123,AA-1434-DFW-MCO,empty
flight,151,AA-1544-SAN-ORD,empty
flight,157,AA-1544-SAN-ORD,empty
flight,163,AA-1544-SAN-ORD,empty
flight,164,AA-1544-SAN-ORD,empty
flight,168,AA-1544-SAN-ORD,empty
flight,200,AA-1664-MIA-ATL,empty
flight,206,AA-1664-MIA-ATL,empty
flight,213,AA-1664-MIA-ATL,empty
flight,215,AA-1664-MIA-ATL,empty
flight,218,AA-1664-MIA-ATL,empty
flight,228,AA-1733-ORD-PHX,empty
flight,231,AA-1733-ORD-PHX,empty
flight,241,AA-1733-ORD-PHX,empty
flight,254,AA-1886-BOS-MIA,empty
flight,256,AA-1886-BOS-MIA,empty
flight,258,AA-1886-BOS-MIA,empty
flight,273,AA-1917-JFK-MCO,empty
flight,274,AA-1917-JFK-MCO,empty
flight,279,AA-1917-JFK-MCO,empty
flight,283,AA-1917-JFK-MCO,empty
flight,288,AA-1917-JFK-MCO,empty
flight,296,AA-204-LAX-MCO,empty
flight,306,AA-204-LAX-MCO,empty
flight,319,AA-204-LAX-MCO,empty
flight,323,AA-2050-ORD-MIA,empty
flight,338,AA-2050-ORD-MIA,empty
flight,350,AA-222-LAX-BOS,empty
flight,357,AA-222-LAX-BOS,empty
flight,378,AA-2268-PHX-ORD,empty
flight,379,AA-2268-PHX-ORD,empty
flight,391,AA-2268-PHX-ORD,empty
flight,392,AA-2268-PHX-ORD,empty
flight,406,AA-2312-DFW-DTW,empty
flight,409,AA-2312-DFW-DTW,empty
flight,420,AA-2312-DFW-DTW,empty
flight,421,AA-2312-DFW-DTW,empty
flight,427,AA-2525-DFW-MIA,empty
flight,429,AA-2525-DFW-MIA,empty
flight,433,AA-2525-DFW-MIA,empty
flight,434,AA-2525-DFW-MIA,empty
flight,447,AA-2525-DFW-MIA,empty
