Attribute,Index,Dirty Value,Clean Value
id,5,3681414.395817458,803653
id,8,2949254.5967338406,729712
id,33,3744055.079243947,954388
id,48,2193624.9996881387,530323
id,59,1832807.592888766,548616
id,72,3894837.016427699,826030
id,78,739890.26581859,172966
id,90,4607871.902466579,914468
id,97,2891765.7990232017,931323
id,110,1327719.8655632995,255432
id,117,1821357.9323879057,585766
id,139,1492231.373506942,316632
id,143,4527896.944104284,900624
id,149,1292677.9566350677,224232
id,210,3454466.5324977473,979059
id,238,4961684.416386052,922795
id,239,3985321.5561633673,768486
id,254,1959706.489308858,417373
id,261,3694053.079874357,710727
id,262,2516629.3319833823,816996
id,292,2476491.1229249504,743129
id,293,2182965.559587566,392246
id,305,3758888.3594780527,746065
id,326,2629047.8919789125,453637
id,335,2018589.781346072,524073
id,355,4513521.244906457,896848
id,357,1220275.078769632,232896
id,358,2861589.9434767673,798716
id,375,2784732.2410132284,894502
id,377,4512622.639583212,816944
id,399,4622666.805073865,905100
id,403,2622570.078108346,722451
id,413,5019881.706005844,891722
id,442,252184.7476443868,71263
id,445,2347658.0969372187,397190
id,459,5082658.605115791,850788
id,495,122699.24714495604,36253
id,505,4965797.810831596,850418
id,511,3785257.9814593894,915463
id,514,1103701.3003217382,213794
id,548,4586592.170351309,893227
id,576,1784438.3983841792,373015
id,581,1624967.46796065,494428
id,584,1570546.784202851,423691
id,589,4431129.348465227,862844
id,604,3048680.213768036,636937
id,615,849039.9184123323,145770
id,625,1273574.794448508,231933
id,638,3794492.988594855,786108
id,639,1256459.252740324,233544
id,645,45411.09592433004,14077
id,661,63642.723721498645,20641
id,665,2200739.7614286,541739
id,666,2903329.909196217,558824
id,675,3681579.132759147,619668
id,687,1738718.420576019,293974
id,695,3121420.1573859463,605277
id,712,1581461.1976733697,446026
id,713,377264.921550345,84941
id,732,1207031.3523543044,332032
id,733,1948026.54016404,617801
id,734,1810641.0540362,480030
id,744,1881612.4531777117,440684
id,751,608458.3227845228,166521
id,756,3100977.468314269,788507
id,762,2391363.1095975274,570704
id,769,58792.952940271054,18298
id,771,2673427.087352053,625306
id,775,2600337.208753945,718292
id,778,1108176.2806748112,217418
id,794,3533586.280563507,740811
id,800,2098578.655589813,366275
id,812,1713737.2097549294,439302
id,814,789190.2169398557,133777
id,836,839234.8295915317,153797
id,839,1140619.1769153024,294719
id,865,1190446.6471864588,258181
id,866,60479.95666578926,11709
id,867,2704945.279546846,603381
id,869,1255482.2604732902,395807
id,874,717259.0925036297,121133
id,875,477676.1834911961,82486
id,880,3641511.925341949,622636
id,883,3200515.4141201093,861475
id,904,3111384.823916979,819735
id,905,69206.26223748681,21599
id,922,3970603.755187795,772026
id,924,4014522.712985963,904168
id,943,3452069.418525561,772745
id,958,1747124.161719306,385346
id,965,3859177.0239648544,786558
id,972,2766534.569104241,855970
id,978,507460.5569197047,160121
id,980,452636.5641394379,84783
article_title,15,Monoaxial versus polyaxi$al locking systems: a biomecha@@nical analysis of different locking systems for the fixation of proximal humeral fractures,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures
article_title,17,A randomi??zed controlled trial o$f Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.
article_title,18,Multisystemic Therapy for social emotiona$l and behavioral problems in youth aged 10-17,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17
article_title,22,A performance improvement process to tackle tach??ysystole,A performance improvement process to tackle tachysystole
article_title,34,Bone density and body compositio??n in young women with ch$ronic fatigue syndrome.,Bone density and body composition in young women with chronic fatigue syndrome.
article_title,41,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted in@@tensity modulated radiation therapy f$or squamous cell carcinoma of the anal canal,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal
