Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,105,Cancer chemotherapy and pharmacology,Cancer chem??otherapy and pharmacology,Cancer chemotherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,309,Gut,Gu@@t,Gut
journal_title,372,Annals of internal medicine,An??nals of intern??al medicine,Annals of internal medicine
journal_title,493,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Kne%e surgery sports traum#atology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA
journal_title,587,European Journal Of Anaesthesiology,European Journal Of Ana$esthesiology,European Journal Of Anaesthesiology
journal_title,617,The European respiratory journal,The European respirat$ory %journal,The European respiratory journal
journal_issn,27,1555-2101,$1555-%2101,1555-2101
journal_issn,106,105%7-9249,1099-1611,1057-9249
journal_issn,178,1930-7381,1930-#739X,1930-7381
journal_issn,348,1463-1318,1462-8910,1463-1318
journal_issn,422,0022-0345,0022@@-0345,0022-0345
journal_issn,617,0903-1936,1399-300#3,0903-1936
journal_issn,619,0737-1209,15$#25-1446,0737-1209
journal_issn,644,1524-45%39,22-Sep,1524-4539
journal_issn,654,0039-2499,1524-4628,0039-2499
journal_issn,855,1423-0356,00??25-7931,1423-0356
