Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,??PLoS One,PLoS One
journal_title,105,Cancer chemotherapy and pharmacology,Cancer chem??otherapy and pharmacology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,309,Gut,Gu@@t
journal_title,366,Bi#oMed research internat%ional,BioMed research international
journal_title,372,Annals of internal medicine,An??nals of intern??al medicine
journal_title,493,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Kne%e surgery sports traum#atology arthroscopy : official journal of the ESSKA
journal_title,587,European Journal Of Anaesthesiology,European Journal Of Ana$esthesiology
journal_title,617,The European respiratory journal,The European respirat$ory %journal
journal_title,710,J #Hand Surg Am#,J Hand Surg Am
journal_title,984,Am$ J Clin Nutr??,Am J Clin Nutr
journal_issn,27,1555-2101,$1555-%2101
journal_issn,106,105%7-9249,1099-1611
journal_issn,178,1930-7381,1930-#739X
journal_issn,320,1467-11??07,1467-1107
journal_issn,348,1463-1318,1462-8910
journal_issn,422,0022-0345,0022@@-0345
journal_issn,487,1873??-1465,1873-1465
journal_issn,617,0903-1936,1399-300#3
journal_issn,619,0737-1209,15$#25-1446
journal_issn,644,1524-45%39,22-Sep
journal_issn,654,0039-2499,1524-4628
journal_issn,798,0363-??5023,0363-5023
journal_issn,855,1423-0356,00??25-7931
