Attribute,Index,Dirty Value,Clean Value
id,2,2542471.186656745,498345
id,14,nan,965082
id,24,2399752.219638749,569841
id,25,nan,6207
id,30,nan,819166
id,37,nan,968125
id,39,nan,732534
id,45,nan,719532
id,54,nan,42247
id,62,nan,108424
id,63,nan,841679
id,67,4805821.9855222115,912884
id,78,nan,172966
id,99,1862327.3820472148,377284
id,104,nan,628299
id,105,nan,72089
id,106,nan,847287
id,107,nan,764224
id,109,nan,125072
id,112,nan,781141
id,115,nan,684757
id,117,nan,585766
id,123,nan,668845
id,125,4925920.535544525,946006
id,126,nan,36429
id,129,nan,369578
id,130,nan,772616
id,132,nan,757463
id,133,2369768.0377070294,465176
id,134,nan,368072
id,136,nan,380945
id,154,nan,754594
id,167,nan,232775
id,168,2176848.2426925483,631610
id,174,nan,910604
id,177,4321696.124211356,835178
id,179,87435.06923856867,22708
id,185,4450943.777996912,929252
id,186,nan,821382
id,188,3433445.332737259,925885
id,197,nan,143029
id,198,2753163.955757472,667611
id,199,nan,565079
id,201,nan,55412
id,210,3975442.9900768218,979059
id,213,nan,245822
id,219,nan,184949
id,221,nan,470174
id,227,2497541.475485829,481882
id,232,1588302.33426059,504206
id,234,nan,235689
id,236,nan,84944
id,239,nan,768486
id,254,nan,417373
id,256,1440576.63154593,386327
id,259,nan,384767
id,261,nan,710727
id,265,nan,967376
id,270,nan,692358
id,279,3336075.23446371,653325
id,280,nan,893573
id,289,nan,785472
id,290,nan,734077
id,292,nan,743129
id,300,nan,427455
id,312,nan,320139
id,313,nan,735083
id,314,nan,978471
id,316,nan,90272
id,317,3147381.753267888,776651
id,320,nan,385940
id,327,287053.5698604576,57483
id,328,nan,462849
id,330,1965892.394096152,438808
id,331,nan,352040
id,332,3834587.308350939,887131
id,345,1766056.839220384,441902
id,346,nan,950233
id,354,nan,689666
id,357,nan,232896
id,361,nan,81959
id,369,nan,248075
id,375,nan,894502
id,377,3415679.621145425,816944
id,378,nan,632040
id,386,nan,169524
id,393,nan,881020
id,396,3496688.962125333,852332
id,404,1587851.606939,318542
id,409,nan,205187
id,418,nan,475847
id,419,nan,893664
id,420,2480572.500037242,450528
id,422,644059.7248494976,119186
id,435,nan,587024
id,436,nan,49274
id,438,4357380.182263937,858569
id,439,nan,982590
id,442,308738.4408425893,71263
id,445,1903115.2175016403,397190
id,450,nan,951143
id,453,4349686.839566436,891370
id,460,nan,811354
id,461,nan,323305
id,463,nan,743602
