Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_issn,37,nan,1423-0356,0025-7931
journal_issn,105,nan,1@@432-0843,1432-0843
journal_issn,106,nan,1099-1611,1057-9249
journal_issn,178,1930-7381,1930-739X,1930-7381
journal_issn,218,1462-8910,1463-1318,1462-8910
journal_issn,643,1525-1446,0737-1209,1525-1446
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,654,nan,1524-4628,0039-2499
