Attribute,Index,Dirty Value,Cleaned Value
HospitalName,12,empty,helen keller memorial hospital
HospitalName,20,empty,southeast alabama medical center
HospitalName,24,southeast alaba%ma medi@@cal center,southeast alabama medical center
HospitalName,29,empty,southeast alabama medical center
HospitalName,31,south$east alabama medical c??enter,southeast alabama medical center
HospitalName,46,empty,marshall medical center south
HospitalName,56,empty,marshall medical center south
HospitalName,66,empty,marshall medical center south
HospitalName,75,eliza coffee memo%rial hosp#ital,eliza coffee memorial hospital
HospitalName,86,eliza coff#ee memorial hospital%,eliza coffee memorial hospital
HospitalName,89,empty,eliza coffee memorial hospital
HospitalName,94,eliza coffee memori%al hospi@@tal,eliza coffee memorial hospital
HospitalName,99,mizell me#$morial hospital,mizell memorial hospital
HospitalName,100,mizell memor%ial h@@ospital,mizell memorial hospital
HospitalName,102,mizell %memorial hospital,mizell memorial hospital
HospitalName,103,empty,mizell memorial hospital
HospitalName,105,empty,mizell memorial hospital
HospitalName,117,empty,mizell memorial hospital
HospitalName,126,empty,crenshaw community hospital
HospitalName,133,empty,crenshaw community hospital
HospitalName,137,empty,crenshaw community hospital
HospitalName,139,empty,crenshaw community hospital
HospitalName,145,hartselle $medical c%enter,hartselle medical center
HospitalName,146,empty,hartselle medical center
HospitalName,150,empty,hartselle medical center
HospitalName,153,hartselle medi@@cal center,hartselle medical center
HospitalName,171,empty,marshall medical center north
HospitalName,183,empty,marshall medical center north
HospitalName,185,empty,marshall medical center north
HospitalName,196,empty,st vincents east
HospitalName,200,st?? vincents east,st vincents east
HospitalName,204,st vincents eas$t,st vincents east
HospitalName,206,empty,st vincents east
HospitalName,222,dekalb regional me#dical center,dekalb regional medical center
HospitalName,223,empty,dekalb regional medical center
HospitalName,237,empty,dekalb regional medical center
HospitalName,238,empty,dekalb regional medical center
HospitalName,249,empty,southwest alabama medical center
HospitalName,250,empty,southwest alabama medical center
HospitalName,279,empty,shelby baptist medical center
HospitalName,284,shelby baptist medical cen@@ter,shelby baptist medical center
HospitalName,286,empty,shelby baptist medical center
HospitalName,309,callahan eye foundation hosp#ital,callahan eye foundation hospital
HospitalName,312,empty,stringfellow memorial hospital
HospitalName,315,empty,stringfellow memorial hospital
HospitalName,317,stringfel#low memorial hosp#ital,stringfellow memorial hospital
HospitalName,320,empty,stringfellow memorial hospital
HospitalName,321,empty,stringfellow memorial hospital
HospitalName,322,stringfellow memori@@al hospital,stringfellow memorial hospital
HospitalName,324,empty,stringfellow memorial hospital
HospitalName,326,empty,stringfellow memorial hospital
HospitalName,329,empty,stringfellow memorial hospital
HospitalName,352,empty,st vincents hospital
HospitalName,363,empty,northwest medical center
HospitalName,374,northwest medical cente??r,northwest medical center
HospitalName,380,univ of south alabama medica%l center,univ of south alabama medical center
HospitalName,386,empty,univ of south alabama medical center
HospitalName,391,empty,univ of south alabama medical center
HospitalName,392,empty,univ of south alabama medical center
HospitalName,402,empty,prattville baptist hospital
HospitalName,409,empty,prattville baptist hospital
HospitalName,421,empty,coosa valley medical center
HospitalName,422,empty,coosa valley medical center
HospitalName,433,empty,alaska regional hospital
HospitalName,439,alaska regional h#ospital,alaska regional hospital
HospitalName,450,empty,alaska regional hospital
HospitalName,456,he#len keller memorial hospital,helen keller memorial hospital
HospitalName,461,empty,helen keller memorial hospital
HospitalName,475,empty,dale medical center
HospitalName,480,empty,dale medical center
HospitalName,494,empty,cherokee medical center
HospitalName,495,empty,cherokee medical center
HospitalName,499,empty,cherokee medical center
HospitalName,501,cherokee medical cente#r,cherokee medical center
HospitalName,513,empty,cherokee medical center
HospitalName,527,empty,baptist medical center south
HospitalName,528,baptist medi@@cal center south,baptist medical center south
HospitalName,529,empty,baptist medical center south
HospitalName,530,empty,baptist medical center south
HospitalName,534,empty,baptist medical center south
HospitalName,537,empty,baptist medical center south
HospitalName,540,b%aptist medical cent$er south,baptist medical center south
HospitalName,541,empty,baptist medical center south
HospitalName,547,jackson hospital & cli??nic inc,jackson hospital & clinic inc
HospitalName,563,jackso#n hospital & clinic inc,jackson hospital & clinic inc
HospitalName,564,empty,jackson hospital & clinic inc
HospitalName,566,empty,jackson hospital & clinic inc
HospitalName,567,empty,g h lanier memorial hospital
