Attribute: ProviderNumber, MSE: nan, Jaccard: 0.5569039704283554
Attribute: HospitalName, MSE: nan, Jaccard: 0.12481428571428566
Attribute: Address1, MSE: nan, Jaccard: 0.06638297872340415
Attribute: Address2, MSE: nan, Jaccard: nan
Attribute: Address3, MSE: nan, Jaccard: nan
Attribute: City, MSE: nan, Jaccard: 0.09678294573643398
Attribute: State, MSE: nan, Jaccard: 0.0
Attribute: ZipCode, MSE: nan, Jaccard: 0.0864880952380952
Attribute: CountyName, MSE: nan, Jaccard: 0.029999999999999916
Attribute: PhoneNumber, MSE: nan, Jaccard: 0.022608695652173938
Attribute: HospitalType, MSE: nan, Jaccard: 0.0
Attribute: HospitalOwner, MSE: nan, Jaccard: 0.20127172372641156
Attribute: EmergencyService, MSE: nan, Jaccard: 0.33372411098085186
Attribute: Condition, MSE: nan, Jaccard: 0.5023181712023994
Attribute: MeasureCode, MSE: nan, Jaccard: 0.6830961510024737
Attribute: MeasureName, MSE: nan, Jaccard: 0.2279971520103099
检查你指定的属性 Score 是否为数值型！
Attribute: Score, MSE: nan, Jaccard: 0.41813216364153916
Attribute: Sample, MSE: nan, Jaccard: 0.21094297239089688
Attribute: Stateavg, MSE: nan, Jaccard: 0.3677580725410552
加权混合距离: 0.11556533791143192
