ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Late repair of injuries of the anal sphincter,eng,nan,Proceedings of the Royal Society of Medicine,nan,64,12,nan,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1@@537-66%13,,-1,2/15/0@@4,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,4,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,903246.489164657,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,84,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,nan,Dermatologic clinics,Dermatol Clin,1558-0520,,4,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,nan,nan,nan,nan,58.96368740962522,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,0007-1420,29,8.279039749059418,1/1/73,163@@-??7,{B N PrichardJ W Black}
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,nan,164,1,1/1/07,nan,
9,396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,nan,1385-4046,25,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,1930434.5699183403,nan,nan,nan,nan,nan,79,938,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417,Disparities in childhood asthma hospitalizations: A spa#tial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,14,5,1/9/01,317-325,{J. L. LiP#. Newcomb}
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin E?#?xp Med,1940-5901,,6,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
13,278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,276.8075034455347,6,1/13/01,71??1-5,
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Hea%rt Rhythm,nan,1547-5271,8,5,1/11/01,S40,{C. Hamilton-CraigS. BartolettiM. CasellaF. PernaM. L. NarducciP. SantangeliF. PintusA. NataleA. Dello RussoG. PelargonioG. BencardinoJ. D. BurkhardtF. BellocciL. Di Biase}
