Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Der%matology. ,British Journal of Der%matology.,British Journal of Dermatology. 
journal_title,60,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journa@@l of the ESSKA,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,710,J Hand Surg Am,J Hand Surg $Am$,J Hand Surg Am
journal_title,808,Cardiology in the young,??Cardiol#ogy in the young,Cardiology in the young
journal_issn,37,nan,1423-0356,0025-7931
journal_issn,178,19#30-73#81,1930-739X,1930-7381
journal_issn,218,nan,1463-1318,1462-8910
journal_issn,320,1467-1107,1467-@@1107,1467-1107
journal_issn,372,15??39-3704,1%5$39-3704,1539-3704
journal_issn,546,1462-0324,1462-03$2$4,1462-0324
journal_issn,619,0737-1209,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,892,nan,0363-5%0#23,0363-5023
journal_issn,910,1097-0142,1097-014#2,1097-0142
