Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Der%matology. ,British Journal of Der%matology.
journal_title,27,The $Journal of clinical psyc??hiatry,The Journal of clinical psychiatry
journal_title,60,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journa@@l of the ESSKA
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,244,nan,Physiotherapy
journal_title,289,nan,PLoS One
journal_title,348,nan,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
journal_title,378,nan,PLoS One
journal_title,416,C??a$ncer,Cancer
journal_title,481,nan,Rheumatology (Oxford)
journal_title,587,nan,European Journal Of Anaesthesiology
journal_title,643,nan,Public health nursing (Boston Mass.)
journal_title,664,nan,PLoS One
journal_title,710,J Hand Surg Am,J Hand Surg $Am$
journal_title,770,nan,PLoS One
journal_title,808,Cardiology in the young,??Cardiol#ogy in the young
journal_title,822,Obesity (Silver Sprin#g Md.??),Obesity (Silver Spring Md.)
journal_title,980,nan,Endocrinology
journal_issn,37,nan,1423-0356
journal_issn,178,19#30-73#81,1930-739X
journal_issn,218,nan,1463-1318
journal_issn,309,nan,0017-5749
journal_issn,320,1467-1107,1467-@@1107
journal_issn,372,15??39-3704,1%5$39-3704
journal_issn,546,1462-0324,1462-03$2$4
journal_issn,575,nan,1423-0380
journal_issn,587,136??5-2346$,1365-2346
journal_issn,619,0737-1209,1525-1446
journal_issn,644,1524-4539,22-Sep
journal_issn,747,nan,Mar-67
journal_issn,892,nan,0363-5%0#23
journal_issn,910,1097-0142,1097-014#2
