Attribute,Index,Dirty Value,Cleaned Value
HospitalName,1,ca$llahan eye foundation hospital,callahan eye foundation hospital
HospitalName,2,$callahan eye foundation hospita$l,callahan eye foundation hospital
HospitalName,29,s%outheast alabama medical cent@@er,southeast alabama medical center
HospitalName,52,marshall?? medical center south,marshall medical center south
HospitalName,54,#marshall medical center south#,marshall medical center south
HospitalName,62,marshall med$ical center south,marshall medical center south
HospitalName,65,mars@@hall med#ical center south,marshall medical center south
HospitalName,86,eliza coffee mem%orial hospital,eliza coffee memorial hospital
HospitalName,96,m$izell memorial hospital,mizell memorial hospital
HospitalName,116,#miz#ell memorial hospital,mizell memorial hospital
HospitalName,135,crenshaw community hospita@@l,crenshaw community hospital
HospitalName,162,har??t%selle medical center,hartselle medical center
HospitalName,171,ma$rshall medical@@ center north,marshall medical center north
HospitalName,173,marshall medi$cal c%enter north,marshall medical center north
HospitalName,176,marshall medi$c@@al center north,marshall medical center north
HospitalName,221,dekalb r@@egional medical center,dekalb regional medical center
HospitalName,226,dekalb reg#ional medical center,dekalb regional medical center
HospitalName,237,dekalb regional medic$al center,dekalb regional medical center
HospitalName,264,southwest alab#ama medical cente??r,southwest alabama medical center
HospitalName,272,shelby baptist m??edical center,shelby baptist medical center
HospitalName,299,@@callahan% eye foundation hospital,callahan eye foundation hospital
HospitalName,300,callahan eye$ foundatio%n hospital,callahan eye foundation hospital
HospitalName,313,strin@@gfellow memorial h%ospital,stringfellow memorial hospital
HospitalName,325,%strin%gfellow memorial hospital,stringfellow memorial hospital
HospitalName,330,stringf??ellow @@memorial hospital,stringfellow memorial hospital
HospitalName,338,fl@@owers hospital,flowers hospital
HospitalName,357,nor@@thwest medi#cal center,northwest medical center
HospitalName,362,#$northwest medical center,northwest medical center
HospitalName,397,prattvil#le b??aptist hospital,prattville baptist hospital
HospitalName,401,prattville baptist hospi#tal,prattville baptist hospital
HospitalName,415,coosa valley #medical center,coosa valley medical center
HospitalName,416,coosa valley medical center$,coosa valley medical center
HospitalName,418,coosa valley medical cent#er,coosa valley medical center
HospitalName,430,coosa valley$ medical center,coosa valley medical center
HospitalName,431,coo@%@sa valley medical center,coosa valley medical center
HospitalName,432,coosa valley $med??ical center,coosa valley medical center
HospitalName,434,alaska $regional hospital,alaska regional hospital
HospitalName,461,helen keller memor@@ial hospital,helen keller memorial hospital
HospitalName,471,da%le medical ce$nter,dale medical center
HospitalName,479,$dale medical center,dale medical center
HospitalName,485,dale medic#al center,dale medical center
HospitalName,486,d$ale medical center,dale medical center
HospitalName,504,ch??erokee medical center,cherokee medical center
HospitalName,508,cherokee medical% center,cherokee medical center
HospitalName,512,cherokee medic$al %center,cherokee medical center
HospitalName,514,cherokee medical center#,cherokee medical center
HospitalName,525,baptist medical@@ center s@@outh,baptist medical center south
HospitalName,533,baptist medica$l c@@enter south,baptist medical center south
HospitalName,542,jackson %h$ospital & clinic inc,jackson hospital & clinic inc
HospitalName,545,jackson hospital & cl%inic inc,jackson hospital & clinic inc
HospitalName,561,jackson hos??pital & clinic inc,jackson hospital & clinic inc
HospitalName,569,g h lanier memorial $hospital,g h lanier memorial hospital
HospitalName,570,g h lanier %memorial hospital,g h lanier memorial hospital
HospitalName,572,g h lanier memorial hospital??,g h lanier memorial hospital
HospitalName,590,g@@ h lanier memorial hospital,g h lanier memorial hospital
HospitalName,592,elba general@@ ho$spital,elba general hospital
HospitalName,613,elba ??gen@@eral hospital,elba general hospital
HospitalName,615,elba general hospi??tal,elba general hospital
HospitalName,621,east alabama m%edical center a$nd snf,east alabama medical center and snf
HospitalName,646,wedowee hospit%al,wedowee hospital
HospitalName,651,wedowee hosp#ital,wedowee hospital
HospitalName,657,w%edowee hospital,wedowee hospital
HospitalName,666,wedowee ho@@spital$,wedowee hospital
HospitalName,670,%university of alabama hospit@@al,university of alabama hospital
HospitalName,681,@@university of alabama hospital,university of alabama hospital
HospitalName,703,community hospit%al inc,community hospital inc
HospitalName,706,co%mmunity hospital i$nc,community hospital inc
HospitalName,713,comm%unity hospital inc,community hospital inc
HospitalName,757,andalus$ia regional hospital,andalusia regional hospital
HospitalName,762,andal#usia regional hospital,andalusia regional hospital
HospitalName,765,anda$lusi$a regional hospital,andalusia regional hospital
HospitalName,769,stringfellow memorial hosp%ital,stringfellow memorial hospital
HospitalName,777,hu#ntsville hospital,huntsville hospital
HospitalName,780,hunt??sville hospital,huntsville hospital
HospitalName,828,chilton med$ical center,chilton medical center
HospitalName,832,chilton medical c??ent$er,chilton medical center
HospitalName,869,marion regional m#edi$cal center,marion regional medical center
HospitalName,875,marion reg$ional medical cent$er,marion regional medical center
HospitalName,895,fay#ette medical center,fayette medical center
HospitalName,899,fayette medi#cal center,fayette medical center
HospitalName,902,fa??yette %medical center,fayette medical center
HospitalName,912,riverview regional?? medical ce#nter,riverview regional medical center
HospitalName,913,riverview regional me$dical center,riverview regional medical center
HospitalName,921,riv#erview regional medical center,riverview regional medical center
HospitalName,924,riverview $regional medical center,riverview regional medical center
HospitalName,927,riverview #regional medical center,riverview regional medical center
HospitalName,941,georgiana h@@os%pital,georgiana hospital
HospitalName,951,g#eorgiana hosp%ital,georgiana hospital
HospitalName,954,??georgiana hospital,georgiana hospital
HospitalName,958,medical center ent#erprise,medical center enterprise
HospitalName,964,medical center enterp#rise,medical center enterprise
HospitalName,970,medical center enterprise??,medical center enterprise
HospitalName,973,medical $center enter#prise,medical center enterprise
HospitalName,993,st v@@incents blount,st vincents blount
