Attribute,Index,Dirty Value,Cleaned Value
HospitalName,2,empty,callahan eye foundation hospital
HospitalName,7,callahan e@@ye foundation hospital,callahan eye foundation hospital
HospitalName,20,empty,southeast alabama medical center
HospitalName,30,empty,southeast alabama medical center
HospitalName,41,empty,southeast alabama medical center
HospitalName,42,empty,southeast alabama medical center
HospitalName,59,marshall medic%al ce@@nter south,marshall medical center south
HospitalName,60,mar@@shall medical center sout#h,marshall medical center south
HospitalName,63,mars$hall medical c#enter south,marshall medical center south
HospitalName,68,empty,marshall medical center south
HospitalName,88,empty,eliza coffee memorial hospital
HospitalName,89,empty,eliza coffee memorial hospital
HospitalName,90,empty,eliza coffee memorial hospital
HospitalName,94,empty,eliza coffee memorial hospital
HospitalName,102,empty,mizell memorial hospital
HospitalName,114,mizell me#morial@@ hospital,mizell memorial hospital
HospitalName,126,empty,crenshaw community hospital
HospitalName,129,empty,crenshaw community hospital
HospitalName,146,empty,hartselle medical center
HospitalName,152,empty,hartselle medical center
HospitalName,163,har$tselle medical center,hartselle medical center
HospitalName,167,hartselle med%ical center,hartselle medical center
HospitalName,171,marshall medical #center north,marshall medical center north
HospitalName,172,empty,marshall medical center north
HospitalName,175,empty,marshall medical center north
HospitalName,180,marshall medical cen??t??er north,marshall medical center north
HospitalName,186,empty,marshall medical center north
HospitalName,187,empty,marshall medical center north
HospitalName,194,empty,marshall medical center north
HospitalName,195,st vincent@@s e#ast,st vincents east
HospitalName,205,empty,st vincents east
HospitalName,206,empty,st vincents east
HospitalName,212,empty,st vincents east
HospitalName,213,empty,st vincents east
HospitalName,215,st %vi%ncents east,st vincents east
HospitalName,218,st vincent??s east,st vincents east
HospitalName,239,empty,dekalb regional medical center
HospitalName,244,empty,dekalb regional medical center
HospitalName,259,empty,southwest alabama medical center
HospitalName,260,southwest al??abama $medical center,southwest alabama medical center
HospitalName,273,sh??elb$y baptist medical center,shelby baptist medical center
HospitalName,275,shelby baptist me$dical center,shelby baptist medical center
HospitalName,277,shelby ba$ptist medical center,shelby baptist medical center
HospitalName,293,shelby ba#ptist medical center,shelby baptist medical center
HospitalName,294,empty,shelby baptist medical center
HospitalName,299,callahan eye foundati#on hos#pital,callahan eye foundation hospital
HospitalName,310,empty,callahan eye foundation hospital
HospitalName,317,empty,stringfellow memorial hospital
HospitalName,330,stringfellow memorial hos@@pital,stringfellow memorial hospital
HospitalName,345,empty,flowers hospital
HospitalName,357,empty,northwest medical center
HospitalName,358,empty,northwest medical center
HospitalName,361,empty,northwest medical center
HospitalName,374,northwest me??dical center,northwest medical center
HospitalName,382,empty,univ of south alabama medical center
HospitalName,384,empty,univ of south alabama medical center
HospitalName,386,univ of south alabama medical cent@@er,univ of south alabama medical center
HospitalName,390,empty,univ of south alabama medical center
HospitalName,399,prattville baptis??t hospital,prattville baptist hospital
HospitalName,409,pr#attville baptist@@ hospital,prattville baptist hospital
HospitalName,419,empty,coosa valley medical center
HospitalName,455,empty,helen keller memorial hospital
HospitalName,460,empty,helen keller memorial hospital
HospitalName,462,hele%n keller memorial hospital,helen keller memorial hospital
HospitalName,463,empty,helen keller memorial hospital
HospitalName,480,empty,dale medical center
HospitalName,483,dale medica??l center,dale medical center
HospitalName,487,dale medical c??enter,dale medical center
HospitalName,489,empty,dale medical center
HospitalName,494,empty,cherokee medical center
HospitalName,497,empty,cherokee medical center
HospitalName,499,cher%$okee medical center,cherokee medical center
HospitalName,504,empty,cherokee medical center
HospitalName,517,empty,baptist medical center south
HospitalName,533,empty,baptist medical center south
HospitalName,535,empty,baptist medical center south
HospitalName,538,baptist med$ical center south,baptist medical center south
HospitalName,555,empty,jackson hospital & clinic inc
HospitalName,571,empty,g h lanier memorial hospital
HospitalName,573,g h lanier me??morial hospital%,g h lanier memorial hospital
HospitalName,577,empty,g h lanier memorial hospital
HospitalName,585,g h lanier?? memorial hospi$tal,g h lanier memorial hospital
HospitalName,590,g@@ h lanier memorial hospital,g h lanier memorial hospital
HospitalName,599,empty,elba general hospital
HospitalName,600,elba general h%ospital,elba general hospital
HospitalName,601,empty,elba general hospital
HospitalName,603,empty,elba general hospital
HospitalName,619,empty,east alabama medical center and snf
HospitalName,632,east alabama medical ce#nter and snf#,east alabama medical center and snf
HospitalName,634,empty,east alabama medical center and snf
HospitalName,647,empty,wedowee hospital
HospitalName,651,empty,wedowee hospital
HospitalName,654,wedo%wee hospital,wedowee hospital
HospitalName,657,wed??owee@@ hospital,wedowee hospital
HospitalName,660,empty,wedowee hospital
HospitalName,662,empty,wedowee hospital
HospitalName,693,empty,community hospital inc
HospitalName,695,empty,community hospital inc
HospitalName,697,empty,community hospital inc
HospitalName,711,empty,community hospital inc
HospitalName,729,cullman regi@@o@@nal medical center,cullman regional medical center
HospitalName,737,empty,cullman regional medical center
HospitalName,738,cullman regional medi@@cal center,cullman regional medical center
HospitalName,743,a??ndalusia regional hospit??al,andalusia regional hospital
