Attribute,Index,Clean Value,Dirty Value
ProviderNumber,1,10018,empty
ProviderNumber,10,10019,empty
ProviderNumber,26,10001,empty
ProviderNumber,29,10001,empty
ProviderNumber,37,10001,55645.20917603526
ProviderNumber,40,10001,empty
ProviderNumber,43,10001,empty
ProviderNumber,50,10005,52968.93019709432
ProviderNumber,75,10006,empty
ProviderNumber,96,10007,52694.74922166278
ProviderNumber,108,10007,empty
ProviderNumber,111,10007,empty
ProviderNumber,113,10007,50336.77198459608
ProviderNumber,122,10008,empty
ProviderNumber,128,10008,53910.09782277108
ProviderNumber,130,10008,43575.5131280609
ProviderNumber,149,10009,47745.47182813423
ProviderNumber,153,10009,44291.82503579599
ProviderNumber,165,10009,56259.56586665733
ProviderNumber,170,10010,51263.552012177366
ProviderNumber,173,10010,empty
ProviderNumber,203,10011,empty
ProviderNumber,217,10011,59702.977679511205
ProviderNumber,226,10012,46254.17388036202
ProviderNumber,232,10012,38528.55560938814
ProviderNumber,235,10012,empty
ProviderNumber,240,10012,empty
ProviderNumber,247,10015,empty
ProviderNumber,253,10015,empty
ProviderNumber,269,10015,empty
ProviderNumber,271,10016,45898.35607567065
ProviderNumber,280,10016,empty
ProviderNumber,287,10016,empty
ProviderNumber,291,10016,31940.999915217653
ProviderNumber,295,10018,34409.0740444849
ProviderNumber,308,10018,empty
ProviderNumber,312,10038,empty
ProviderNumber,313,10038,empty
ProviderNumber,319,10038,33603.004893143785
ProviderNumber,328,10038,35965.046222400815
ProviderNumber,334,10055,empty
ProviderNumber,335,10055,empty
ProviderNumber,338,10055,30196.382846017117
ProviderNumber,339,10055,empty
ProviderNumber,346,10055,empty
ProviderNumber,350,10056,empty
ProviderNumber,367,10086,empty
ProviderNumber,377,10086,38098.889570373045
ProviderNumber,394,10108,empty
ProviderNumber,398,10108,empty
ProviderNumber,420,10164,empty
ProviderNumber,430,10164,empty
ProviderNumber,435,20017,empty
ProviderNumber,436,20017,empty
ProviderNumber,443,20017,empty
ProviderNumber,446,20017,empty
ProviderNumber,456,10019,39954.5838824761
ProviderNumber,478,10021,empty
ProviderNumber,501,10022,empty
ProviderNumber,505,10022,empty
ProviderNumber,508,10022,43184.15384744294
ProviderNumber,513,10022,empty
ProviderNumber,516,10022,51643.257413657855
ProviderNumber,519,10023,empty
ProviderNumber,523,10023,36241.71538926557
ProviderNumber,546,10024,33566.86680494814
ProviderNumber,549,10024,empty
ProviderNumber,554,10024,52389.50565118684
ProviderNumber,559,10024,empty
ProviderNumber,583,10025,empty
ProviderNumber,624,10029,empty
ProviderNumber,625,10029,empty
ProviderNumber,626,10029,empty
ProviderNumber,627,10029,empty
ProviderNumber,631,10029,empty
ProviderNumber,636,10029,empty
ProviderNumber,637,10029,empty
ProviderNumber,639,10029,empty
ProviderNumber,643,10032,empty
ProviderNumber,665,10032,38873.11312394689
ProviderNumber,666,10032,empty
ProviderNumber,670,10033,empty
ProviderNumber,675,10033,empty
ProviderNumber,677,10033,empty
ProviderNumber,682,10033,empty
ProviderNumber,688,10033,empty
ProviderNumber,690,10033,empty
ProviderNumber,694,10034,empty
ProviderNumber,698,10034,empty
ProviderNumber,699,10034,empty
ProviderNumber,701,10034,empty
ProviderNumber,706,10034,empty
ProviderNumber,719,10035,empty
ProviderNumber,725,10035,empty
ProviderNumber,736,10035,empty
ProviderNumber,744,10036,32109.877190626372
ProviderNumber,752,10036,empty
ProviderNumber,755,10036,empty
ProviderNumber,762,10036,empty
ProviderNumber,766,10036,empty
ProviderNumber,769,10038,empty
ProviderNumber,776,10039,empty
ProviderNumber,778,10039,empty
ProviderNumber,781,10039,empty
ProviderNumber,793,10039,58628.25391117331
ProviderNumber,794,10039,empty
ProviderNumber,797,10039,empty
ProviderNumber,800,10039,46090.216391099915
ProviderNumber,802,10039,57044.79042478088
ProviderNumber,804,10040,empty
ProviderNumber,806,10040,empty
ProviderNumber,810,10040,40350.81408542564
ProviderNumber,818,10040,empty
ProviderNumber,823,10040,empty
ProviderNumber,837,10043,empty
ProviderNumber,850,10043,56888.35251344517
ProviderNumber,853,10044,empty
ProviderNumber,856,10044,35274.25821505056
ProviderNumber,859,10044,30684.17044133728
ProviderNumber,870,10044,empty
ProviderNumber,877,10044,empty
ProviderNumber,878,10045,47130.137688313895
ProviderNumber,884,10045,empty
ProviderNumber,887,10045,empty
ProviderNumber,890,10045,empty
ProviderNumber,894,10045,34875.3709295144
ProviderNumber,895,10045,59747.38666555881
ProviderNumber,910,10046,empty
ProviderNumber,912,10046,56012.38426589487
ProviderNumber,922,10046,56584.85079914914
ProviderNumber,923,10046,37941.866187746135
ProviderNumber,924,10046,empty
ProviderNumber,925,10046,empty
ProviderNumber,928,10046,39248.92483109016
ProviderNumber,932,10047,53648.97459444
ProviderNumber,936,10047,empty
ProviderNumber,937,10047,empty
ProviderNumber,944,10047,empty
ProviderNumber,954,10047,empty
ProviderNumber,961,10049,empty
ProviderNumber,964,10049,empty
ProviderNumber,978,10049,45523.82651357549
ProviderNumber,982,10050,empty
ProviderNumber,991,10050,empty
HospitalName,2,callahan eye foundation hospital,empty
HospitalName,7,callahan eye foundation hospital,callahan e@@ye foundation hospital
HospitalName,20,southeast alabama medical center,empty
HospitalName,26,southeast alabama medical center,southeast alabama medical $center#
HospitalName,30,southeast alabama medical center,empty
HospitalName,41,southeast alabama medical center,empty
HospitalName,42,southeast alabama medical center,empty
