Attribute,Index,Dirty Value,Cleaned Value
HospitalName,2,empty,callahan eye foundation hospital
HospitalName,3,callahan eye #foundat??ion hospital,callahan eye foundation hospital
HospitalName,14,empty,helen keller memorial hospital
HospitalName,18,helen# keller mem@@orial hospital,helen keller memorial hospital
HospitalName,21,empty,southeast alabama medical center
HospitalName,32,empty,southeast alabama medical center
HospitalName,34,empty,southeast alabama medical center
HospitalName,53,m$arshall medical cen??ter south,marshall medical center south
HospitalName,71,eliza coffee memorial hospita#l,eliza coffee memorial hospital
HospitalName,76,eliza coffee memori??al hospital,eliza coffee memorial hospital
HospitalName,82,eliza coff%ee memorial hosp@@ital,eliza coffee memorial hospital
HospitalName,84,empty,eliza coffee memorial hospital
HospitalName,108,empty,mizell memorial hospital
HospitalName,109,empty,mizell memorial hospital
HospitalName,116,mizell memoria#l hospital,mizell memorial hospital
HospitalName,121,empty,crenshaw community hospital
HospitalName,129,empty,crenshaw community hospital
HospitalName,135,empty,crenshaw community hospital
HospitalName,140,empty,crenshaw community hospital
HospitalName,142,??crenshaw community hospital,crenshaw community hospital
HospitalName,145,empty,hartselle medical center
HospitalName,147,empty,hartselle medical center
HospitalName,149,hartselle medical cente@@r,hartselle medical center
HospitalName,156,empty,hartselle medical center
HospitalName,160,hartselle medical?? center,hartselle medical center
HospitalName,161,empty,hartselle medical center
HospitalName,172,marshall m??edical center north,marshall medical center north
HospitalName,174,empty,marshall medical center north
HospitalName,179,empty,marshall medical center north
HospitalName,180,empty,marshall medical center north
HospitalName,187,marshall medical center #north,marshall medical center north
HospitalName,193,marshall medical center north$,marshall medical center north
HospitalName,199,empty,st vincents east
HospitalName,213,st vincents% ea%st,st vincents east
HospitalName,239,dekalb regional medica$l center,dekalb regional medical center
HospitalName,240,empty,dekalb regional medical center
HospitalName,248,southwest$ alabama medical center,southwest alabama medical center
HospitalName,249,empty,southwest alabama medical center
HospitalName,259,empty,southwest alabama medical center
HospitalName,263,southwest alaba%ma medical center,southwest alabama medical center
HospitalName,274,shelby ba??ptist medical cent%er,shelby baptist medical center
HospitalName,281,empty,shelby baptist medical center
HospitalName,288,empty,shelby baptist medical center
HospitalName,295,empty,callahan eye foundation hospital
HospitalName,307,empty,callahan eye foundation hospital
HospitalName,311,callahan eye fou$ndation hospita@@l,callahan eye foundation hospital
HospitalName,317,stringf#ellow memorial h$ospital,stringfellow memorial hospital
HospitalName,324,stringfellow memor#ial% hospital,stringfellow memorial hospital
HospitalName,330,empty,stringfellow memorial hospital
HospitalName,331,empty,stringfellow memorial hospital
HospitalName,332,$flowers hospital,flowers hospital
HospitalName,335,flowers ho??spital,flowers hospital
HospitalName,340,flower#s hospital,flowers hospital
HospitalName,357,empty,northwest medical center
HospitalName,359,empty,northwest medical center
HospitalName,363,northwest m@@edical cente#r,northwest medical center
HospitalName,364,empty,northwest medical center
HospitalName,376,empty,northwest medical center
HospitalName,389,univ of south alabama me??dic??al center,univ of south alabama medical center
HospitalName,395,pratt??ville baptist hos$pital,prattville baptist hospital
HospitalName,408,empty,prattville baptist hospital
HospitalName,411,prattvi$lle baptist hospit$al,prattville baptist hospital
HospitalName,415,coosa v@@al%ley medical center,coosa valley medical center
HospitalName,426,empty,coosa valley medical center
HospitalName,427,coosa valley m$edical center,coosa valley medical center
HospitalName,430,empty,coosa valley medical center
HospitalName,437,empty,alaska regional hospital
HospitalName,440,alaska@@ regional hospital,alaska regional hospital
HospitalName,442,empty,alaska regional hospital
HospitalName,458,empty,helen keller memorial hospital
HospitalName,462,empty,helen keller memorial hospital
HospitalName,464,hele@@$n keller memorial hospital,helen keller memorial hospital
HospitalName,469,dale ??medical center,dale medical center
HospitalName,490,dale medica%l cent#er,dale medical center
HospitalName,505,cherokee medical?? center,cherokee medical center
HospitalName,506,cherokee medical@@ center,cherokee medical center
HospitalName,512,empty,cherokee medical center
HospitalName,524,empty,baptist medical center south
HospitalName,525,baptist medical center s$outh,baptist medical center south
HospitalName,531,baptist medical ce#nter south,baptist medical center south
HospitalName,538,empty,baptist medical center south
HospitalName,544,empty,jackson hospital & clinic inc
HospitalName,545,empty,jackson hospital & clinic inc
HospitalName,550,j@@ackson @@hospital & clinic inc,jackson hospital & clinic inc
HospitalName,551,empty,jackson hospital & clinic inc
HospitalName,552,jackson ho#spital & clinic inc,jackson hospital & clinic inc
HospitalName,553,empty,jackson hospital & clinic inc
HospitalName,566,$jackson?? hospital & clinic inc,jackson hospital & clinic inc
