Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,79,Nepal Medical College journal : NMCJ,Nepal Medical College journal :?? NMCJ,Nepal Medical College journal : NMCJ
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,227,Endocrinolog%y,Endocr#inology,Endocrinology
journal_title,366,BioMed research international,BioMed re%search% international,BioMed research international
journal_title,615,Catheterization and cardiovascular interventions : official journal of the# Society for Cardiac Angiography & Interventions,Cathet$erization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
journal_title,855,Respiration; international review of thoracic diseases,Respiration; international review of thoracic dis$eases,Respiration; international review of thoracic diseases
journal_issn,218,1462-8910,1463-1318,1462-8910
journal_issn,366,2314-6141,2314$-6141,2314-6141
journal_issn,643,1@@525-1446#,0737-1209,1525-1446
journal_issn,644,15%24-4539,22-Sep,1524-4539
journal_issn,822,1930-739X,1930-7381,1930-739X
journal_issn,855,1423-0356,0025-7931,1423-0356
journal_issn,894,13$99-30#03,0903-1936,1399-3003
