Attribute,Index,Clean Value,Dirty Value
id,4,169865,nan
id,8,729712,2967087.9419035115
id,14,965082,4417053.620746697
id,15,53321,nan
id,17,668310,2356291.9789869213
id,19,478292,1570124.4149831636
id,23,514411,2755647.7167219077
id,28,971878,4247529.0228772815
id,33,954388,3725067.261805386
id,34,379737,nan
id,35,676042,2501397.347394128
id,37,968125,nan
id,38,660168,3019951.7698788675
id,40,473026,1849662.9535307896
id,46,86421,nan
id,48,530323,2328543.978741915
id,53,659297,2675271.2101794537
id,56,158672,nan
id,61,474288,nan
id,62,108424,328637.58796564455
id,63,841679,nan
id,65,852927,nan
id,68,318931,1602828.1641464892
id,75,200077,925126.5951342202
id,77,715052,nan
id,79,140274,nan
id,85,889481,3080403.391287668
id,91,346326,1141947.0112253025
id,97,931323,nan
id,108,591619,nan
id,109,125072,nan
id,113,148787,808738.151414008
id,114,779281,nan
id,115,684757,3022788.008790313
id,126,36429,212543.18821188872
id,130,772616,nan
id,131,334681,1551483.973830201
id,133,465176,2382402.556898294
id,141,595469,nan
id,151,182986,550785.5129144123
id,155,817046,3060616.0682614036
id,158,131820,417483.0603697384
id,159,704093,3166481.1240037503
id,167,232775,nan
id,168,631610,nan
id,179,22708,119988.17276860042
id,180,704111,2634080.3764418466
id,182,657210,nan
id,185,929252,nan
id,201,55412,218115.4396308933
id,203,979292,nan
id,209,417782,nan
id,211,661572,1989503.022817613
id,216,592817,2108429.6812970447
id,217,169270,nan
id,226,441393,nan
id,229,581864,nan
id,232,504206,2310506.4719325094
id,251,973076,nan
id,254,417373,nan
id,256,386327,nan
id,258,191908,1079564.5254003406
id,265,967376,nan
id,268,480649,nan
id,269,782541,2826873.6738619744
id,270,692358,2541813.06380273
id,275,470385,2226754.5044634286
id,278,685178,3078395.6184731484
id,282,737786,4074883.879348099
id,287,671386,4015251.4408538262
id,293,392246,1822384.6322557137
id,313,735083,3837612.414865815
id,315,152626,652212.522644661
id,318,931361,nan
id,321,951168,4457411.393846336
id,323,674623,nan
id,324,226419,1164437.1082658316
id,328,462849,nan
id,330,438808,2221033.698351197
id,334,49847,161583.72513969737
id,335,524073,nan
id,336,348813,1454025.6625839905
id,339,853676,2656479.794431127
id,342,540850,nan
id,344,762269,nan
id,346,950233,nan
id,350,97853,567996.5376771062
id,354,689666,2709636.857000622
id,356,231182,1118164.581632696
id,357,232896,1133973.2384527558
id,359,704812,3891400.3315847074
id,362,235924,nan
id,374,723057,4062491.911086561
id,383,757176,2963966.077577699
id,385,615903,nan
id,386,169524,nan
id,390,788729,nan
id,394,605643,nan
id,408,789057,2764311.800375937
id,423,274083,1433826.1190296
id,426,592831,nan
id,430,217524,1089971.2483506373
id,432,53319,nan
id,435,587024,2502361.7892021295
id,440,853882,3276197.967294271
id,452,84905,nan
id,460,811354,nan
id,462,485934,2049035.711214187
id,466,873987,4110298.2220650874
id,467,968211,nan
id,468,299635,nan
id,469,846319,2959498.123109247
id,472,146560,700567.750270594
id,475,917417,3193696.6586481305
id,486,378289,2197563.3730909703
id,488,467344,2198164.769519251
id,490,697880,3771128.675979982
id,494,556624,nan
id,503,946112,nan
id,504,958639,nan
id,511,915463,3081121.558799543
id,516,89897,348281.73189235805
id,525,67292,376582.70375062694
id,526,129698,425854.6110649453
id,531,351700,1496186.516680005
id,533,408198,nan
id,544,751811,3036194.6660555336
id,547,491837,2130931.485895835
id,550,26475,96947.9193996438
id,557,258486,nan
id,560,828156,nan
id,563,180977,nan
id,567,107417,nan
id,568,141282,576259.6928985262
id,573,283168,nan
id,574,52633,276453.94080176885
id,575,74821,294825.6794817973
id,579,966388,4901390.848604549
id,580,919014,nan
id,584,423691,1661846.4199976225
id,587,918698,nan
id,589,862844,nan
id,591,587683,3183084.820714657
id,606,592201,nan
id,612,609245,nan
id,613,584706,nan
id,622,646572,2500285.005824375
id,629,795170,3950795.680196045
id,633,868618,4183709.837210477
id,634,503451,nan
id,635,113363,541601.040128545
id,638,786108,2401078.5626266315
id,643,847600,5078162.516896015
id,647,690793,nan
id,650,935189,5567518.409610254
id,658,129552,739126.9299776116
id,659,526825,2638667.5612624176
id,660,56464,238373.46354225388
id,665,541739,2249902.095690502
id,667,954980,nan
id,674,164085,715336.6688609
id,675,619668,nan
id,682,811629,2600650.911396506
id,685,54163,241470.08095041412
id,687,293974,1121694.7114291494
id,691,160820,nan
id,701,187769,965617.4690133675
id,703,770589,nan
id,706,589465,nan
id,708,107924,nan
id,710,265969,1244795.3427953287
id,712,446026,1636265.9527370569
id,714,558766,1943673.546669714
id,715,428909,1786447.9732114575
id,719,820059,nan
id,727,453909,2371540.3352910867
id,737,696985,nan
id,740,875781,4425716.17911321
id,741,322953,971987.546328377
id,743,180588,740385.1611855207
id,748,463556,nan
id,749,749844,nan
id,752,292018,951279.559875386
id,761,856471,4264308.318544566
id,772,572343,1751930.1481252937
id,775,718292,3723118.3739433545
id,777,307302,nan
id,778,217418,nan
id,787,724055,nan
id,788,63738,275308.33462842985
id,790,97795,nan
id,795,379577,1589058.1826671811
id,799,892609,3434494.5622812444
id,803,495319,2611417.8660507067
id,805,252118,nan
id,809,645061,3149983.7368641947
id,810,164721,511190.3385483412
id,815,775428,nan
id,816,497593,1698793.555539598
id,818,424254,2481770.3800992537
id,822,743819,3441843.183642748
id,823,193292,827935.0718269638
id,832,635082,nan
id,833,446599,1738376.8986095723
id,834,376525,nan
id,836,153797,nan
id,837,470179,2681419.62309451
id,838,9325,47991.464723576566
id,839,294719,1043072.566645288
id,844,503354,2508160.366681057
id,846,820549,4136737.4373582248
id,851,627882,3166402.1082643755
id,852,264151,nan
