Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,PLoS O#ne,PLoS One
journal_title,79,Nepal Medical College journal : NMCJ,Nepal Medical College journal :?? NMCJ
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,227,Endocrinolog%y,Endocr#inology
journal_title,366,BioMed research international,BioMed re%search% international
journal_title,378,PL#oS One,PLoS One
journal_title,435,nan,Am J Clin Nutr
journal_title,615,Catheterization and cardiovascular interventions : official journal of the# Society for Cardiac Angiography & Interventions,Cathet$erization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
journal_title,619,Publ$ic health nursing (Boston Ma%ss.),Public health nursing (Boston Mass.)
journal_title,746,Circ@@ulation,Circulation
journal_title,770,nan,PLoS One
journal_title,792,Journal of cardiovascular medicine (Hagerstown Md.@@),Journal of cardiovascular medicine (Hagerstown Md.)
journal_title,855,Respiration; international review of thoracic diseases,Respiration; international review of thoracic dis$eases
journal_title,889,nan,PLoS One
journal_title,892,J Hand S#urg Am,J Hand Surg Am
journal_title,932,Journal of clinical oncology : official journal of the American Society of Clinical Onco#logy,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_title,993,nan,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_issn,194,146#@@0-2105,1460-2105
journal_issn,218,1462-8910,1463-1318
journal_issn,244,nan,1873-1465
journal_issn,366,2314-6141,2314$-6141
journal_issn,435,Feb-??65,Feb-65
journal_issn,643,1@@525-1446#,0737-1209
journal_issn,644,15%24-4539,22-Sep
journal_issn,746,22??-Se@@p,22-Sep
journal_issn,792,nan,1558-2035
journal_issn,822,1930-739X,1930-7381
journal_issn,855,1423-0356,0025-7931
journal_issn,892,0363-502??3,0363-5023
journal_issn,894,13$99-30#03,0903-1936
