Attribute: ProviderNumber, MSE: nan, Jaccard: 0.6005448792469252
Attribute: HospitalName, MSE: nan, Jaccard: 0.0442553191489361
Attribute: Address1, MSE: nan, Jaccard: 0.0
Attribute: Address2, MSE: nan, Jaccard: nan
Attribute: Address3, MSE: nan, Jaccard: nan
Attribute: City, MSE: nan, Jaccard: 0.0
Attribute: State, MSE: nan, Jaccard: 0.0
Attribute: ZipCode, MSE: nan, Jaccard: 0.023111111111111082
Attribute: CountyName, MSE: nan, Jaccard: 0.0
Attribute: PhoneNumber, MSE: nan, Jaccard: 0.022946859903381633
Attribute: HospitalType, MSE: nan, Jaccard: 0.6673353393513874
Attribute: HospitalOwner, MSE: nan, Jaccard: 0.0
Attribute: EmergencyService, MSE: nan, Jaccard: 0.0
Attribute: Condition, MSE: nan, Jaccard: 0.6182188431443985
Attribute: MeasureCode, MSE: nan, Jaccard: 0.6532670403010046
Attribute: MeasureName, MSE: nan, Jaccard: 0.2778862611500609
检查你指定的属性 Score 是否为数值型！
Attribute: Score, MSE: nan, Jaccard: 0.481263055715471
Attribute: Sample, MSE: nan, Jaccard: 0.1663027241830346
Attribute: Stateavg, MSE: nan, Jaccard: 0.44744388647469524
加权混合距离: 0.11772280352148252
